(Lookback, Entry, Exit, Stop-loss)
(30, 2, 0, 2.5): Return: 0.04%, Hit Ratio: 57.89%, Max Drawdown: 0.02%
(60, 2, 0.5, 3): Return: 0.04%, Hit Ratio: 72.22%, Max Drawdown: 0.02%
(60, 2, 0.5, 3.5): Return: 0.04%, Hit Ratio: 72.22%, Max Drawdown: 0.02%
(100, 2, 0.5, 3): Return: 0.04%, Hit Ratio: 84.62%, Max Drawdown: 0.01%
(100, 2, 0.5, 3.5): Return: 0.04%, Hit Ratio: 84.62%, Max Drawdown: 0.01%
(30, 1.5, -0.5, 3): Return: 0.03%, Hit Ratio: 60.53%, Max Drawdown: 0.03%
(30, 1.5, 0.5, 3): Return: 0.03%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(30, 1.5, 0.5, 3.5): Return: 0.03%, Hit Ratio: 57.45%, Max Drawdown: 0.03%
(30, 2, 0.5, 2.5): Return: 0.03%, Hit Ratio: 52.63%, Max Drawdown: 0.02%
(60, 2, -0.5, 2.5): Return: 0.03%, Hit Ratio: 75.0%, Max Drawdown: 0.02%
(100, 2, -0.5, 3): Return: 0.03%, Hit Ratio: 90.91%, Max Drawdown: 0.02%
(100, 2, -0.5, 3.5): Return: 0.03%, Hit Ratio: 90.91%, Max Drawdown: 0.02%
(100, 2, 0, 3): Return: 0.03%, Hit Ratio: 90.91%, Max Drawdown: 0.02%
(100, 2, 0, 3.5): Return: 0.03%, Hit Ratio: 90.91%, Max Drawdown: 0.02%
(30, 1.5, -0.5, 2.5): Return: 0.02%, Hit Ratio: 52.63%, Max Drawdown: 0.03%
(30, 1.5, 0.5, 2.5): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 2, -0.5, 2.5): Return: 0.02%, Hit Ratio: 52.63%, Max Drawdown: 0.03%
(60, 2, 0, 2.5): Return: 0.02%, Hit Ratio: 66.67%, Max Drawdown: 0.02%
(100, 2, 0.5, 2.5): Return: 0.02%, Hit Ratio: 85.71%, Max Drawdown: 0.01%
(60, 2, 0.5, 2.5): Return: 0.01%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(100, 2, -0.5, 2.5): Return: 0.01%, Hit Ratio: 85.71%, Max Drawdown: 0.02%
(100, 2, 0, 2.5): Return: 0.01%, Hit Ratio: 85.71%, Max Drawdown: 0.02%
