The return of ADR_underlying pairs trading for PTR_857 from China is 44.99122741509037%
Hyperparameters: Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 5.669985444330872%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 5.669985444330872%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 12.025308179277271%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 12.025308179277271%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 12.025308179277271%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 16.22835609118629%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 16.22835609118629%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 16.22835609118629%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 7.059729571271077%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 7.059729571271077%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 7.059729571271077%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 10.539045401169453%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 10.539045401169453%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 10.539045401169453%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 11.028179865583866%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 11.028179865583866%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 11.028179865583866%
