(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1, -0.5, 0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 53.25%, Max Drawdown: 0.06%
(100, 1, 1, -0.5, 0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 53.25%, Max Drawdown: 0.06%
(100, 1, 1, 0, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 53.19%, Max Drawdown: 0.03%
(100, 1, 1, 0, 0, 3.5, 3.5): Return: 0.04%, Hit Ratio: 51.7%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 52.17%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 54.17%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 50.75%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0, 3.5, 3): Return: 0.04%, Hit Ratio: 50.75%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 48.98%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, 0, 3.5, 3): Return: 0.04%, Hit Ratio: 48.98%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, 0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 51.35%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 51.35%, Max Drawdown: 0.04%
(100, 1, 2, 0, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 52.24%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 3.5, 3.5): Return: 0.04%, Hit Ratio: 50.36%, Max Drawdown: 0.05%
(100, 1, 2, 0, 0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 53.9%, Max Drawdown: 0.06%
(100, 2, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 62.79%, Max Drawdown: 0.01%
