(Lookback, Entry, Exit, Stop-loss)
(100, 1, 0, 3.5): Return: 0.04%, Hit Ratio: 55.24%, Max Drawdown: 0.02%
(100, 1, 0.5, 2.5): Return: 0.0%, Hit Ratio: 50.48%, Max Drawdown: 0.03%
(100, 1, 0.5, 3): Return: 0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(100, 1, 0.5, 3.5): Return: 0.01%, Hit Ratio: 50.46%, Max Drawdown: 0.02%
(100, 1.5, -0.5, 2.5): Return: 0.01%, Hit Ratio: 58.82%, Max Drawdown: 0.02%
(100, 1.5, -0.5, 3): Return: 0.01%, Hit Ratio: 60.53%, Max Drawdown: 0.02%
(100, 1.5, -0.5, 3.5): Return: 0.01%, Hit Ratio: 61.54%, Max Drawdown: 0.02%
(100, 1.5, 0, 2.5): Return: 0.0%, Hit Ratio: 57.14%, Max Drawdown: 0.01%
(100, 1.5, 0, 3): Return: 0.01%, Hit Ratio: 58.97%, Max Drawdown: 0.01%
(100, 1.5, 0, 3.5): Return: 0.01%, Hit Ratio: 60.0%, Max Drawdown: 0.01%
(100, 1.5, 0.5, 2.5): Return: -0.0%, Hit Ratio: 55.56%, Max Drawdown: 0.01%
(100, 1.5, 0.5, 3): Return: 0.0%, Hit Ratio: 52.5%, Max Drawdown: 0.01%
(100, 1.5, 0.5, 3.5): Return: 0.0%, Hit Ratio: 53.66%, Max Drawdown: 0.01%
(100, 2, -0.5, 2.5): Return: -0.01%, Hit Ratio: 72.73%, Max Drawdown: 0.01%
(100, 2, -0.5, 3): Return: -0.0%, Hit Ratio: 73.33%, Max Drawdown: 0.01%
(100, 2, -0.5, 3.5): Return: -0.0%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(100, 2, 0, 2.5): Return: -0.01%, Hit Ratio: 72.73%, Max Drawdown: 0.01%
(100, 2, 0, 3): Return: -0.0%, Hit Ratio: 73.33%, Max Drawdown: 0.01%
(100, 2, 0, 3.5): Return: 0.0%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(100, 2, 0.5, 2.5): Return: -0.01%, Hit Ratio: 72.73%, Max Drawdown: 0.01%
(100, 2, 0.5, 3): Return: -0.01%, Hit Ratio: 60.0%, Max Drawdown: 0.01%
(100, 2, 0.5, 3.5): Return: -0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.01%
