The return of ADR_underlying pairs trading for CEA_670 from China is 108.6635912243572%
Hyperparameters: Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 47.48657587341504%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 47.48657587341504%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 47.019312969453544%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 47.019312969453544%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 47.019312969453544%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 48.236451603765836%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 48.236451603765836%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 48.236451603765836%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 26.116962130609522%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 26.116962130609522%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 26.116962130609522%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 19.104039410451573%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 19.104039410451573%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 19.104039410451573%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 20.126860761185615%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 20.126860761185615%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 20.126860761185615%
