(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1.5, 1.5, -0.5, 0.5, 3, 3.5): Return: -0.07%, Hit Ratio: 37.68%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0, -0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 44.78%, Max Drawdown: 0.16%
(60, 1.5, 1.5, 0, -0.5, 3, 3): Return: -0.07%, Hit Ratio: 43.28%, Max Drawdown: 0.16%
(60, 1.5, 1.5, 0, -0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 41.67%, Max Drawdown: 0.17%
(60, 1.5, 1.5, 0, 0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 39.44%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0, 0.5, 3.5, 3): Return: -0.07%, Hit Ratio: 39.44%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0, 0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 39.19%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0.5, 0, 2.5, 2.5): Return: -0.07%, Hit Ratio: 36.36%, Max Drawdown: 0.18%
(60, 1.5, 1.5, 0.5, 0, 2.5, 3): Return: -0.07%, Hit Ratio: 36.36%, Max Drawdown: 0.17%
(60, 1.5, 1.5, 0.5, 0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 39.44%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0.5, 0.5, 3, 3): Return: -0.07%, Hit Ratio: 39.44%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0.5, 0.5, 3, 3.5): Return: -0.07%, Hit Ratio: 39.73%, Max Drawdown: 0.15%
(60, 1.5, 2, -0.5, -0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 48.0%, Max Drawdown: 0.15%
(60, 1.5, 2, -0.5, -0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 44.44%, Max Drawdown: 0.17%
(60, 1.5, 2, -0.5, 0, 3, 2.5): Return: -0.07%, Hit Ratio: 49.02%, Max Drawdown: 0.15%
(60, 1.5, 2, -0.5, 0.5, 3, 3.5): Return: -0.07%, Hit Ratio: 41.07%, Max Drawdown: 0.16%
(60, 1.5, 2, 0, -0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 41.82%, Max Drawdown: 0.15%
(60, 1.5, 2, 0, -0.5, 3, 3): Return: -0.07%, Hit Ratio: 40.0%, Max Drawdown: 0.16%
(60, 1.5, 2, 0, -0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 38.98%, Max Drawdown: 0.17%
(60, 1.5, 2, 0, 0, 3.5, 3): Return: -0.07%, Hit Ratio: 42.86%, Max Drawdown: 0.18%
(60, 1.5, 2, 0, 0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 41.82%, Max Drawdown: 0.17%
(60, 1.5, 2, 0, 0.5, 3, 3): Return: -0.07%, Hit Ratio: 41.82%, Max Drawdown: 0.16%
(60, 1.5, 2, 0, 0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 40.68%, Max Drawdown: 0.17%
(60, 1.5, 2, 0.5, 0, 2.5, 3.5): Return: -0.07%, Hit Ratio: 40.35%, Max Drawdown: 0.18%
(60, 1.5, 2, 0.5, 0, 3, 2.5): Return: -0.07%, Hit Ratio: 41.38%, Max Drawdown: 0.16%
(60, 1.5, 2, 0.5, 0, 3, 3): Return: -0.07%, Hit Ratio: 41.38%, Max Drawdown: 0.16%
(60, 1.5, 2, 0.5, 0.5, 2.5, 3.5): Return: -0.07%, Hit Ratio: 40.35%, Max Drawdown: 0.18%
(60, 2, 1.5, 0, 0.5, 2.5, 2.5): Return: -0.07%, Hit Ratio: 41.46%, Max Drawdown: 0.11%
(60, 2, 1.5, 0, 0.5, 2.5, 3): Return: -0.07%, Hit Ratio: 42.86%, Max Drawdown: 0.1%
(60, 2, 1.5, 0, 0.5, 2.5, 3.5): Return: -0.07%, Hit Ratio: 41.3%, Max Drawdown: 0.11%
(60, 2, 1.5, 0.5, 0.5, 2.5, 3.5): Return: -0.07%, Hit Ratio: 43.48%, Max Drawdown: 0.11%
(60, 2, 2, -0.5, -0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 56.67%, Max Drawdown: 0.09%
(60, 2, 2, -0.5, -0.5, 3.5, 3): Return: -0.07%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(60, 2, 2, -0.5, -0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 51.52%, Max Drawdown: 0.09%
(60, 2, 2, -0.5, 0, 3.5, 2.5): Return: -0.07%, Hit Ratio: 53.33%, Max Drawdown: 0.1%
(60, 2, 2, -0.5, 0, 3.5, 3): Return: -0.07%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(60, 2, 2, -0.5, 0, 3.5, 3.5): Return: -0.07%, Hit Ratio: 51.52%, Max Drawdown: 0.09%
(60, 2, 2, -0.5, 0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 48.28%, Max Drawdown: 0.09%
(60, 2, 2, -0.5, 0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 46.67%, Max Drawdown: 0.1%
(60, 2, 2, -0.5, 0.5, 3.5, 3): Return: -0.07%, Hit Ratio: 48.39%, Max Drawdown: 0.1%
(60, 2, 2, -0.5, 0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 45.45%, Max Drawdown: 0.1%
(60, 2, 2, 0, -0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 56.67%, Max Drawdown: 0.1%
(60, 2, 2, 0, -0.5, 3.5, 3): Return: -0.07%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(60, 2, 2, 0, -0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 51.52%, Max Drawdown: 0.1%
(60, 2, 2, 0, 0, 3.5, 2.5): Return: -0.07%, Hit Ratio: 53.33%, Max Drawdown: 0.1%
(60, 2, 2, 0, 0, 3.5, 3): Return: -0.07%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(60, 2, 2, 0, 0, 3.5, 3.5): Return: -0.07%, Hit Ratio: 51.52%, Max Drawdown: 0.1%
(60, 2, 2, 0, 0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 50.0%, Max Drawdown: 0.11%
(60, 2, 2, 0, 0.5, 3.5, 3): Return: -0.07%, Hit Ratio: 51.61%, Max Drawdown: 0.1%
(60, 2, 2, 0, 0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 48.48%, Max Drawdown: 0.1%
(60, 2, 2, 0.5, -0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 53.33%, Max Drawdown: 0.1%
(60, 2, 2, 0.5, -0.5, 3.5, 3): Return: -0.07%, Hit Ratio: 51.61%, Max Drawdown: 0.11%
(60, 2, 2, 0.5, -0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 51.52%, Max Drawdown: 0.1%
(60, 2, 2, 0.5, 0, 3.5, 3): Return: -0.07%, Hit Ratio: 51.61%, Max Drawdown: 0.11%
(60, 2, 2, 0.5, 0, 3.5, 3.5): Return: -0.07%, Hit Ratio: 51.52%, Max Drawdown: 0.1%
(60, 2, 2, 0.5, 0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 48.48%, Max Drawdown: 0.11%
(100, 1, 1, -0.5, 0, 2.5, 3): Return: -0.07%, Hit Ratio: 44.14%, Max Drawdown: 0.15%
(100, 1, 1, -0.5, 0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 36.72%, Max Drawdown: 0.14%
(100, 1, 1, 0, 0, 2.5, 3.5): Return: -0.07%, Hit Ratio: 47.01%, Max Drawdown: 0.16%
(100, 1, 1, 0, 0.5, 2.5, 2.5): Return: -0.07%, Hit Ratio: 39.84%, Max Drawdown: 0.14%
(100, 1, 1, 0, 0.5, 3.5, 3.5): Return: -0.07%, Hit Ratio: 43.18%, Max Drawdown: 0.15%
(100, 1, 1.5, -0.5, 0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 37.5%, Max Drawdown: 0.14%
(100, 1, 1.5, 0, 0, 3, 3.5): Return: -0.07%, Hit Ratio: 45.0%, Max Drawdown: 0.16%
(100, 1, 1.5, 0, 0, 3.5, 3.5): Return: -0.07%, Hit Ratio: 45.54%, Max Drawdown: 0.16%
(100, 1, 1.5, 0.5, -0.5, 3, 3): Return: -0.07%, Hit Ratio: 42.59%, Max Drawdown: 0.15%
(100, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: -0.07%, Hit Ratio: 41.67%, Max Drawdown: 0.15%
(100, 1, 2, -0.5, 0, 3, 3): Return: -0.07%, Hit Ratio: 46.25%, Max Drawdown: 0.14%
(100, 1, 2, -0.5, 0, 3.5, 3): Return: -0.07%, Hit Ratio: 46.34%, Max Drawdown: 0.15%
(100, 1, 2, 0.5, -0.5, 3.5, 3): Return: -0.07%, Hit Ratio: 42.27%, Max Drawdown: 0.17%
(100, 1, 2, 0.5, 0, 3.5, 3): Return: -0.07%, Hit Ratio: 43.3%, Max Drawdown: 0.17%
(100, 1.5, 1, 0, -0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 46.15%, Max Drawdown: 0.11%
(100, 1.5, 1, 0, 0, 3, 2.5): Return: -0.07%, Hit Ratio: 45.65%, Max Drawdown: 0.1%
(100, 1.5, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 44.44%, Max Drawdown: 0.1%
(100, 1.5, 1.5, 0, -0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 44.12%, Max Drawdown: 0.1%
(100, 1.5, 2, -0.5, 0, 3, 2.5): Return: -0.07%, Hit Ratio: 46.94%, Max Drawdown: 0.11%
(100, 1.5, 2, 0, -0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 39.62%, Max Drawdown: 0.11%
(100, 1.5, 2, 0, 0, 3.5, 2.5): Return: -0.07%, Hit Ratio: 45.45%, Max Drawdown: 0.1%
(100, 1.5, 2, 0, 0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 43.64%, Max Drawdown: 0.11%
(100, 2, 1, -0.5, -0.5, 2.5, 2.5): Return: -0.07%, Hit Ratio: 46.27%, Max Drawdown: 0.08%
(100, 2, 1, 0, -0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 50.68%, Max Drawdown: 0.09%
(100, 2, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 51.16%, Max Drawdown: 0.09%
(100, 2, 1.5, 0, -0.5, 3, 2.5): Return: -0.07%, Hit Ratio: 55.81%, Max Drawdown: 0.09%
(100, 2, 2, -0.5, 0, 3.5, 2.5): Return: -0.07%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(100, 2, 2, -0.5, 0.5, 3.5, 2.5): Return: -0.07%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(100, 2, 2, 0.5, -0.5, 2.5, 2.5): Return: -0.07%, Hit Ratio: 40.91%, Max Drawdown: 0.09%
(30, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 39.85%, Max Drawdown: 0.21%
(30, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 41.01%, Max Drawdown: 0.23%
(30, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 40.91%, Max Drawdown: 0.17%
(30, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 40.18%, Max Drawdown: 0.18%
(30, 1, 2, -0.5, 0, 2.5, 3): Return: -0.08%, Hit Ratio: 40.37%, Max Drawdown: 0.16%
(30, 1, 2, -0.5, 0, 3, 2.5): Return: -0.08%, Hit Ratio: 40.74%, Max Drawdown: 0.16%
(30, 1, 2, -0.5, 0, 3, 3): Return: -0.08%, Hit Ratio: 40.0%, Max Drawdown: 0.16%
(30, 1, 2, -0.5, 0, 3.5, 3.5): Return: -0.08%, Hit Ratio: 40.35%, Max Drawdown: 0.18%
(30, 1, 2, -0.5, 0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 37.39%, Max Drawdown: 0.17%
(30, 1, 2, -0.5, 0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 37.39%, Max Drawdown: 0.17%
(30, 1, 2, -0.5, 0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 37.29%, Max Drawdown: 0.18%
(30, 1, 2, 0, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 37.29%, Max Drawdown: 0.19%
(30, 1, 2, 0, -0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 38.66%, Max Drawdown: 0.19%
(30, 1, 2, 0, -0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 38.33%, Max Drawdown: 0.19%
(30, 1.5, 1.5, 0, 0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 43.06%, Max Drawdown: 0.16%
(30, 1.5, 1.5, 0.5, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 36.99%, Max Drawdown: 0.16%
(30, 2, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 48.94%, Max Drawdown: 0.11%
(30, 2, 1.5, -0.5, -0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 46.94%, Max Drawdown: 0.11%
(30, 2, 2, -0.5, 0, 3.5, 3.5): Return: -0.08%, Hit Ratio: 46.15%, Max Drawdown: 0.13%
(30, 2, 2, 0, 0, 2.5, 3.5): Return: -0.08%, Hit Ratio: 38.24%, Max Drawdown: 0.13%
(30, 2, 2, 0, 0, 3, 3.5): Return: -0.08%, Hit Ratio: 43.24%, Max Drawdown: 0.13%
(30, 2, 2, 0, 0, 3.5, 3.5): Return: -0.08%, Hit Ratio: 43.59%, Max Drawdown: 0.13%
(30, 2, 2, 0.5, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 41.18%, Max Drawdown: 0.13%
(30, 2, 2, 0.5, -0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 45.95%, Max Drawdown: 0.13%
(30, 2, 2, 0.5, 0, 2.5, 3): Return: -0.08%, Hit Ratio: 36.67%, Max Drawdown: 0.13%
(30, 2, 2, 0.5, 0, 3, 3): Return: -0.08%, Hit Ratio: 41.18%, Max Drawdown: 0.14%
(30, 2, 2, 0.5, 0, 3.5, 3): Return: -0.08%, Hit Ratio: 41.67%, Max Drawdown: 0.13%
(30, 2, 2, 0.5, 0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 40.0%, Max Drawdown: 0.13%
(30, 2, 2, 0.5, 0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 44.74%, Max Drawdown: 0.13%
(30, 2, 2, 0.5, 0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 45.0%, Max Drawdown: 0.13%
(60, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 45.61%, Max Drawdown: 0.16%
(60, 1, 1, -0.5, -0.5, 2.5, 3): Return: -0.08%, Hit Ratio: 45.61%, Max Drawdown: 0.16%
(60, 1, 1, -0.5, -0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 46.09%, Max Drawdown: 0.17%
(60, 1, 1, -0.5, -0.5, 3, 3): Return: -0.08%, Hit Ratio: 46.09%, Max Drawdown: 0.17%
(60, 1, 1, 0, -0.5, 2.5, 3): Return: -0.08%, Hit Ratio: 44.44%, Max Drawdown: 0.17%
(60, 1, 1, 0, -0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 44.88%, Max Drawdown: 0.18%
(60, 1, 1, 0, -0.5, 3, 3): Return: -0.08%, Hit Ratio: 44.88%, Max Drawdown: 0.18%
(60, 1, 1, 0, -0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 43.94%, Max Drawdown: 0.21%
(60, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 44.57%, Max Drawdown: 0.14%
(60, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 44.79%, Max Drawdown: 0.16%
(60, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 44.79%, Max Drawdown: 0.16%
(60, 1, 1.5, 0, 0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 35.34%, Max Drawdown: 0.13%
(60, 1, 1.5, 0, 0.5, 3, 3): Return: -0.08%, Hit Ratio: 35.34%, Max Drawdown: 0.13%
(60, 1, 1.5, 0, 0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 35.29%, Max Drawdown: 0.15%
(60, 1, 1.5, 0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 40.18%, Max Drawdown: 0.15%
(60, 1, 1.5, 0.5, -0.5, 2.5, 3): Return: -0.08%, Hit Ratio: 40.18%, Max Drawdown: 0.15%
(60, 1, 2, -0.5, 0, 2.5, 3.5): Return: -0.08%, Hit Ratio: 42.22%, Max Drawdown: 0.17%
(60, 1, 2, -0.5, 0, 3, 3.5): Return: -0.08%, Hit Ratio: 43.01%, Max Drawdown: 0.16%
(60, 1, 2, 0, 0, 3.5, 2.5): Return: -0.08%, Hit Ratio: 41.41%, Max Drawdown: 0.17%
(60, 1, 2, 0, 0, 3.5, 3): Return: -0.08%, Hit Ratio: 41.41%, Max Drawdown: 0.17%
(60, 1, 2, 0, 0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 35.85%, Max Drawdown: 0.18%
(60, 1.5, 1, -0.5, -0.5, 2.5, 3): Return: -0.08%, Hit Ratio: 44.32%, Max Drawdown: 0.18%
(60, 1.5, 1, 0, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 45.36%, Max Drawdown: 0.19%
(60, 1.5, 1, 0, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 43.56%, Max Drawdown: 0.19%
(60, 1.5, 1, 0, 0, 2.5, 3.5): Return: -0.08%, Hit Ratio: 43.27%, Max Drawdown: 0.2%
(60, 1.5, 1, 0, 0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 42.16%, Max Drawdown: 0.19%
(60, 1.5, 1, 0, 0.5, 2.5, 3): Return: -0.08%, Hit Ratio: 42.16%, Max Drawdown: 0.18%
(60, 1.5, 1.5, -0.5, -0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 41.54%, Max Drawdown: 0.17%
(60, 1.5, 1.5, -0.5, 0, 2.5, 2.5): Return: -0.08%, Hit Ratio: 39.34%, Max Drawdown: 0.18%
(60, 1.5, 1.5, -0.5, 0, 2.5, 3): Return: -0.08%, Hit Ratio: 39.34%, Max Drawdown: 0.18%
(60, 1.5, 1.5, -0.5, 0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 37.88%, Max Drawdown: 0.15%
(60, 1.5, 1.5, -0.5, 0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 36.76%, Max Drawdown: 0.17%
(60, 1.5, 1.5, -0.5, 0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 36.76%, Max Drawdown: 0.17%
(60, 1.5, 1.5, -0.5, 0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 36.62%, Max Drawdown: 0.17%
(60, 1.5, 1.5, 0, -0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 43.48%, Max Drawdown: 0.18%
(60, 1.5, 1.5, 0, 0, 3, 2.5): Return: -0.08%, Hit Ratio: 41.79%, Max Drawdown: 0.16%
(60, 1.5, 1.5, 0, 0, 3, 3): Return: -0.08%, Hit Ratio: 41.79%, Max Drawdown: 0.16%
(60, 1.5, 1.5, 0, 0, 3.5, 3.5): Return: -0.08%, Hit Ratio: 40.28%, Max Drawdown: 0.17%
(60, 1.5, 1.5, 0.5, -0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 41.43%, Max Drawdown: 0.16%
(60, 1.5, 1.5, 0.5, -0.5, 3, 3): Return: -0.08%, Hit Ratio: 40.0%, Max Drawdown: 0.16%
(60, 1.5, 1.5, 0.5, 0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 38.36%, Max Drawdown: 0.16%
(60, 1.5, 1.5, 0.5, 0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 38.67%, Max Drawdown: 0.16%
(60, 1.5, 2, -0.5, -0.5, 3, 3): Return: -0.08%, Hit Ratio: 46.0%, Max Drawdown: 0.16%
(60, 1.5, 2, -0.5, -0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 47.06%, Max Drawdown: 0.17%
(60, 1.5, 2, -0.5, 0, 3.5, 2.5): Return: -0.08%, Hit Ratio: 48.08%, Max Drawdown: 0.18%
(60, 1.5, 2, -0.5, 0, 3.5, 3): Return: -0.08%, Hit Ratio: 48.08%, Max Drawdown: 0.17%
(60, 1.5, 2, -0.5, 0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 41.51%, Max Drawdown: 0.17%
(60, 1.5, 2, -0.5, 0.5, 3, 3): Return: -0.08%, Hit Ratio: 41.51%, Max Drawdown: 0.16%
(60, 1.5, 2, -0.5, 0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 40.35%, Max Drawdown: 0.18%
(60, 1.5, 2, 0, 0, 3.5, 2.5): Return: -0.08%, Hit Ratio: 42.86%, Max Drawdown: 0.18%
(60, 1.5, 2, 0.5, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 38.6%, Max Drawdown: 0.18%
(60, 1.5, 2, 0.5, -0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 41.38%, Max Drawdown: 0.16%
(60, 1.5, 2, 0.5, -0.5, 3, 3): Return: -0.08%, Hit Ratio: 39.66%, Max Drawdown: 0.17%
(60, 1.5, 2, 0.5, 0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 41.38%, Max Drawdown: 0.17%
(60, 1.5, 2, 0.5, 0.5, 3, 3): Return: -0.08%, Hit Ratio: 41.38%, Max Drawdown: 0.17%
(60, 2, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 51.28%, Max Drawdown: 0.14%
(60, 2, 1.5, -0.5, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 47.73%, Max Drawdown: 0.14%
(60, 2, 1.5, -0.5, 0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 39.02%, Max Drawdown: 0.12%
(60, 2, 1.5, -0.5, 0.5, 2.5, 3): Return: -0.08%, Hit Ratio: 40.48%, Max Drawdown: 0.12%
(60, 2, 1.5, 0.5, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 46.67%, Max Drawdown: 0.14%
(60, 2, 2, 0.5, 0, 3.5, 2.5): Return: -0.08%, Hit Ratio: 50.0%, Max Drawdown: 0.11%
(60, 2, 2, 0.5, 0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 46.67%, Max Drawdown: 0.11%
(60, 2, 2, 0.5, 0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 48.39%, Max Drawdown: 0.11%
(100, 1, 1, -0.5, 0, 3, 3.5): Return: -0.08%, Hit Ratio: 44.25%, Max Drawdown: 0.17%
(100, 1, 1, -0.5, 0, 3.5, 3.5): Return: -0.08%, Hit Ratio: 44.25%, Max Drawdown: 0.17%
(100, 1, 1, -0.5, 0.5, 3.5, 2.5): Return: -0.08%, Hit Ratio: 37.21%, Max Drawdown: 0.14%
(100, 1, 1, 0, 0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 42.42%, Max Drawdown: 0.16%
(100, 1, 1, 0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 39.52%, Max Drawdown: 0.15%
(100, 1, 1, 0.5, -0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 42.31%, Max Drawdown: 0.17%
(100, 1, 1, 0.5, 0, 2.5, 2.5): Return: -0.08%, Hit Ratio: 41.13%, Max Drawdown: 0.15%
(100, 1, 1, 0.5, 0, 3, 3.5): Return: -0.08%, Hit Ratio: 43.85%, Max Drawdown: 0.17%
(100, 1, 1, 0.5, 0.5, 3, 3): Return: -0.08%, Hit Ratio: 41.48%, Max Drawdown: 0.15%
(100, 1, 1, 0.5, 0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 41.91%, Max Drawdown: 0.16%
(100, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 42.53%, Max Drawdown: 0.15%
(100, 1, 1.5, -0.5, 0, 2.5, 2.5): Return: -0.08%, Hit Ratio: 41.11%, Max Drawdown: 0.14%
(100, 1, 1.5, -0.5, 0, 3, 3): Return: -0.08%, Hit Ratio: 43.48%, Max Drawdown: 0.16%
(100, 1, 1.5, 0, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 41.05%, Max Drawdown: 0.15%
(100, 1, 1.5, 0, 0, 2.5, 3): Return: -0.08%, Hit Ratio: 42.27%, Max Drawdown: 0.14%
(100, 1, 1.5, 0, 0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 40.37%, Max Drawdown: 0.15%
(100, 1, 1.5, 0, 0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 40.91%, Max Drawdown: 0.15%
(100, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 42.73%, Max Drawdown: 0.16%
(100, 1, 1.5, 0.5, 0.5, 3, 3): Return: -0.08%, Hit Ratio: 40.18%, Max Drawdown: 0.15%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 40.35%, Max Drawdown: 0.16%
(100, 1, 2, -0.5, -0.5, 2.5, 3): Return: -0.08%, Hit Ratio: 41.33%, Max Drawdown: 0.15%
(100, 1, 2, -0.5, -0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 43.04%, Max Drawdown: 0.17%
(100, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 43.75%, Max Drawdown: 0.16%
(100, 1, 2, -0.5, 0.5, 3, 3): Return: -0.08%, Hit Ratio: 40.45%, Max Drawdown: 0.16%
(100, 1, 2, -0.5, 0.5, 3.5, 3): Return: -0.08%, Hit Ratio: 40.66%, Max Drawdown: 0.17%
(100, 1, 2, 0, -0.5, 2.5, 3.5): Return: -0.08%, Hit Ratio: 38.1%, Max Drawdown: 0.16%
(100, 1, 2, 0, 0, 2.5, 3.5): Return: -0.08%, Hit Ratio: 43.02%, Max Drawdown: 0.15%
(100, 1, 2, 0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 37.93%, Max Drawdown: 0.16%
(100, 1, 2, 0.5, 0, 2.5, 2.5): Return: -0.08%, Hit Ratio: 38.64%, Max Drawdown: 0.16%
(100, 1, 2, 0.5, 0.5, 3, 3.5): Return: -0.08%, Hit Ratio: 41.0%, Max Drawdown: 0.18%
(100, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: -0.08%, Hit Ratio: 41.58%, Max Drawdown: 0.18%
(100, 1.5, 1, 0, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 43.82%, Max Drawdown: 0.1%
(100, 1.5, 1, 0, 0, 3.5, 2.5): Return: -0.08%, Hit Ratio: 45.16%, Max Drawdown: 0.11%
(100, 1.5, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 41.67%, Max Drawdown: 0.1%
(100, 1.5, 1.5, 0, -0.5, 2.5, 2.5): Return: -0.08%, Hit Ratio: 40.62%, Max Drawdown: 0.1%
(100, 1.5, 1.5, 0, 0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 37.68%, Max Drawdown: 0.11%
(100, 1.5, 2, -0.5, -0.5, 3, 2.5): Return: -0.08%, Hit Ratio: 42.86%, Max Drawdown: 0.12%
