(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 2, 0, 0, 3, 2.5): Return: 0.01%, Hit Ratio: 48.24%, Max Drawdown: 0.1%
(30, 1.5, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.0%, Hit Ratio: 45.59%, Max Drawdown: 0.1%
(30, 1.5, 1.5, 0, -0.5, 3, 2.5): Return: -0.0%, Hit Ratio: 46.38%, Max Drawdown: 0.11%
(30, 1.5, 1.5, 0, -0.5, 3.5, 2.5): Return: -0.0%, Hit Ratio: 45.71%, Max Drawdown: 0.11%
(30, 1.5, 2, -0.5, -0.5, 2.5, 3.5): Return: -0.0%, Hit Ratio: 43.33%, Max Drawdown: 0.12%
(30, 1.5, 2, -0.5, -0.5, 3, 3.5): Return: -0.0%, Hit Ratio: 43.55%, Max Drawdown: 0.12%
(30, 1.5, 2, -0.5, 0, 3.5, 2.5): Return: -0.0%, Hit Ratio: 47.46%, Max Drawdown: 0.12%
(30, 1.5, 2, -0.5, 0.5, 3, 2.5): Return: -0.0%, Hit Ratio: 38.98%, Max Drawdown: 0.12%
(30, 1.5, 2, -0.5, 0.5, 3.5, 3): Return: -0.0%, Hit Ratio: 38.71%, Max Drawdown: 0.13%
(30, 1.5, 2, 0, 0, 2.5, 2.5): Return: 0.0%, Hit Ratio: 41.07%, Max Drawdown: 0.11%
(30, 1.5, 2, 0, 0, 3, 3): Return: -0.0%, Hit Ratio: 42.62%, Max Drawdown: 0.12%
(30, 1.5, 2, 0, 0, 3.5, 3): Return: -0.0%, Hit Ratio: 41.94%, Max Drawdown: 0.12%
(30, 1.5, 2, 0, 0.5, 2.5, 3): Return: -0.0%, Hit Ratio: 38.98%, Max Drawdown: 0.12%
(30, 1.5, 2, 0, 0.5, 3, 3): Return: 0.0%, Hit Ratio: 41.94%, Max Drawdown: 0.12%
(30, 1.5, 2, 0.5, -0.5, 2.5, 2.5): Return: 0.0%, Hit Ratio: 41.07%, Max Drawdown: 0.1%
(30, 1.5, 2, 0.5, -0.5, 3, 2.5): Return: 0.0%, Hit Ratio: 42.37%, Max Drawdown: 0.11%
(30, 1.5, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.0%, Hit Ratio: 41.67%, Max Drawdown: 0.1%
(30, 1.5, 2, 0.5, 0.5, 3, 2.5): Return: -0.0%, Hit Ratio: 40.0%, Max Drawdown: 0.12%
(30, 1.5, 2, 0.5, 0.5, 3.5, 2.5): Return: -0.0%, Hit Ratio: 39.34%, Max Drawdown: 0.12%
(60, 2, 2, -0.5, -0.5, 2.5, 3): Return: 0.0%, Hit Ratio: 59.09%, Max Drawdown: 0.06%
(60, 2, 2, -0.5, -0.5, 2.5, 3.5): Return: -0.0%, Hit Ratio: 53.85%, Max Drawdown: 0.06%
(60, 2, 2, 0, 0, 2.5, 3): Return: -0.0%, Hit Ratio: 54.55%, Max Drawdown: 0.06%
(60, 2, 2, 0, 0.5, 2.5, 3): Return: -0.0%, Hit Ratio: 54.55%, Max Drawdown: 0.06%
(60, 2, 2, 0.5, 0, 2.5, 2.5): Return: -0.0%, Hit Ratio: 57.14%, Max Drawdown: 0.06%
(60, 2, 2, 0.5, 0, 2.5, 3): Return: -0.0%, Hit Ratio: 59.09%, Max Drawdown: 0.06%
(60, 2, 2, 0.5, 0.5, 2.5, 2.5): Return: -0.0%, Hit Ratio: 57.14%, Max Drawdown: 0.06%
(60, 2, 2, 0.5, 0.5, 2.5, 3): Return: -0.0%, Hit Ratio: 59.09%, Max Drawdown: 0.06%
