(Lookback, Entry, Exit, Stop-loss)
(30, 2.2, -0.3, 2.4): Return: -0.06%, Hit Ratio: 28.57%, Max Drawdown: 0.09%
(30, 2.2, -0.3, 2.5): Return: -0.06%, Hit Ratio: 30.0%, Max Drawdown: 0.09%
(35, 2.0, -0.7, 2.3): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.08%
(35, 2.0, -0.6, 2.3): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.08%
(35, 2.0, -0.5, 2.3): Return: -0.06%, Hit Ratio: 41.67%, Max Drawdown: 0.08%
(35, 2.0, -0.4, 2.4): Return: -0.06%, Hit Ratio: 46.15%, Max Drawdown: 0.09%
(35, 2.1, -0.5, 2.3): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.08%
(35, 2.2, -0.6, 2.5): Return: -0.06%, Hit Ratio: 22.22%, Max Drawdown: 0.11%
(35, 2.2, -0.6, 2.6): Return: -0.06%, Hit Ratio: 30.0%, Max Drawdown: 0.11%
(35, 2.2, -0.6, 2.7): Return: -0.06%, Hit Ratio: 36.36%, Max Drawdown: 0.11%
(40, 1.8, -0.6, 2.4): Return: -0.06%, Hit Ratio: 47.37%, Max Drawdown: 0.12%
(40, 1.8, -0.4, 2.7): Return: -0.06%, Hit Ratio: 50.0%, Max Drawdown: 0.1%
(40, 1.8, -0.3, 2.7): Return: -0.06%, Hit Ratio: 50.0%, Max Drawdown: 0.1%
(40, 1.9, -0.6, 2.4): Return: -0.06%, Hit Ratio: 35.71%, Max Drawdown: 0.1%
(40, 1.9, -0.6, 2.7): Return: -0.06%, Hit Ratio: 37.5%, Max Drawdown: 0.12%
(40, 2.0, -0.7, 2.3): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.1%
(40, 2.0, -0.6, 2.3): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.1%
(40, 2.0, -0.6, 2.5): Return: -0.06%, Hit Ratio: 40.0%, Max Drawdown: 0.1%
(40, 2.0, -0.6, 2.6): Return: -0.06%, Hit Ratio: 40.0%, Max Drawdown: 0.1%
(40, 2.0, -0.5, 2.3): Return: -0.06%, Hit Ratio: 41.67%, Max Drawdown: 0.09%
(40, 2.1, -0.7, 2.3): Return: -0.06%, Hit Ratio: 22.22%, Max Drawdown: 0.08%
(40, 2.1, -0.6, 2.3): Return: -0.06%, Hit Ratio: 22.22%, Max Drawdown: 0.08%
(40, 2.1, -0.6, 2.5): Return: -0.06%, Hit Ratio: 30.77%, Max Drawdown: 0.09%
