(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1.5, 0.5, 0, 2.5, 3): Return: 0.14%, Hit Ratio: 51.59%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, 0, 3, 2.5): Return: 0.14%, Hit Ratio: 53.6%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, 0, 3, 3): Return: 0.14%, Hit Ratio: 53.12%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 0.14%, Hit Ratio: 54.76%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, 0, 3.5, 3): Return: 0.14%, Hit Ratio: 54.26%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, 0.5, 2.5, 3.5): Return: 0.14%, Hit Ratio: 60.0%, Max Drawdown: 0.05%
(30, 1, 2, -0.5, 0.5, 3, 3.5): Return: 0.14%, Hit Ratio: 60.71%, Max Drawdown: 0.05%
(30, 1, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.14%, Hit Ratio: 61.06%, Max Drawdown: 0.05%
(30, 1, 2, 0, 0.5, 2.5, 2.5): Return: 0.14%, Hit Ratio: 57.8%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0.5, 3, 2.5): Return: 0.14%, Hit Ratio: 58.93%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0.5, 3.5, 2.5): Return: 0.14%, Hit Ratio: 59.29%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0.5, 3.5, 3): Return: 0.14%, Hit Ratio: 59.48%, Max Drawdown: 0.03%
(60, 1, 1, -0.5, 0.5, 2.5, 3): Return: 0.14%, Hit Ratio: 53.23%, Max Drawdown: 0.03%
(60, 1, 1, -0.5, 0.5, 2.5, 3.5): Return: 0.14%, Hit Ratio: 55.28%, Max Drawdown: 0.03%
(60, 1, 1, -0.5, 0.5, 3, 3.5): Return: 0.14%, Hit Ratio: 55.28%, Max Drawdown: 0.03%
(60, 1, 1, -0.5, 0.5, 3.5, 3.5): Return: 0.14%, Hit Ratio: 55.28%, Max Drawdown: 0.03%
(60, 1, 1, 0, 0, 2.5, 3): Return: 0.14%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1, 1, 0, 0.5, 2.5, 3.5): Return: 0.14%, Hit Ratio: 51.94%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 0.14%, Hit Ratio: 50.75%, Max Drawdown: 0.03%
