(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1, 0, 0.5, 3, 3): Return: 0.08%, Hit Ratio: 52.03%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0.5, 3, 3.5): Return: 0.08%, Hit Ratio: 52.03%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0.5, 3.5, 2.5): Return: 0.08%, Hit Ratio: 51.33%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0.5, 3.5, 3): Return: 0.09%, Hit Ratio: 52.67%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0.5, 3.5, 3.5): Return: 0.09%, Hit Ratio: 52.67%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, -0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 46.04%, Max Drawdown: 0.03%
(30, 1, 1, 0.5, -0.5, 2.5, 3): Return: 0.07%, Hit Ratio: 47.48%, Max Drawdown: 0.03%
(30, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 0.07%, Hit Ratio: 47.48%, Max Drawdown: 0.03%
(30, 1, 1, 0.5, -0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 47.3%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, -0.5, 3, 3): Return: 0.08%, Hit Ratio: 48.65%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, -0.5, 3, 3.5): Return: 0.08%, Hit Ratio: 48.65%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 47.33%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, -0.5, 3.5, 3): Return: 0.08%, Hit Ratio: 48.67%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 0.08%, Hit Ratio: 48.67%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0, 2.5, 2.5): Return: 0.07%, Hit Ratio: 47.18%, Max Drawdown: 0.03%
(30, 1, 1, 0.5, 0, 2.5, 3): Return: 0.08%, Hit Ratio: 48.59%, Max Drawdown: 0.03%
(30, 1, 1, 0.5, 0, 2.5, 3.5): Return: 0.08%, Hit Ratio: 48.59%, Max Drawdown: 0.03%
(30, 1, 1, 0.5, 0, 3, 2.5): Return: 0.08%, Hit Ratio: 48.34%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0, 3, 3): Return: 0.09%, Hit Ratio: 49.67%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0, 3, 3.5): Return: 0.09%, Hit Ratio: 49.67%, Max Drawdown: 0.04%
