(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1, 0, 0.5, 3, 2.5): Return: 2.98%, Hit Ratio: 72.6%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 3, 3): Return: 3.06%, Hit Ratio: 72.6%, Max Drawdown: 0.08%
(30, 1, 1, 0, 0.5, 3, 3.5): Return: 3.07%, Hit Ratio: 76.71%, Max Drawdown: 0.08%
(30, 1, 1, 0, 0.5, 3.5, 2.5): Return: 2.98%, Hit Ratio: 71.23%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 3.5, 3): Return: 3.06%, Hit Ratio: 71.23%, Max Drawdown: 0.08%
(30, 1, 1, 0, 0.5, 3.5, 3.5): Return: 3.07%, Hit Ratio: 75.34%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, -0.5, 2.5, 2.5): Return: 2.91%, Hit Ratio: 73.33%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 2.5, 3): Return: 2.86%, Hit Ratio: 73.33%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 2.86%, Hit Ratio: 75.68%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, -0.5, 3, 2.5): Return: 2.91%, Hit Ratio: 74.32%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 3, 3): Return: 2.86%, Hit Ratio: 74.32%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, -0.5, 3, 3.5): Return: 2.86%, Hit Ratio: 78.08%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: 2.91%, Hit Ratio: 74.32%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 3.5, 3): Return: 2.86%, Hit Ratio: 74.32%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 2.86%, Hit Ratio: 78.08%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 2.5, 2.5): Return: 2.99%, Hit Ratio: 74.67%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 2.5, 3): Return: 2.94%, Hit Ratio: 74.67%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 2.5, 3.5): Return: 2.94%, Hit Ratio: 77.33%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 3, 2.5): Return: 2.99%, Hit Ratio: 75.68%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 3, 3): Return: 2.94%, Hit Ratio: 75.68%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 3, 3.5): Return: 2.94%, Hit Ratio: 79.73%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 3.5, 2.5): Return: 2.99%, Hit Ratio: 75.68%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 3.5, 3): Return: 2.93%, Hit Ratio: 75.68%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 3.5, 3.5): Return: 2.94%, Hit Ratio: 79.73%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0.5, 2.5, 2.5): Return: 2.97%, Hit Ratio: 72.5%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 2.5, 3): Return: 3.05%, Hit Ratio: 72.5%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: 3.06%, Hit Ratio: 75.0%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, 0.5, 3, 2.5): Return: 2.97%, Hit Ratio: 73.42%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 3, 3): Return: 3.05%, Hit Ratio: 73.42%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, 0.5, 3, 3.5): Return: 3.06%, Hit Ratio: 77.22%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 2.97%, Hit Ratio: 72.15%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 3.5, 3): Return: 3.05%, Hit Ratio: 72.15%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, 0.5, 3.5, 3.5): Return: 3.06%, Hit Ratio: 75.95%, Max Drawdown: 0.08%
(30, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: 0.33%, Hit Ratio: 78.0%, Max Drawdown: 0.05%
(30, 1, 1.5, -0.5, -0.5, 2.5, 3): Return: 0.27%, Hit Ratio: 77.55%, Max Drawdown: 0.05%
