(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1, 0, 0.5, 3, 2.5): Return: 2.74%, Hit Ratio: 78.75%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 3, 3): Return: 2.74%, Hit Ratio: 80.25%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 3, 3.5): Return: 2.81%, Hit Ratio: 82.72%, Max Drawdown: 0.08%
(30, 1, 1, 0, 0.5, 3.5, 2.5): Return: 2.74%, Hit Ratio: 78.75%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 3.5, 3): Return: 2.74%, Hit Ratio: 80.25%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 3.5, 3.5): Return: 2.81%, Hit Ratio: 82.72%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, -0.5, 2.5, 2.5): Return: 2.66%, Hit Ratio: 75.9%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 2.5, 3): Return: 2.66%, Hit Ratio: 77.38%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 2.6%, Hit Ratio: 77.11%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, -0.5, 3, 2.5): Return: 2.66%, Hit Ratio: 76.83%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 3, 3): Return: 2.66%, Hit Ratio: 78.31%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 3, 3.5): Return: 2.6%, Hit Ratio: 79.27%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: 2.66%, Hit Ratio: 76.83%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 3.5, 3): Return: 2.66%, Hit Ratio: 78.31%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 2.6%, Hit Ratio: 79.27%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 2.5, 2.5): Return: 2.74%, Hit Ratio: 77.11%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 2.5, 3): Return: 2.74%, Hit Ratio: 78.57%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 2.5, 3.5): Return: 2.68%, Hit Ratio: 78.57%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 3, 2.5): Return: 2.74%, Hit Ratio: 78.05%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 3, 3): Return: 2.74%, Hit Ratio: 79.52%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 3, 3.5): Return: 2.68%, Hit Ratio: 80.72%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0, 3.5, 2.5): Return: 2.74%, Hit Ratio: 78.05%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 3.5, 3): Return: 2.74%, Hit Ratio: 79.52%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0, 3.5, 3.5): Return: 2.68%, Hit Ratio: 80.72%, Max Drawdown: 0.2%
(30, 1, 1, 0.5, 0.5, 2.5, 2.5): Return: 2.74%, Hit Ratio: 77.27%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 2.5, 3): Return: 2.74%, Hit Ratio: 78.65%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: 2.81%, Hit Ratio: 79.78%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, 0.5, 3, 2.5): Return: 2.74%, Hit Ratio: 77.01%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 3, 3): Return: 2.74%, Hit Ratio: 78.41%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 3, 3.5): Return: 2.81%, Hit Ratio: 80.68%, Max Drawdown: 0.08%
(30, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 2.74%, Hit Ratio: 77.01%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 3.5, 3): Return: 2.74%, Hit Ratio: 78.41%, Max Drawdown: 0.19%
(30, 1, 1, 0.5, 0.5, 3.5, 3.5): Return: 2.81%, Hit Ratio: 80.68%, Max Drawdown: 0.08%
(30, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -3.1%, Hit Ratio: 78.85%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, -0.5, 2.5, 3): Return: -3.1%, Hit Ratio: 80.77%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: -3.16%, Hit Ratio: 80.39%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: -3.1%, Hit Ratio: 80.39%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, -0.5, 3, 3): Return: -3.1%, Hit Ratio: 82.35%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, -0.5, 3, 3.5): Return: -3.16%, Hit Ratio: 84.0%, Max Drawdown: 5.27%
