(Lookback, Entry, Exit, Stop-loss)
(60, 1.5, 0.5, 3.5): Return: 0.0%, Hit Ratio: 51.72%, Max Drawdown: 0.04%
(60, 2, -0.5, 2.5): Return: 0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 2, 0, 2.5): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 2, 0, 3): Return: 0.0%, Hit Ratio: 55.56%, Max Drawdown: 0.02%
(60, 2, 0.5, 2.5): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 2, 0.5, 3.5): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 2, 0.5, 2.5): Return: 0.0%, Hit Ratio: 70.0%, Max Drawdown: 0.01%
(100, 2, 0.5, 3): Return: 0.0%, Hit Ratio: 70.0%, Max Drawdown: 0.01%
(100, 2, 0.5, 3.5): Return: 0.0%, Hit Ratio: 64.29%, Max Drawdown: 0.02%
(60, 2, 0.5, 3): Return: -0.01%, Hit Ratio: 55.56%, Max Drawdown: 0.02%
(100, 1.5, -0.5, 2.5): Return: -0.01%, Hit Ratio: 54.17%, Max Drawdown: 0.03%
(100, 1.5, -0.5, 3): Return: -0.01%, Hit Ratio: 54.17%, Max Drawdown: 0.03%
(100, 1.5, -0.5, 3.5): Return: -0.01%, Hit Ratio: 52.0%, Max Drawdown: 0.03%
(60, 1, 0.5, 2.5): Return: -0.02%, Hit Ratio: 42.03%, Max Drawdown: 0.06%
(60, 1, 0.5, 3): Return: -0.02%, Hit Ratio: 44.29%, Max Drawdown: 0.07%
(60, 1, 0.5, 3.5): Return: -0.02%, Hit Ratio: 44.29%, Max Drawdown: 0.06%
(100, 1.5, 0, 2.5): Return: -0.02%, Hit Ratio: 52.0%, Max Drawdown: 0.05%
(100, 1.5, 0, 3): Return: -0.02%, Hit Ratio: 52.0%, Max Drawdown: 0.05%
(100, 1.5, 0, 3.5): Return: -0.02%, Hit Ratio: 44.44%, Max Drawdown: 0.05%
(100, 1.5, 0.5, 2.5): Return: -0.03%, Hit Ratio: 46.15%, Max Drawdown: 0.05%
(100, 1.5, 0.5, 3): Return: -0.03%, Hit Ratio: 46.15%, Max Drawdown: 0.05%
(100, 1.5, 0.5, 3.5): Return: -0.03%, Hit Ratio: 42.86%, Max Drawdown: 0.05%
