(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 2, 0.5, 2.5): Return: 0.01%, Hit Ratio: 52.63%, Max Drawdown: 0.02%
(30, 2, 0.5, 3): Return: 0.01%, Hit Ratio: 48.98%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 2.5): Return: 0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 3): Return: 0.01%, Hit Ratio: 51.47%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 3.5): Return: 0.01%, Hit Ratio: 51.47%, Max Drawdown: 0.03%
(100, 1.5, 0.5, 3): Return: 0.01%, Hit Ratio: 44.44%, Max Drawdown: 0.05%
(100, 2, -0.5, 3): Return: 0.01%, Hit Ratio: 57.58%, Max Drawdown: 0.02%
(100, 2, -0.5, 3.5): Return: 0.01%, Hit Ratio: 57.58%, Max Drawdown: 0.02%
(60, 1.5, 0, 2.5): Return: -0.0%, Hit Ratio: 38.57%, Max Drawdown: 0.04%
(60, 1.5, 0.5, 2.5): Return: -0.0%, Hit Ratio: 39.73%, Max Drawdown: 0.05%
(60, 2, 0.5, 3.5): Return: -0.0%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(100, 2, -0.5, 2.5): Return: 0.0%, Hit Ratio: 57.69%, Max Drawdown: 0.02%
(100, 2, 0, 2.5): Return: -0.0%, Hit Ratio: 48.15%, Max Drawdown: 0.02%
(100, 2, 0, 3): Return: 0.0%, Hit Ratio: 45.71%, Max Drawdown: 0.02%
(100, 2, 0, 3.5): Return: 0.0%, Hit Ratio: 45.71%, Max Drawdown: 0.02%
(60, 1.5, 0, 3): Return: -0.01%, Hit Ratio: 42.67%, Max Drawdown: 0.04%
(60, 1.5, 0, 3.5): Return: -0.01%, Hit Ratio: 42.11%, Max Drawdown: 0.04%
(100, 2, 0.5, 3): Return: -0.01%, Hit Ratio: 41.67%, Max Drawdown: 0.03%
(60, 1.5, 0.5, 3): Return: -0.02%, Hit Ratio: 41.56%, Max Drawdown: 0.06%
(60, 1.5, 0.5, 3.5): Return: -0.02%, Hit Ratio: 41.03%, Max Drawdown: 0.07%
(100, 2, 0.5, 2.5): Return: -0.02%, Hit Ratio: 44.44%, Max Drawdown: 0.03%
(100, 2, 0.5, 3.5): Return: -0.03%, Hit Ratio: 38.89%, Max Drawdown: 0.04%
