(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 2.0, 0.4, 2.6), Return: 5.26%, Hit Ratio: 75.0%, Max Drawdown: 0.6%
(30, 2.0, 0.4, 2.6): Return: 5.26%, Hit Ratio: 75.0%, Max Drawdown: 0.6%
(30, 2.0, 0.5, 2.6): Return: 5.23%, Hit Ratio: 78.79%, Max Drawdown: 0.6%
(30, 2.0, 0.4, 2.7): Return: 5.18%, Hit Ratio: 72.73%, Max Drawdown: 0.6%
(30, 2.0, 0.5, 2.7): Return: 5.15%, Hit Ratio: 76.47%, Max Drawdown: 0.6%
(30, 2.0, 0.3, 2.6): Return: 5.08%, Hit Ratio: 75.0%, Max Drawdown: 0.6%
(30, 1.9, 0.4, 2.6): Return: 5.02%, Hit Ratio: 68.57%, Max Drawdown: 0.69%
(30, 2.0, 0.3, 2.7): Return: 5.0%, Hit Ratio: 72.73%, Max Drawdown: 0.6%
(30, 1.9, 0.5, 2.6): Return: 4.99%, Hit Ratio: 72.22%, Max Drawdown: 0.68%
(30, 1.9, 0.4, 2.7): Return: 4.93%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(30, 1.9, 0.5, 2.7): Return: 4.91%, Hit Ratio: 70.27%, Max Drawdown: 0.68%
(30, 2.0, 0.6, 2.6): Return: 4.88%, Hit Ratio: 78.79%, Max Drawdown: 0.6%
(30, 1.9, 0.3, 2.6): Return: 4.83%, Hit Ratio: 70.59%, Max Drawdown: 0.61%
(30, 2.0, 0.6, 2.7): Return: 4.8%, Hit Ratio: 76.47%, Max Drawdown: 0.6%
(30, 1.9, 0.3, 2.7): Return: 4.75%, Hit Ratio: 68.57%, Max Drawdown: 0.61%
(30, 2.0, 0.6, 2.5): Return: 4.75%, Hit Ratio: 81.48%, Max Drawdown: 0.61%
(30, 2.0, 0.4, 2.5): Return: 4.7%, Hit Ratio: 73.08%, Max Drawdown: 0.6%
(30, 2.0, 0.5, 2.5): Return: 4.68%, Hit Ratio: 77.78%, Max Drawdown: 0.6%
(30, 1.9, 0.6, 2.6): Return: 4.64%, Hit Ratio: 72.22%, Max Drawdown: 0.68%
(30, 1.9, 0.6, 2.7): Return: 4.55%, Hit Ratio: 70.27%, Max Drawdown: 0.68%
(30, 2.0, 0.7, 2.6): Return: 4.53%, Hit Ratio: 75.76%, Max Drawdown: 0.6%
