(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1, 0, 0.5, 3, 2.5): Return: -2.99%, Hit Ratio: 35.25%, Max Drawdown: 3.16%
(30, 1, 1, 0, 0.5, 3, 3): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
(30, 1, 1, 0, 0.5, 3, 3.5): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
(30, 1, 1, 0, 0.5, 3.5, 2.5): Return: -2.99%, Hit Ratio: 35.25%, Max Drawdown: 3.16%
(30, 1, 1, 0, 0.5, 3.5, 3): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
(30, 1, 1, 0, 0.5, 3.5, 3.5): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
(30, 1, 1, 0.5, -0.5, 2.5, 2.5): Return: -3.09%, Hit Ratio: 36.96%, Max Drawdown: 3.21%
(30, 1, 1, 0.5, -0.5, 2.5, 3): Return: -3.44%, Hit Ratio: 36.69%, Max Drawdown: 3.56%
(30, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: -3.44%, Hit Ratio: 36.69%, Max Drawdown: 3.56%
(30, 1, 1, 0.5, -0.5, 3, 2.5): Return: -3.78%, Hit Ratio: 36.69%, Max Drawdown: 3.91%
(30, 1, 1, 0.5, -0.5, 3, 3): Return: -3.78%, Hit Ratio: 36.69%, Max Drawdown: 3.91%
(30, 1, 1, 0.5, -0.5, 3, 3.5): Return: -3.78%, Hit Ratio: 36.69%, Max Drawdown: 3.91%
(30, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: -3.75%, Hit Ratio: 36.69%, Max Drawdown: 3.91%
(30, 1, 1, 0.5, -0.5, 3.5, 3): Return: -3.75%, Hit Ratio: 36.69%, Max Drawdown: 3.91%
(30, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: -3.75%, Hit Ratio: 36.69%, Max Drawdown: 3.91%
(30, 1, 1, 0.5, 0, 2.5, 2.5): Return: -3.32%, Hit Ratio: 37.59%, Max Drawdown: 3.58%
(30, 1, 1, 0.5, 0, 2.5, 3): Return: -3.49%, Hit Ratio: 37.32%, Max Drawdown: 3.75%
