(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 1.3, 0.3, 2.3), Return: 1.09%, Hit Ratio: 48.48%, Max Drawdown: 0.32%
(20, 1.3, 0.3, 2.3): Return: 1.09%, Hit Ratio: 48.48%, Max Drawdown: 0.32%
(35, 1.3, 0.5, 2.7): Return: 1.09%, Hit Ratio: 52.46%, Max Drawdown: 0.22%
(35, 1.3, 0.5, 2.7): Return: 1.09%, Hit Ratio: 52.46%, Max Drawdown: 0.22%
(20, 1.3, 0.6, 2.3): Return: 1.08%, Hit Ratio: 46.27%, Max Drawdown: 0.33%
(20, 1.3, 0.3, 2.4): Return: 1.06%, Hit Ratio: 47.76%, Max Drawdown: 0.32%
(20, 1.3, 0.6, 2.4): Return: 1.06%, Hit Ratio: 45.59%, Max Drawdown: 0.33%
(35, 1.3, 0.6, 2.7): Return: 1.06%, Hit Ratio: 50.82%, Max Drawdown: 0.21%
(35, 1.3, 0.7, 2.7): Return: 1.06%, Hit Ratio: 50.82%, Max Drawdown: 0.21%
(35, 1.3, 0.6, 2.7): Return: 1.06%, Hit Ratio: 50.82%, Max Drawdown: 0.21%
(35, 1.3, 0.7, 2.7): Return: 1.06%, Hit Ratio: 50.82%, Max Drawdown: 0.21%
(20, 1.3, 0.4, 2.3): Return: 1.04%, Hit Ratio: 49.25%, Max Drawdown: 0.32%
(35, 1.3, 0.5, 2.6): Return: 1.03%, Hit Ratio: 50.82%, Max Drawdown: 0.26%
(35, 1.3, 0.5, 2.6): Return: 1.03%, Hit Ratio: 50.82%, Max Drawdown: 0.26%
(20, 1.3, 0.5, 2.3): Return: 1.02%, Hit Ratio: 49.25%, Max Drawdown: 0.32%
(35, 1.3, 0.5, 2.5): Return: 1.02%, Hit Ratio: 53.23%, Max Drawdown: 0.26%
(35, 1.3, 0.5, 2.5): Return: 1.02%, Hit Ratio: 53.23%, Max Drawdown: 0.26%
(20, 1.3, 0.4, 2.4): Return: 1.01%, Hit Ratio: 48.53%, Max Drawdown: 0.32%
(35, 1.3, 0.6, 2.6): Return: 1.0%, Hit Ratio: 49.18%, Max Drawdown: 0.22%
(35, 1.3, 0.7, 2.6): Return: 1.0%, Hit Ratio: 49.18%, Max Drawdown: 0.22%
(30, 1.3, 0.5, 2.6): Return: 1.0%, Hit Ratio: 52.31%, Max Drawdown: 0.22%
(35, 1.3, 0.6, 2.6): Return: 1.0%, Hit Ratio: 49.18%, Max Drawdown: 0.22%
(35, 1.3, 0.7, 2.6): Return: 1.0%, Hit Ratio: 49.18%, Max Drawdown: 0.22%
(20, 1.3, 0.5, 2.4): Return: 0.99%, Hit Ratio: 48.53%, Max Drawdown: 0.32%
(35, 1.3, 0.6, 2.5): Return: 0.99%, Hit Ratio: 51.61%, Max Drawdown: 0.22%
(35, 1.3, 0.7, 2.5): Return: 0.99%, Hit Ratio: 51.61%, Max Drawdown: 0.22%
(30, 1.4, 0.5, 2.6): Return: 0.99%, Hit Ratio: 53.57%, Max Drawdown: 0.32%
(35, 1.3, 0.6, 2.5): Return: 0.99%, Hit Ratio: 51.61%, Max Drawdown: 0.22%
(35, 1.3, 0.7, 2.5): Return: 0.99%, Hit Ratio: 51.61%, Max Drawdown: 0.22%
(20, 1.3, 0.7, 2.3): Return: 0.98%, Hit Ratio: 46.27%, Max Drawdown: 0.35%
(35, 1.7, 0.3, 2.7): Return: 0.98%, Hit Ratio: 58.62%, Max Drawdown: 0.21%
(35, 1.7, 0.4, 2.7): Return: 0.98%, Hit Ratio: 58.62%, Max Drawdown: 0.21%
(35, 1.7, 0.3, 2.7): Return: 0.98%, Hit Ratio: 58.62%, Max Drawdown: 0.21%
(35, 1.7, 0.4, 2.7): Return: 0.98%, Hit Ratio: 58.62%, Max Drawdown: 0.21%
(35, 1.3, 0.3, 2.7): Return: 0.97%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(30, 1.3, 0.5, 2.5): Return: 0.97%, Hit Ratio: 54.55%, Max Drawdown: 0.22%
(30, 1.3, 0.6, 2.6): Return: 0.97%, Hit Ratio: 50.77%, Max Drawdown: 0.22%
(35, 1.3, 0.3, 2.7): Return: 0.97%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(35, 1.3, 0.4, 2.7): Return: 0.96%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(30, 1.4, 0.5, 2.5): Return: 0.96%, Hit Ratio: 56.14%, Max Drawdown: 0.32%
(30, 1.4, 0.6, 2.6): Return: 0.96%, Hit Ratio: 51.79%, Max Drawdown: 0.32%
(35, 1.3, 0.4, 2.7): Return: 0.96%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(40, 1.3, 0.5, 2.7): Return: 0.96%, Hit Ratio: 50.88%, Max Drawdown: 0.27%
(20, 1.3, 0.7, 2.4): Return: 0.95%, Hit Ratio: 45.59%, Max Drawdown: 0.35%
(35, 1.4, 0.5, 2.7): Return: 0.95%, Hit Ratio: 53.7%, Max Drawdown: 0.32%
(30, 1.3, 0.5, 2.7): Return: 0.95%, Hit Ratio: 50.77%, Max Drawdown: 0.23%
(30, 1.3, 0.7, 2.6): Return: 0.95%, Hit Ratio: 50.77%, Max Drawdown: 0.23%
(35, 1.4, 0.5, 2.7): Return: 0.95%, Hit Ratio: 53.7%, Max Drawdown: 0.32%
(35, 1.7, 0.5, 2.7): Return: 0.94%, Hit Ratio: 60.0%, Max Drawdown: 0.25%
(35, 1.7, 0.6, 2.7): Return: 0.94%, Hit Ratio: 60.0%, Max Drawdown: 0.25%
(35, 1.7, 0.7, 2.7): Return: 0.94%, Hit Ratio: 60.0%, Max Drawdown: 0.25%
(30, 1.3, 0.6, 2.5): Return: 0.94%, Hit Ratio: 53.03%, Max Drawdown: 0.22%
(30, 1.4, 0.5, 2.7): Return: 0.94%, Hit Ratio: 51.79%, Max Drawdown: 0.32%
(30, 1.4, 0.7, 2.6): Return: 0.94%, Hit Ratio: 51.79%, Max Drawdown: 0.34%
