The return of ADR_underlying pairs trading for NMR_8604 from Japan is 15.649445712992064%
Hyperparameters: Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 8.237093991528091%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 8.237093991528091%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 5.186968471505476%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 5.186968471505476%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 5.186968471505476%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 7.109787319844327%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 7.109787319844327%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 7.109787319844327%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 8.841630713923514%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 8.841630713923514%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 8.841630713923514%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 9.496151547587127%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 9.496151547587127%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 9.496151547587127%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 9.37163594436954%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 9.37163594436954%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 9.37163594436954%
