(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (60, 1, 2, -0.5, 0, 3.5, 2.5), Return: 0.34%, Hit Ratio: 61.11%, Max Drawdown: 0.28%
(60, 1, 2, -0.5, 0, 3.5, 2.5): Return: 0.34%, Hit Ratio: 61.11%, Max Drawdown: 0.28%
(60, 1, 2, -0.5, 0, 3, 2.5): Return: 0.33%, Hit Ratio: 60.0%, Max Drawdown: 0.28%
(60, 1, 2, 0, 0, 3, 2.5): Return: 0.32%, Hit Ratio: 56.99%, Max Drawdown: 0.31%
(60, 1, 2, 0, 0, 3.5, 2.5): Return: 0.32%, Hit Ratio: 56.99%, Max Drawdown: 0.31%
(60, 1, 2, -0.5, 0, 3.5, 3): Return: 0.3%, Hit Ratio: 61.11%, Max Drawdown: 0.32%
(60, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.29%, Hit Ratio: 58.14%, Max Drawdown: 0.25%
(60, 1, 2, -0.5, 0, 3, 3): Return: 0.29%, Hit Ratio: 60.0%, Max Drawdown: 0.32%
(60, 1, 2, -0.5, -0.5, 3, 2.5): Return: 0.28%, Hit Ratio: 56.98%, Max Drawdown: 0.25%
(60, 1, 2, 0, 0, 3.5, 3): Return: 0.28%, Hit Ratio: 56.99%, Max Drawdown: 0.36%
(60, 1, 2, -0.5, 0, 2.5, 2.5): Return: 0.27%, Hit Ratio: 59.77%, Max Drawdown: 0.28%
(60, 1, 2, 0, 0, 3, 3): Return: 0.27%, Hit Ratio: 56.99%, Max Drawdown: 0.36%
(60, 1, 2, -0.5, 0, 3.5, 3.5): Return: 0.26%, Hit Ratio: 60.44%, Max Drawdown: 0.41%
(60, 1, 2, -0.5, 0, 3, 3.5): Return: 0.25%, Hit Ratio: 59.34%, Max Drawdown: 0.41%
(60, 1, 2, 0, 0, 2.5, 2.5): Return: 0.25%, Hit Ratio: 56.04%, Max Drawdown: 0.31%
(60, 1, 2, -0.5, -0.5, 3.5, 3): Return: 0.24%, Hit Ratio: 58.14%, Max Drawdown: 0.3%
(60, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.24%, Hit Ratio: 55.06%, Max Drawdown: 0.34%
