(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 2.1, -0.1, 3.3), Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, -0.1, 3.3): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, -0.1, 3.4): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, -0.1, 3.5): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, -0.1, 3.6): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, -0.1, 3.7): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.0, 3.3): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.0, 3.4): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.0, 3.5): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.0, 3.6): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.0, 3.7): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.1, 3.3): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.1, 3.4): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.1, 3.5): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.1, 3.6): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(50, 2.1, 0.1, 3.7): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, -0.1, 3.3): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, -0.1, 3.4): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, -0.1, 3.5): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, -0.1, 3.6): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, 0.0, 3.3): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, 0.0, 3.4): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, 0.0, 3.5): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, 0.0, 3.6): Return: 0.11%, Hit Ratio: 66.67%, Max Drawdown: 0.47%
(60, 2.2, 0.1, 3.3): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.53%
(60, 2.2, 0.1, 3.4): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.53%
(60, 2.2, 0.1, 3.5): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.53%
(60, 2.2, 0.1, 3.6): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.53%
(65, 2.0, -0.2, 3.3): Return: 0.02%, Hit Ratio: 77.78%, Max Drawdown: 0.74%
(65, 2.0, -0.2, 3.4): Return: 0.02%, Hit Ratio: 77.78%, Max Drawdown: 0.74%
(65, 2.0, -0.2, 3.5): Return: 0.02%, Hit Ratio: 77.78%, Max Drawdown: 0.74%
(65, 2.0, -0.2, 3.6): Return: 0.02%, Hit Ratio: 77.78%, Max Drawdown: 0.74%
(65, 2.0, -0.2, 3.7): Return: 0.02%, Hit Ratio: 77.78%, Max Drawdown: 0.74%
(65, 2.0, -0.1, 3.3): Return: 0.02%, Hit Ratio: 66.67%, Max Drawdown: 0.74%
(65, 2.0, -0.1, 3.4): Return: 0.02%, Hit Ratio: 66.67%, Max Drawdown: 0.74%
(65, 2.0, -0.1, 3.5): Return: 0.02%, Hit Ratio: 66.67%, Max Drawdown: 0.74%
