(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1.5, 0, 0.5, 3, 3): Return: 0.6%, Hit Ratio: 48.39%, Max Drawdown: 0.19%
(100, 1, 1.5, 0, 0.5, 3, 3.5): Return: 0.6%, Hit Ratio: 48.39%, Max Drawdown: 0.19%
(100, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 0.6%, Hit Ratio: 52.63%, Max Drawdown: 0.16%
(30, 1, 1.5, 0.5, 0, 2.5, 2.5): Return: 0.59%, Hit Ratio: 50.42%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, 0, 3, 3.5): Return: 0.59%, Hit Ratio: 50.42%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, 0, 3.5, 3): Return: 0.59%, Hit Ratio: 50.83%, Max Drawdown: 0.35%
(100, 1, 1.5, 0, 0.5, 2.5, 3): Return: 0.59%, Hit Ratio: 49.45%, Max Drawdown: 0.19%
(100, 1, 1.5, 0, 0.5, 2.5, 3.5): Return: 0.59%, Hit Ratio: 49.45%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, 0, 3, 3): Return: 0.57%, Hit Ratio: 50.42%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 2.5, 2.5): Return: 0.57%, Hit Ratio: 53.19%, Max Drawdown: 0.18%
(100, 1, 1.5, 0.5, 0, 3, 2.5): Return: 0.57%, Hit Ratio: 52.08%, Max Drawdown: 0.18%
(30, 1, 1.5, 0.5, 0, 2.5, 3.5): Return: 0.56%, Hit Ratio: 49.59%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 2.5, 3): Return: 0.56%, Hit Ratio: 52.63%, Max Drawdown: 0.3%
(100, 1, 1.5, 0.5, 0, 2.5, 3.5): Return: 0.56%, Hit Ratio: 52.63%, Max Drawdown: 0.3%
(100, 1, 2, 0, 0.5, 2.5, 3): Return: 0.56%, Hit Ratio: 50.57%, Max Drawdown: 0.19%
(100, 1, 2, 0, 0.5, 2.5, 3.5): Return: 0.56%, Hit Ratio: 50.57%, Max Drawdown: 0.19%
(100, 1, 2, 0, 0.5, 3, 3): Return: 0.56%, Hit Ratio: 49.44%, Max Drawdown: 0.19%
(100, 1, 2, 0, 0.5, 3, 3.5): Return: 0.56%, Hit Ratio: 49.44%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.55%, Hit Ratio: 50.43%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 3, 3): Return: 0.55%, Hit Ratio: 51.55%, Max Drawdown: 0.3%
(100, 1, 1.5, 0.5, 0, 3, 3.5): Return: 0.55%, Hit Ratio: 51.55%, Max Drawdown: 0.3%
(100, 1, 2, -0.5, 0.5, 2.5, 3): Return: 0.55%, Hit Ratio: 51.76%, Max Drawdown: 0.18%
(100, 1, 2, -0.5, 0.5, 2.5, 3.5): Return: 0.55%, Hit Ratio: 51.76%, Max Drawdown: 0.18%
(100, 1, 2, -0.5, 0.5, 3, 3): Return: 0.54%, Hit Ratio: 51.72%, Max Drawdown: 0.18%
(100, 1, 2, -0.5, 0.5, 3, 3.5): Return: 0.54%, Hit Ratio: 51.72%, Max Drawdown: 0.18%
(100, 1, 2, 0, 0.5, 3.5, 3): Return: 0.54%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(100, 1, 2, 0, 0.5, 3.5, 3.5): Return: 0.54%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(30, 1, 1.5, 0.5, -0.5, 3, 2.5): Return: 0.53%, Hit Ratio: 50.0%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, 0, 2.5, 3): Return: 0.53%, Hit Ratio: 49.59%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 3.5, 3): Return: 0.53%, Hit Ratio: 52.08%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 3.5, 3.5): Return: 0.53%, Hit Ratio: 52.08%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, -0.5, 3.5, 3.5): Return: 0.52%, Hit Ratio: 49.58%, Max Drawdown: 0.35%
(100, 1, 2, -0.5, 0.5, 3.5, 3): Return: 0.52%, Hit Ratio: 52.33%, Max Drawdown: 0.23%
(100, 1, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.52%, Hit Ratio: 52.33%, Max Drawdown: 0.23%
(100, 2, 2, 0.5, 0.5, 2.5, 3): Return: 0.52%, Hit Ratio: 58.33%, Max Drawdown: 0.12%
(100, 2, 2, 0.5, 0.5, 2.5, 3.5): Return: 0.52%, Hit Ratio: 58.33%, Max Drawdown: 0.12%
(100, 2, 2, 0.5, 0.5, 3, 3): Return: 0.51%, Hit Ratio: 53.85%, Max Drawdown: 0.12%
(100, 2, 2, 0.5, 0.5, 3, 3.5): Return: 0.51%, Hit Ratio: 53.85%, Max Drawdown: 0.12%
(30, 1, 1.5, 0.5, -0.5, 3, 3.5): Return: 0.5%, Hit Ratio: 49.15%, Max Drawdown: 0.35%
(30, 1, 2, -0.5, 0.5, 3.5, 2.5): Return: 0.5%, Hit Ratio: 46.08%, Max Drawdown: 0.23%
(30, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.5%, Hit Ratio: 51.82%, Max Drawdown: 0.23%
(30, 1, 1.5, 0.5, -0.5, 2.5, 2.5): Return: 0.49%, Hit Ratio: 49.15%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.49%, Hit Ratio: 49.58%, Max Drawdown: 0.35%
(30, 1, 2, -0.5, 0.5, 2.5, 2.5): Return: 0.49%, Hit Ratio: 44.66%, Max Drawdown: 0.24%
(30, 1, 2, 0.5, 0.5, 2.5, 2.5): Return: 0.49%, Hit Ratio: 50.45%, Max Drawdown: 0.23%
