(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 0.8, -0.2, 3.3), Return: 52.72%, Hit Ratio: 78.95%, Max Drawdown: 3.95%
(50, 0.8, -0.2, 3.3): Return: 52.72%, Hit Ratio: 78.95%, Max Drawdown: 3.95%
(50, 0.8, -0.2, 3.4): Return: 52.72%, Hit Ratio: 78.95%, Max Drawdown: 3.95%
(50, 0.8, -0.2, 3.5): Return: 52.72%, Hit Ratio: 78.95%, Max Drawdown: 3.95%
(50, 0.8, -0.2, 3.6): Return: 52.72%, Hit Ratio: 78.95%, Max Drawdown: 3.95%
(50, 0.8, -0.2, 3.7): Return: 52.72%, Hit Ratio: 78.95%, Max Drawdown: 3.95%
(60, 0.8, 0.0, 3.3): Return: 52.67%, Hit Ratio: 77.05%, Max Drawdown: 3.12%
(60, 0.8, 0.0, 3.4): Return: 52.67%, Hit Ratio: 77.05%, Max Drawdown: 3.12%
(60, 0.8, 0.0, 3.5): Return: 52.67%, Hit Ratio: 77.05%, Max Drawdown: 3.12%
(60, 0.8, 0.0, 3.6): Return: 52.67%, Hit Ratio: 77.05%, Max Drawdown: 3.12%
(60, 0.8, 0.0, 3.7): Return: 52.67%, Hit Ratio: 77.05%, Max Drawdown: 3.12%
(60, 0.8, -0.1, 3.3): Return: 52.36%, Hit Ratio: 80.7%, Max Drawdown: 3.57%
(60, 0.8, -0.1, 3.4): Return: 52.36%, Hit Ratio: 80.7%, Max Drawdown: 3.57%
(60, 0.8, -0.1, 3.5): Return: 52.36%, Hit Ratio: 80.7%, Max Drawdown: 3.57%
(60, 0.8, -0.1, 3.6): Return: 52.36%, Hit Ratio: 80.7%, Max Drawdown: 3.57%
(60, 0.8, -0.1, 3.7): Return: 52.36%, Hit Ratio: 80.7%, Max Drawdown: 3.57%
(65, 0.8, 0.0, 3.3): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.4): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.5): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.6): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.7): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.3): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.4): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.5): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.6): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(65, 0.8, 0.0, 3.7): Return: 51.72%, Hit Ratio: 80.7%, Max Drawdown: 3.12%
(50, 0.8, -0.1, 3.3): Return: 51.53%, Hit Ratio: 78.95%, Max Drawdown: 3.96%
(50, 0.8, -0.1, 3.4): Return: 51.53%, Hit Ratio: 78.95%, Max Drawdown: 3.96%
(50, 0.8, -0.1, 3.5): Return: 51.53%, Hit Ratio: 78.95%, Max Drawdown: 3.96%
(50, 0.8, -0.1, 3.6): Return: 51.53%, Hit Ratio: 78.95%, Max Drawdown: 3.96%
(50, 0.8, -0.1, 3.7): Return: 51.53%, Hit Ratio: 78.95%, Max Drawdown: 3.96%
(70, 0.8, -0.2, 3.4): Return: 50.81%, Hit Ratio: 79.31%, Max Drawdown: 3.57%
(70, 0.8, -0.2, 3.5): Return: 50.81%, Hit Ratio: 79.31%, Max Drawdown: 3.57%
(70, 0.8, -0.2, 3.6): Return: 50.81%, Hit Ratio: 79.31%, Max Drawdown: 3.57%
(70, 0.8, -0.2, 3.7): Return: 50.81%, Hit Ratio: 79.31%, Max Drawdown: 3.57%
(65, 0.8, -0.1, 3.3): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.4): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.5): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.6): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.7): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.3): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.4): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.5): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.6): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(65, 0.8, -0.1, 3.7): Return: 50.57%, Hit Ratio: 82.14%, Max Drawdown: 3.16%
(60, 0.8, -0.2, 3.3): Return: 49.83%, Hit Ratio: 81.48%, Max Drawdown: 4.02%
(60, 0.8, -0.2, 3.4): Return: 49.83%, Hit Ratio: 81.48%, Max Drawdown: 4.02%
(60, 0.8, -0.2, 3.5): Return: 49.83%, Hit Ratio: 81.48%, Max Drawdown: 4.02%
(60, 0.8, -0.2, 3.6): Return: 49.83%, Hit Ratio: 81.48%, Max Drawdown: 4.02%
(60, 0.8, -0.2, 3.7): Return: 49.83%, Hit Ratio: 81.48%, Max Drawdown: 4.02%
(65, 0.8, -0.2, 3.3): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.4): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.5): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.6): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.7): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.3): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.4): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.5): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.6): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(65, 0.8, -0.2, 3.7): Return: 49.6%, Hit Ratio: 81.13%, Max Drawdown: 4.04%
(70, 0.8, 0.0, 3.4): Return: 49.47%, Hit Ratio: 76.27%, Max Drawdown: 3.18%
(70, 0.8, 0.0, 3.5): Return: 49.47%, Hit Ratio: 76.27%, Max Drawdown: 3.18%
(70, 0.8, 0.0, 3.6): Return: 49.47%, Hit Ratio: 76.27%, Max Drawdown: 3.18%
(70, 0.8, 0.0, 3.7): Return: 49.47%, Hit Ratio: 76.27%, Max Drawdown: 3.18%
(70, 0.8, -0.1, 3.4): Return: 49.39%, Hit Ratio: 79.66%, Max Drawdown: 3.42%
(70, 0.8, -0.1, 3.5): Return: 49.39%, Hit Ratio: 79.66%, Max Drawdown: 3.42%
(70, 0.8, -0.1, 3.6): Return: 49.39%, Hit Ratio: 79.66%, Max Drawdown: 3.42%
(70, 0.8, -0.1, 3.7): Return: 49.39%, Hit Ratio: 79.66%, Max Drawdown: 3.42%
(50, 0.8, 0.0, 3.3): Return: 48.92%, Hit Ratio: 77.42%, Max Drawdown: 3.19%
(50, 0.8, 0.0, 3.4): Return: 48.92%, Hit Ratio: 77.42%, Max Drawdown: 3.19%
(50, 0.8, 0.0, 3.5): Return: 48.92%, Hit Ratio: 77.42%, Max Drawdown: 3.19%
(50, 0.8, 0.0, 3.6): Return: 48.92%, Hit Ratio: 77.42%, Max Drawdown: 3.19%
(50, 0.8, 0.0, 3.7): Return: 48.92%, Hit Ratio: 77.42%, Max Drawdown: 3.19%
(50, 0.9, 0.0, 3.3): Return: 48.56%, Hit Ratio: 79.66%, Max Drawdown: 3.19%
(50, 0.9, 0.0, 3.4): Return: 48.56%, Hit Ratio: 79.66%, Max Drawdown: 3.19%
(50, 0.9, 0.0, 3.5): Return: 48.56%, Hit Ratio: 79.66%, Max Drawdown: 3.19%
(50, 0.9, 0.0, 3.6): Return: 48.56%, Hit Ratio: 79.66%, Max Drawdown: 3.19%
(50, 0.9, 0.0, 3.7): Return: 48.56%, Hit Ratio: 79.66%, Max Drawdown: 3.19%
(50, 0.8, 0.1, 3.3): Return: 47.97%, Hit Ratio: 74.6%, Max Drawdown: 3.2%
(50, 0.8, 0.1, 3.4): Return: 47.97%, Hit Ratio: 74.6%, Max Drawdown: 3.2%
(50, 0.8, 0.1, 3.5): Return: 47.97%, Hit Ratio: 74.6%, Max Drawdown: 3.2%
(50, 0.8, 0.1, 3.6): Return: 47.97%, Hit Ratio: 74.6%, Max Drawdown: 3.2%
(50, 0.8, 0.1, 3.7): Return: 47.97%, Hit Ratio: 74.6%, Max Drawdown: 3.2%
(65, 0.8, 0.1, 3.3): Return: 47.78%, Hit Ratio: 78.69%, Max Drawdown: 3.22%
(65, 0.8, 0.1, 3.4): Return: 47.78%, Hit Ratio: 78.69%, Max Drawdown: 3.22%
(65, 0.8, 0.1, 3.5): Return: 47.78%, Hit Ratio: 78.69%, Max Drawdown: 3.22%
(65, 0.8, 0.1, 3.6): Return: 47.78%, Hit Ratio: 78.69%, Max Drawdown: 3.22%
(65, 0.8, 0.1, 3.7): Return: 47.78%, Hit Ratio: 78.69%, Max Drawdown: 3.22%
