(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 2, 0.5, 3), Return: 25.13%, Hit Ratio: 90.91%, Max Drawdown: 3.47%
(60, 2, 0.5, 3): Return: 25.13%, Hit Ratio: 90.91%, Max Drawdown: 3.47%
(100, 1.5, 0.5, 3): Return: 22.48%, Hit Ratio: 90.48%, Max Drawdown: 3.54%
(100, 1.5, 0.5, 3.5): Return: 22.48%, Hit Ratio: 90.48%, Max Drawdown: 3.54%
(100, 1.5, 0.5, 2.5): Return: 22.46%, Hit Ratio: 80.95%, Max Drawdown: 3.54%
(60, 2, 0.5, 3.5): Return: 22.29%, Hit Ratio: 90.91%, Max Drawdown: 3.55%
(60, 1, 0.5, 3): Return: 22.18%, Hit Ratio: 78.38%, Max Drawdown: 3.55%
(60, 1.5, 0.5, 3): Return: 22.14%, Hit Ratio: 76.47%, Max Drawdown: 3.55%
(30, 2, 0.5, 3): Return: 21.64%, Hit Ratio: 85.71%, Max Drawdown: 4.07%
(30, 2, 0.5, 3.5): Return: 21.64%, Hit Ratio: 85.71%, Max Drawdown: 4.07%
(30, 2, 0.5, 2.5): Return: 20.0%, Hit Ratio: 83.33%, Max Drawdown: 4.08%
(30, 1.5, 0.5, 2.5): Return: 19.4%, Hit Ratio: 73.08%, Max Drawdown: 4.07%
(30, 1.5, 0.5, 3): Return: 19.39%, Hit Ratio: 76.0%, Max Drawdown: 4.07%
(30, 1.5, 0.5, 3.5): Return: 19.39%, Hit Ratio: 76.0%, Max Drawdown: 4.07%
(60, 1, 0.5, 3.5): Return: 19.34%, Hit Ratio: 78.38%, Max Drawdown: 3.63%
(60, 1.5, 0.5, 3.5): Return: 19.3%, Hit Ratio: 76.47%, Max Drawdown: 3.63%
(60, 1, 0.5, 2.5): Return: 16.92%, Hit Ratio: 72.22%, Max Drawdown: 4.15%
(60, 1.5, 0.5, 2.5): Return: 16.88%, Hit Ratio: 62.5%, Max Drawdown: 3.33%
(100, 1, 0, 2.5): Return: 16.74%, Hit Ratio: 75.0%, Max Drawdown: 3.71%
(100, 1, 0, 3): Return: 16.3%, Hit Ratio: 77.78%, Max Drawdown: 3.72%
(100, 1, 0, 3.5): Return: 16.3%, Hit Ratio: 77.78%, Max Drawdown: 3.72%
(60, 2, 0, 3): Return: 15.94%, Hit Ratio: 100.0%, Max Drawdown: 3.73%
