(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1, 0.5, 2.5), Return: 14.78%, Hit Ratio: 73.47%, Max Drawdown: 3.77%
(100, 1, 0.5, 2.5): Return: 14.78%, Hit Ratio: 73.47%, Max Drawdown: 3.77%
(100, 1, 0.5, 3): Return: 14.78%, Hit Ratio: 72.92%, Max Drawdown: 3.77%
(100, 1, 0.5, 3.5): Return: 14.78%, Hit Ratio: 72.92%, Max Drawdown: 3.77%
(60, 1, 0.5, 3): Return: 13.31%, Hit Ratio: 75.51%, Max Drawdown: 3.82%
(60, 1, 0.5, 3.5): Return: 13.31%, Hit Ratio: 75.51%, Max Drawdown: 3.82%
(100, 1.5, 0.5, 2.5): Return: 12.64%, Hit Ratio: 82.61%, Max Drawdown: 3.84%
(100, 1.5, 0.5, 3): Return: 12.64%, Hit Ratio: 82.61%, Max Drawdown: 3.84%
(100, 1.5, 0.5, 3.5): Return: 12.64%, Hit Ratio: 82.61%, Max Drawdown: 3.84%
(60, 2, 0.5, 3): Return: 11.29%, Hit Ratio: 88.89%, Max Drawdown: 3.88%
(60, 2, 0.5, 3.5): Return: 11.29%, Hit Ratio: 88.89%, Max Drawdown: 3.88%
(60, 1.5, 0.5, 3): Return: 10.62%, Hit Ratio: 72.0%, Max Drawdown: 3.9%
(60, 1.5, 0.5, 3.5): Return: 10.62%, Hit Ratio: 72.0%, Max Drawdown: 3.9%
(30, 2, 0.5, 2.5): Return: 10.48%, Hit Ratio: 66.67%, Max Drawdown: 3.91%
(30, 2, 0.5, 3): Return: 10.48%, Hit Ratio: 66.67%, Max Drawdown: 3.91%
(30, 2, 0.5, 3.5): Return: 10.48%, Hit Ratio: 66.67%, Max Drawdown: 3.91%
(30, 1.5, 0.5, 3): Return: 9.83%, Hit Ratio: 70.37%, Max Drawdown: 3.93%
(30, 1.5, 0.5, 3.5): Return: 9.83%, Hit Ratio: 70.37%, Max Drawdown: 3.93%
(30, 1.5, 0.5, 2.5): Return: 9.82%, Hit Ratio: 70.83%, Max Drawdown: 3.93%
(100, 1, 0, 2.5): Return: 8.04%, Hit Ratio: 80.43%, Max Drawdown: 3.99%
(100, 1, 0, 3): Return: 8.04%, Hit Ratio: 80.0%, Max Drawdown: 3.99%
(100, 1, 0, 3.5): Return: 8.04%, Hit Ratio: 80.0%, Max Drawdown: 3.99%
(60, 1, -0.5, 2.5): Return: 7.4%, Hit Ratio: 71.43%, Max Drawdown: 2.6%
(30, 1, 0.5, 3): Return: 7.35%, Hit Ratio: 68.33%, Max Drawdown: 5.96%
(30, 1, 0.5, 3.5): Return: 7.35%, Hit Ratio: 68.33%, Max Drawdown: 5.96%
(30, 1, 0.5, 2.5): Return: 7.34%, Hit Ratio: 65.0%, Max Drawdown: 5.96%
(100, 1, -0.5, 2.5): Return: 7.18%, Hit Ratio: 86.49%, Max Drawdown: 4.03%
(100, 1, -0.5, 3): Return: 7.18%, Hit Ratio: 86.11%, Max Drawdown: 4.03%
(100, 1, -0.5, 3.5): Return: 7.18%, Hit Ratio: 86.11%, Max Drawdown: 4.03%
(60, 1, 0, 2.5): Return: 6.29%, Hit Ratio: 73.33%, Max Drawdown: 2.12%
(60, 1, -0.5, 3): Return: 5.77%, Hit Ratio: 78.05%, Max Drawdown: 4.08%
(60, 1, -0.5, 3.5): Return: 5.77%, Hit Ratio: 78.05%, Max Drawdown: 4.08%
