Date,High,Low,Open,Close,Volume,Adj Close
2015-12-31,7.285974425030872e-05,7.246376480907202e-05,7.278020348167047e-05,7.22282420611009e-05,0.0,7.22282420611009e-05
2016-01-01,7.259527774294838e-05,7.259527774294838e-05,7.259527774294838e-05,7.259527774294838e-05,0.0,7.259527774294838e-05
2016-01-04,7.238508987938985e-05,7.179781823651865e-05,7.22282420611009e-05,7.259527774294838e-05,0.0,7.259527774294838e-05
2016-01-05,7.272727089002728e-05,7.178750820457935e-05,7.178750820457935e-05,7.164863200159743e-05,0.0,7.164863200159743e-05
2016-01-06,7.249003101605922e-05,7.163323607528582e-05,7.246376480907202e-05,7.243752042995766e-05,0.0,7.243752042995766e-05
2016-01-07,7.280669524334371e-05,7.169486343627796e-05,7.246376480907202e-05,7.191657641669735e-05,0.0,7.191657641669735e-05
2016-01-08,7.267441833391786e-05,7.18132869224064e-05,7.195279613370076e-05,7.178750820457935e-05,0.0,7.178750820457935e-05
2016-01-11,7.309941429411992e-05,7.174630445661023e-05,7.179781823651865e-05,7.199423998827115e-05,0.0,7.199423998827115e-05
2016-01-12,7.342144090216607e-05,7.182360423030332e-05,7.221259147627279e-05,7.243752042995766e-05,0.0,7.243752042995766e-05
2016-01-13,7.267441833391786e-05,7.210845069494098e-05,7.217610982479528e-05,7.249003101605922e-05,0.0,7.249003101605922e-05
2016-01-14,7.272727089002728e-05,7.161784742493182e-05,7.210845069494098e-05,7.221780833788216e-05,0.0,7.221780833788216e-05
2016-01-15,7.239556725835428e-05,7.15409914846532e-05,7.217610982479528e-05,7.233273208839819e-05,0.0,7.233273208839819e-05
2016-01-18,7.250579801620916e-05,7.172057667048648e-05,7.189072493929416e-05,7.156659557949752e-05,0.0,7.156659557949752e-05
2016-01-19,7.272727089002728e-05,7.18132869224064e-05,7.209805335151032e-05,7.18132869224064e-05,0.0,7.18132869224064e-05
2016-01-20,7.256893877638504e-05,7.161784742493182e-05,7.217610982479528e-05,7.230658229673281e-05,0.0,7.230658229673281e-05
2016-01-21,7.233796350192279e-05,7.179781823651865e-05,7.191657641669735e-05,7.233273208839819e-05,0.0,7.233273208839819e-05
