(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1.5, 2, 0.5, 0.5, 3.5, 2.5): Return: 5.51%, Hit Ratio: 71.74%, Max Drawdown: 0.4%
(30, 1, 1.5, 0.5, 0, 2.5, 2.5): Return: 5.5%, Hit Ratio: 66.67%, Max Drawdown: 0.33%
(30, 1, 1.5, 0.5, -0.5, 2.5, 2.5): Return: 5.49%, Hit Ratio: 65.69%, Max Drawdown: 0.34%
(60, 1.5, 2, 0.5, 0, 3, 2.5): Return: 5.49%, Hit Ratio: 69.57%, Max Drawdown: 0.41%
(60, 1.5, 2, 0.5, 0, 3.5, 2.5): Return: 5.49%, Hit Ratio: 69.57%, Max Drawdown: 0.41%
(60, 1.5, 2, 0.5, 0.5, 3, 3): Return: 5.46%, Hit Ratio: 69.57%, Max Drawdown: 0.35%
(60, 1.5, 2, 0.5, 0.5, 3.5, 3): Return: 5.46%, Hit Ratio: 69.57%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, 0.5, 2.5, 2.5): Return: 5.44%, Hit Ratio: 68.27%, Max Drawdown: 0.33%
(60, 1.5, 2, 0.5, 0, 3, 3): Return: 5.44%, Hit Ratio: 67.39%, Max Drawdown: 0.35%
(60, 1.5, 2, 0.5, 0, 3.5, 3): Return: 5.44%, Hit Ratio: 67.39%, Max Drawdown: 0.35%
(30, 1, 2, 0.5, 0, 2.5, 2.5): Return: 5.4%, Hit Ratio: 67.68%, Max Drawdown: 0.33%
(60, 1, 2, 0, 0, 3, 2.5): Return: 5.4%, Hit Ratio: 80.0%, Max Drawdown: 0.5%
(60, 1, 2, 0, 0, 3.5, 2.5): Return: 5.4%, Hit Ratio: 80.0%, Max Drawdown: 0.5%
(30, 1, 1.5, 0.5, -0.5, 3, 3): Return: 5.38%, Hit Ratio: 67.65%, Max Drawdown: 0.33%
(30, 1, 2, 0.5, -0.5, 2.5, 2.5): Return: 5.36%, Hit Ratio: 66.67%, Max Drawdown: 0.34%
(30, 1, 2, 0.5, 0.5, 2.5, 2.5): Return: 5.35%, Hit Ratio: 68.0%, Max Drawdown: 0.33%
(60, 1, 2, 0, 0, 3, 3): Return: 5.35%, Hit Ratio: 80.0%, Max Drawdown: 0.5%
(60, 1, 2, 0, 0, 3.5, 3): Return: 5.35%, Hit Ratio: 80.0%, Max Drawdown: 0.5%
(60, 1, 2, 0.5, -0.5, 3, 3.5): Return: 5.29%, Hit Ratio: 73.68%, Max Drawdown: 0.35%
