(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 1, -0.5, 2.5), Return: 4.6%, Hit Ratio: 76.0%, Max Drawdown: 0.48%
(60, 1, -0.5, 2.5): Return: 4.6%, Hit Ratio: 76.0%, Max Drawdown: 0.48%
(60, 1, 0, 2.5): Return: 4.52%, Hit Ratio: 74.6%, Max Drawdown: 0.48%
(60, 1.5, -0.5, 2.5): Return: 4.27%, Hit Ratio: 70.37%, Max Drawdown: 0.43%
(60, 1.5, 0, 2.5): Return: 4.23%, Hit Ratio: 64.71%, Max Drawdown: 0.43%
(100, 1, 0.5, 3.5): Return: 4.2%, Hit Ratio: 72.22%, Max Drawdown: 0.52%
(30, 1, 0.5, 3.5): Return: 4.09%, Hit Ratio: 71.08%, Max Drawdown: 0.72%
(30, 1, 0.5, 3): Return: 4.08%, Hit Ratio: 71.08%, Max Drawdown: 0.72%
(100, 1, 0.5, 2.5): Return: 4.06%, Hit Ratio: 71.23%, Max Drawdown: 0.52%
(100, 1, 0.5, 3): Return: 4.06%, Hit Ratio: 72.22%, Max Drawdown: 0.52%
(60, 1, 0.5, 3): Return: 3.87%, Hit Ratio: 70.67%, Max Drawdown: 0.52%
(60, 1, 0.5, 3.5): Return: 3.87%, Hit Ratio: 70.67%, Max Drawdown: 0.52%
(30, 1, 0.5, 2.5): Return: 3.77%, Hit Ratio: 68.67%, Max Drawdown: 0.77%
(60, 2, -0.5, 2.5): Return: 3.77%, Hit Ratio: 70.0%, Max Drawdown: 0.78%
(60, 2, 0, 2.5): Return: 3.63%, Hit Ratio: 72.73%, Max Drawdown: 0.78%
(60, 1, 0.5, 2.5): Return: 3.51%, Hit Ratio: 70.27%, Max Drawdown: 0.52%
(100, 1.5, 0.5, 3.5): Return: 3.27%, Hit Ratio: 71.88%, Max Drawdown: 0.68%
(100, 1.5, 0.5, 2.5): Return: 3.12%, Hit Ratio: 67.74%, Max Drawdown: 0.69%
(100, 1.5, 0.5, 3): Return: 3.12%, Hit Ratio: 70.97%, Max Drawdown: 0.69%
(60, 1.5, 0.5, 3): Return: 3.08%, Hit Ratio: 67.5%, Max Drawdown: 0.64%
(60, 1.5, 0.5, 3.5): Return: 3.08%, Hit Ratio: 67.5%, Max Drawdown: 0.64%
(30, 1.5, 0.5, 3): Return: 2.84%, Hit Ratio: 69.77%, Max Drawdown: 0.68%
(30, 1.5, 0.5, 3.5): Return: 2.84%, Hit Ratio: 69.77%, Max Drawdown: 0.68%
(60, 1.5, 0.5, 2.5): Return: 2.72%, Hit Ratio: 63.16%, Max Drawdown: 0.7%
(100, 2, 0.5, 3.5): Return: 2.62%, Hit Ratio: 80.0%, Max Drawdown: 0.69%
(30, 1.5, 0.5, 2.5): Return: 2.52%, Hit Ratio: 66.67%, Max Drawdown: 0.74%
(100, 2, 0.5, 3): Return: 2.47%, Hit Ratio: 77.78%, Max Drawdown: 0.69%
(100, 2, 0.5, 2.5): Return: 2.46%, Hit Ratio: 62.5%, Max Drawdown: 0.69%
(60, 2, 0.5, 3): Return: 2.39%, Hit Ratio: 66.67%, Max Drawdown: 0.62%
(60, 2, 0.5, 3.5): Return: 2.39%, Hit Ratio: 66.67%, Max Drawdown: 0.62%
(100, 1, 0, 3.5): Return: 2.23%, Hit Ratio: 77.97%, Max Drawdown: 0.38%
(100, 1, 0, 2.5): Return: 2.09%, Hit Ratio: 75.0%, Max Drawdown: 0.38%
(100, 1, 0, 3): Return: 2.09%, Hit Ratio: 77.97%, Max Drawdown: 0.38%
(60, 2, 0.5, 2.5): Return: 2.04%, Hit Ratio: 58.33%, Max Drawdown: 0.68%
(100, 1, -0.5, 3.5): Return: 1.83%, Hit Ratio: 77.55%, Max Drawdown: 0.46%
(100, 1, -0.5, 2.5): Return: 1.69%, Hit Ratio: 74.0%, Max Drawdown: 0.46%
(100, 1, -0.5, 3): Return: 1.69%, Hit Ratio: 77.55%, Max Drawdown: 0.46%
(30, 1, -0.5, 3): Return: 1.68%, Hit Ratio: 78.69%, Max Drawdown: 0.48%
(30, 1, -0.5, 3.5): Return: 1.67%, Hit Ratio: 78.69%, Max Drawdown: 0.48%
(60, 1, -0.5, 3): Return: 1.53%, Hit Ratio: 78.0%, Max Drawdown: 0.48%
(60, 1, -0.5, 3.5): Return: 1.53%, Hit Ratio: 78.0%, Max Drawdown: 0.48%
(30, 1, 0, 3): Return: 1.51%, Hit Ratio: 73.91%, Max Drawdown: 0.48%
(30, 1, 0, 3.5): Return: 1.5%, Hit Ratio: 73.91%, Max Drawdown: 0.48%
(60, 1, 0, 3): Return: 1.45%, Hit Ratio: 74.6%, Max Drawdown: 0.48%
(60, 1, 0, 3.5): Return: 1.45%, Hit Ratio: 74.6%, Max Drawdown: 0.48%
(30, 1, -0.5, 2.5): Return: 1.39%, Hit Ratio: 71.88%, Max Drawdown: 0.48%
(100, 1.5, 0, 3.5): Return: 1.34%, Hit Ratio: 76.0%, Max Drawdown: 0.33%
(100, 1.5, -0.5, 3.5): Return: 1.27%, Hit Ratio: 76.19%, Max Drawdown: 0.33%
(30, 1, 0, 2.5): Return: 1.2%, Hit Ratio: 67.61%, Max Drawdown: 0.48%
(60, 1.5, -0.5, 3): Return: 1.2%, Hit Ratio: 74.07%, Max Drawdown: 0.33%
(60, 1.5, -0.5, 3.5): Return: 1.2%, Hit Ratio: 74.07%, Max Drawdown: 0.33%
(100, 1.5, 0, 2.5): Return: 1.19%, Hit Ratio: 70.83%, Max Drawdown: 0.33%
(100, 1.5, 0, 3): Return: 1.19%, Hit Ratio: 75.0%, Max Drawdown: 0.33%
(60, 1.5, 0, 3): Return: 1.17%, Hit Ratio: 65.71%, Max Drawdown: 0.33%
(60, 1.5, 0, 3.5): Return: 1.17%, Hit Ratio: 65.71%, Max Drawdown: 0.33%
(100, 1.5, -0.5, 2.5): Return: 1.12%, Hit Ratio: 66.67%, Max Drawdown: 0.33%
(100, 1.5, -0.5, 3): Return: 1.12%, Hit Ratio: 75.0%, Max Drawdown: 0.33%
(30, 1.5, -0.5, 3): Return: 1.04%, Hit Ratio: 77.14%, Max Drawdown: 0.23%
(30, 1.5, -0.5, 3.5): Return: 1.04%, Hit Ratio: 77.14%, Max Drawdown: 0.23%
