(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 1.0, -0.7, 3.0), Return: 0.41%, Hit Ratio: 59.09%, Max Drawdown: 0.1%
(60, 1.0, -0.7, 3.0): Return: 0.41%, Hit Ratio: 59.09%, Max Drawdown: 0.1%
(60, 1.0, -0.7, 2.8): Return: 0.4%, Hit Ratio: 59.7%, Max Drawdown: 0.1%
(60, 1.0, -0.7, 2.9): Return: 0.4%, Hit Ratio: 59.7%, Max Drawdown: 0.1%
(60, 1.0, -0.7, 3.1): Return: 0.39%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(60, 1.0, -0.7, 3.2): Return: 0.39%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(60, 1.0, -0.6, 3.0): Return: 0.39%, Hit Ratio: 54.17%, Max Drawdown: 0.1%
(60, 1.0, -0.6, 2.8): Return: 0.38%, Hit Ratio: 54.17%, Max Drawdown: 0.1%
(60, 1.0, -0.6, 2.9): Return: 0.38%, Hit Ratio: 54.17%, Max Drawdown: 0.1%
(60, 1.0, -0.6, 3.1): Return: 0.38%, Hit Ratio: 54.93%, Max Drawdown: 0.1%
(60, 1.0, -0.6, 3.2): Return: 0.38%, Hit Ratio: 54.93%, Max Drawdown: 0.1%
(60, 1.0, -0.5, 2.8): Return: 0.37%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(60, 1.0, -0.5, 2.9): Return: 0.37%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(60, 1.0, -0.5, 3.0): Return: 0.37%, Hit Ratio: 54.05%, Max Drawdown: 0.1%
(70, 1.1, -0.6, 2.9): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.13%
(70, 1.1, -0.6, 3.0): Return: 0.37%, Hit Ratio: 59.02%, Max Drawdown: 0.13%
(70, 1.1, -0.6, 3.1): Return: 0.37%, Hit Ratio: 59.02%, Max Drawdown: 0.13%
(70, 1.1, -0.6, 3.2): Return: 0.37%, Hit Ratio: 59.02%, Max Drawdown: 0.13%
(60, 0.9, -0.7, 3.0): Return: 0.36%, Hit Ratio: 54.79%, Max Drawdown: 0.13%
(60, 1.0, -0.5, 3.1): Return: 0.36%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(60, 1.0, -0.5, 3.2): Return: 0.36%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(70, 1.1, -0.7, 3.1): Return: 0.36%, Hit Ratio: 60.34%, Max Drawdown: 0.13%
(70, 1.1, -0.7, 3.2): Return: 0.36%, Hit Ratio: 60.34%, Max Drawdown: 0.13%
(70, 1.1, -0.6, 2.8): Return: 0.36%, Hit Ratio: 60.0%, Max Drawdown: 0.13%
(65, 1.0, -0.6, 3.1): Return: 0.35%, Hit Ratio: 57.75%, Max Drawdown: 0.11%
(65, 1.0, -0.6, 3.2): Return: 0.35%, Hit Ratio: 57.75%, Max Drawdown: 0.11%
(65, 1.1, -0.6, 3.1): Return: 0.35%, Hit Ratio: 59.68%, Max Drawdown: 0.11%
(65, 1.1, -0.6, 3.2): Return: 0.35%, Hit Ratio: 59.68%, Max Drawdown: 0.11%
(60, 1.2, -0.7, 3.0): Return: 0.35%, Hit Ratio: 60.0%, Max Drawdown: 0.11%
(60, 1.2, -0.6, 3.0): Return: 0.35%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(60, 1.2, -0.5, 2.8): Return: 0.35%, Hit Ratio: 57.89%, Max Drawdown: 0.1%
(60, 1.2, -0.5, 2.9): Return: 0.35%, Hit Ratio: 57.89%, Max Drawdown: 0.1%
(60, 1.2, -0.5, 3.0): Return: 0.35%, Hit Ratio: 56.9%, Max Drawdown: 0.1%
(65, 1.0, -0.6, 3.1): Return: 0.35%, Hit Ratio: 57.75%, Max Drawdown: 0.11%
(65, 1.0, -0.6, 3.2): Return: 0.35%, Hit Ratio: 57.75%, Max Drawdown: 0.11%
(65, 1.1, -0.6, 3.1): Return: 0.35%, Hit Ratio: 59.68%, Max Drawdown: 0.11%
(65, 1.1, -0.6, 3.2): Return: 0.35%, Hit Ratio: 59.68%, Max Drawdown: 0.11%
(70, 1.1, -0.7, 2.8): Return: 0.35%, Hit Ratio: 61.4%, Max Drawdown: 0.14%
(70, 1.1, -0.7, 2.9): Return: 0.35%, Hit Ratio: 61.4%, Max Drawdown: 0.14%
(70, 1.1, -0.7, 3.0): Return: 0.35%, Hit Ratio: 60.34%, Max Drawdown: 0.14%
(70, 1.1, -0.5, 3.1): Return: 0.35%, Hit Ratio: 58.06%, Max Drawdown: 0.12%
(70, 1.1, -0.5, 3.2): Return: 0.35%, Hit Ratio: 58.06%, Max Drawdown: 0.12%
(65, 1.0, -0.6, 2.8): Return: 0.34%, Hit Ratio: 57.75%, Max Drawdown: 0.12%
(65, 1.0, -0.6, 2.9): Return: 0.34%, Hit Ratio: 57.75%, Max Drawdown: 0.12%
(65, 1.0, -0.6, 3.0): Return: 0.34%, Hit Ratio: 57.75%, Max Drawdown: 0.12%
(65, 1.1, -0.6, 2.8): Return: 0.34%, Hit Ratio: 59.68%, Max Drawdown: 0.13%
(65, 1.1, -0.6, 2.9): Return: 0.34%, Hit Ratio: 59.68%, Max Drawdown: 0.13%
(65, 1.1, -0.6, 3.0): Return: 0.34%, Hit Ratio: 59.68%, Max Drawdown: 0.13%
(60, 0.9, -0.7, 3.1): Return: 0.34%, Hit Ratio: 55.56%, Max Drawdown: 0.14%
(60, 0.9, -0.7, 3.2): Return: 0.34%, Hit Ratio: 55.56%, Max Drawdown: 0.14%
(60, 0.9, -0.6, 3.0): Return: 0.34%, Hit Ratio: 50.63%, Max Drawdown: 0.11%
(60, 1.2, -0.7, 2.8): Return: 0.34%, Hit Ratio: 60.78%, Max Drawdown: 0.13%
(60, 1.2, -0.7, 2.9): Return: 0.34%, Hit Ratio: 60.78%, Max Drawdown: 0.13%
(60, 1.2, -0.7, 3.1): Return: 0.34%, Hit Ratio: 61.22%, Max Drawdown: 0.12%
(60, 1.2, -0.7, 3.2): Return: 0.34%, Hit Ratio: 61.22%, Max Drawdown: 0.12%
(60, 1.2, -0.6, 2.8): Return: 0.34%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(60, 1.2, -0.6, 2.9): Return: 0.34%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(60, 1.2, -0.6, 3.1): Return: 0.34%, Hit Ratio: 58.18%, Max Drawdown: 0.1%
(60, 1.2, -0.6, 3.2): Return: 0.34%, Hit Ratio: 58.18%, Max Drawdown: 0.1%
(60, 1.2, -0.5, 3.1): Return: 0.34%, Hit Ratio: 57.89%, Max Drawdown: 0.1%
(60, 1.2, -0.5, 3.2): Return: 0.34%, Hit Ratio: 57.89%, Max Drawdown: 0.1%
(65, 1.0, -0.6, 2.8): Return: 0.34%, Hit Ratio: 57.75%, Max Drawdown: 0.12%
(65, 1.0, -0.6, 2.9): Return: 0.34%, Hit Ratio: 57.75%, Max Drawdown: 0.12%
(65, 1.0, -0.6, 3.0): Return: 0.34%, Hit Ratio: 57.75%, Max Drawdown: 0.12%
(65, 1.1, -0.6, 2.8): Return: 0.34%, Hit Ratio: 59.68%, Max Drawdown: 0.13%
(65, 1.1, -0.6, 2.9): Return: 0.34%, Hit Ratio: 59.68%, Max Drawdown: 0.13%
(65, 1.1, -0.6, 3.0): Return: 0.34%, Hit Ratio: 59.68%, Max Drawdown: 0.13%
(70, 1.1, -0.5, 2.8): Return: 0.34%, Hit Ratio: 59.02%, Max Drawdown: 0.13%
(70, 1.1, -0.5, 2.9): Return: 0.34%, Hit Ratio: 59.02%, Max Drawdown: 0.13%
(70, 1.1, -0.5, 3.0): Return: 0.34%, Hit Ratio: 58.06%, Max Drawdown: 0.13%
(50, 1.1, -0.7, 2.8): Return: 0.33%, Hit Ratio: 54.1%, Max Drawdown: 0.11%
(50, 1.1, -0.7, 2.9): Return: 0.33%, Hit Ratio: 54.1%, Max Drawdown: 0.11%
(50, 1.1, -0.6, 2.8): Return: 0.33%, Hit Ratio: 51.56%, Max Drawdown: 0.1%
(50, 1.1, -0.6, 2.9): Return: 0.33%, Hit Ratio: 51.56%, Max Drawdown: 0.1%
(65, 0.9, -0.6, 3.1): Return: 0.33%, Hit Ratio: 53.95%, Max Drawdown: 0.15%
(65, 0.9, -0.6, 3.2): Return: 0.33%, Hit Ratio: 53.95%, Max Drawdown: 0.15%
(65, 1.0, -0.5, 2.8): Return: 0.33%, Hit Ratio: 55.56%, Max Drawdown: 0.12%
(65, 1.0, -0.5, 2.9): Return: 0.33%, Hit Ratio: 55.56%, Max Drawdown: 0.12%
(65, 1.0, -0.5, 3.0): Return: 0.33%, Hit Ratio: 55.56%, Max Drawdown: 0.12%
(65, 1.0, -0.5, 3.1): Return: 0.33%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(65, 1.0, -0.5, 3.2): Return: 0.33%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(65, 1.1, -0.5, 2.8): Return: 0.33%, Hit Ratio: 57.14%, Max Drawdown: 0.11%
(65, 1.1, -0.5, 2.9): Return: 0.33%, Hit Ratio: 57.14%, Max Drawdown: 0.11%
(65, 1.1, -0.5, 3.0): Return: 0.33%, Hit Ratio: 57.14%, Max Drawdown: 0.11%
(65, 1.1, -0.5, 3.1): Return: 0.33%, Hit Ratio: 56.25%, Max Drawdown: 0.1%
(65, 1.1, -0.5, 3.2): Return: 0.33%, Hit Ratio: 56.25%, Max Drawdown: 0.1%
(65, 0.9, -0.6, 3.1): Return: 0.33%, Hit Ratio: 53.95%, Max Drawdown: 0.15%
(65, 0.9, -0.6, 3.2): Return: 0.33%, Hit Ratio: 53.95%, Max Drawdown: 0.15%
(65, 1.0, -0.5, 2.8): Return: 0.33%, Hit Ratio: 55.56%, Max Drawdown: 0.12%
(65, 1.0, -0.5, 2.9): Return: 0.33%, Hit Ratio: 55.56%, Max Drawdown: 0.12%
(65, 1.0, -0.5, 3.0): Return: 0.33%, Hit Ratio: 55.56%, Max Drawdown: 0.12%
(65, 1.0, -0.5, 3.1): Return: 0.33%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(65, 1.0, -0.5, 3.2): Return: 0.33%, Hit Ratio: 54.79%, Max Drawdown: 0.1%
(65, 1.1, -0.5, 2.8): Return: 0.33%, Hit Ratio: 57.14%, Max Drawdown: 0.11%
(65, 1.1, -0.5, 2.9): Return: 0.33%, Hit Ratio: 57.14%, Max Drawdown: 0.11%
(65, 1.1, -0.5, 3.0): Return: 0.33%, Hit Ratio: 57.14%, Max Drawdown: 0.11%
(65, 1.1, -0.5, 3.1): Return: 0.33%, Hit Ratio: 56.25%, Max Drawdown: 0.1%
(65, 1.1, -0.5, 3.2): Return: 0.33%, Hit Ratio: 56.25%, Max Drawdown: 0.1%
(70, 1.0, -0.6, 3.1): Return: 0.33%, Hit Ratio: 53.62%, Max Drawdown: 0.14%
(70, 1.0, -0.6, 3.2): Return: 0.33%, Hit Ratio: 53.62%, Max Drawdown: 0.14%
(50, 1.1, -0.7, 3.0): Return: 0.32%, Hit Ratio: 54.1%, Max Drawdown: 0.11%
(50, 1.1, -0.7, 3.1): Return: 0.32%, Hit Ratio: 53.23%, Max Drawdown: 0.11%
(50, 1.1, -0.7, 3.2): Return: 0.32%, Hit Ratio: 53.23%, Max Drawdown: 0.11%
(50, 1.2, -0.5, 2.8): Return: 0.32%, Hit Ratio: 60.34%, Max Drawdown: 0.11%
(50, 1.2, -0.5, 2.9): Return: 0.32%, Hit Ratio: 60.34%, Max Drawdown: 0.11%
(60, 0.9, -0.6, 3.1): Return: 0.32%, Hit Ratio: 51.28%, Max Drawdown: 0.12%
(60, 0.9, -0.6, 3.2): Return: 0.32%, Hit Ratio: 51.28%, Max Drawdown: 0.12%
(60, 0.9, -0.5, 3.0): Return: 0.32%, Hit Ratio: 51.85%, Max Drawdown: 0.11%
(60, 1.2, -0.4, 2.8): Return: 0.32%, Hit Ratio: 53.33%, Max Drawdown: 0.12%
(60, 1.2, -0.4, 2.9): Return: 0.32%, Hit Ratio: 53.33%, Max Drawdown: 0.12%
(60, 1.2, -0.4, 3.0): Return: 0.32%, Hit Ratio: 52.46%, Max Drawdown: 0.1%
(70, 1.0, -0.6, 2.9): Return: 0.32%, Hit Ratio: 54.41%, Max Drawdown: 0.15%
(70, 1.0, -0.6, 3.0): Return: 0.32%, Hit Ratio: 53.62%, Max Drawdown: 0.15%
(50, 1.1, -0.6, 3.0): Return: 0.31%, Hit Ratio: 51.56%, Max Drawdown: 0.1%
(50, 1.1, -0.6, 3.1): Return: 0.31%, Hit Ratio: 50.77%, Max Drawdown: 0.1%
(50, 1.1, -0.6, 3.2): Return: 0.31%, Hit Ratio: 50.77%, Max Drawdown: 0.1%
(50, 1.2, -0.6, 2.8): Return: 0.31%, Hit Ratio: 55.36%, Max Drawdown: 0.11%
(50, 1.2, -0.6, 2.9): Return: 0.31%, Hit Ratio: 55.36%, Max Drawdown: 0.11%
(50, 1.2, -0.4, 2.8): Return: 0.31%, Hit Ratio: 57.38%, Max Drawdown: 0.12%
(50, 1.2, -0.4, 2.9): Return: 0.31%, Hit Ratio: 57.38%, Max Drawdown: 0.12%
(65, 0.9, -0.5, 3.1): Return: 0.31%, Hit Ratio: 52.56%, Max Drawdown: 0.14%
(65, 0.9, -0.5, 3.2): Return: 0.31%, Hit Ratio: 52.56%, Max Drawdown: 0.14%
(60, 1.1, -0.7, 2.8): Return: 0.31%, Hit Ratio: 60.71%, Max Drawdown: 0.14%
(60, 1.1, -0.7, 2.9): Return: 0.31%, Hit Ratio: 60.71%, Max Drawdown: 0.14%
(60, 1.1, -0.7, 3.0): Return: 0.31%, Hit Ratio: 60.0%, Max Drawdown: 0.13%
(65, 0.9, -0.5, 3.1): Return: 0.31%, Hit Ratio: 52.56%, Max Drawdown: 0.14%
(65, 0.9, -0.5, 3.2): Return: 0.31%, Hit Ratio: 52.56%, Max Drawdown: 0.14%
(70, 0.9, -0.6, 3.1): Return: 0.31%, Hit Ratio: 54.79%, Max Drawdown: 0.15%
(70, 0.9, -0.6, 3.2): Return: 0.31%, Hit Ratio: 54.79%, Max Drawdown: 0.15%
(70, 1.0, -0.7, 3.1): Return: 0.31%, Hit Ratio: 54.55%, Max Drawdown: 0.14%
(70, 1.0, -0.7, 3.2): Return: 0.31%, Hit Ratio: 54.55%, Max Drawdown: 0.14%
(70, 1.0, -0.6, 2.8): Return: 0.31%, Hit Ratio: 54.41%, Max Drawdown: 0.15%
(70, 1.0, -0.5, 3.1): Return: 0.31%, Hit Ratio: 51.39%, Max Drawdown: 0.13%
(70, 1.0, -0.5, 3.2): Return: 0.31%, Hit Ratio: 51.39%, Max Drawdown: 0.13%
(50, 1.2, -0.6, 3.0): Return: 0.3%, Hit Ratio: 55.36%, Max Drawdown: 0.11%
(50, 1.2, -0.6, 3.1): Return: 0.3%, Hit Ratio: 54.39%, Max Drawdown: 0.11%
(50, 1.2, -0.6, 3.2): Return: 0.3%, Hit Ratio: 54.39%, Max Drawdown: 0.11%
(50, 1.2, -0.5, 3.0): Return: 0.3%, Hit Ratio: 59.32%, Max Drawdown: 0.11%
(50, 1.2, -0.5, 3.1): Return: 0.3%, Hit Ratio: 58.33%, Max Drawdown: 0.11%
(50, 1.2, -0.5, 3.2): Return: 0.3%, Hit Ratio: 58.33%, Max Drawdown: 0.11%
(65, 0.9, -0.6, 2.9): Return: 0.3%, Hit Ratio: 53.95%, Max Drawdown: 0.16%
(65, 0.9, -0.6, 3.0): Return: 0.3%, Hit Ratio: 53.95%, Max Drawdown: 0.16%
(60, 0.9, -0.7, 2.8): Return: 0.3%, Hit Ratio: 54.05%, Max Drawdown: 0.16%
(60, 0.9, -0.7, 2.9): Return: 0.3%, Hit Ratio: 54.05%, Max Drawdown: 0.16%
(60, 0.9, -0.6, 2.8): Return: 0.3%, Hit Ratio: 50.63%, Max Drawdown: 0.12%
(60, 0.9, -0.6, 2.9): Return: 0.3%, Hit Ratio: 50.63%, Max Drawdown: 0.12%
(60, 0.9, -0.5, 3.1): Return: 0.3%, Hit Ratio: 52.5%, Max Drawdown: 0.11%
(60, 0.9, -0.5, 3.2): Return: 0.3%, Hit Ratio: 52.5%, Max Drawdown: 0.11%
(60, 1.0, -0.4, 2.8): Return: 0.3%, Hit Ratio: 51.32%, Max Drawdown: 0.13%
(60, 1.0, -0.4, 2.9): Return: 0.3%, Hit Ratio: 51.32%, Max Drawdown: 0.13%
(60, 1.0, -0.4, 3.0): Return: 0.3%, Hit Ratio: 50.65%, Max Drawdown: 0.11%
(60, 1.1, -0.7, 3.1): Return: 0.3%, Hit Ratio: 61.11%, Max Drawdown: 0.14%
(60, 1.1, -0.7, 3.2): Return: 0.3%, Hit Ratio: 61.11%, Max Drawdown: 0.14%
(60, 1.1, -0.6, 3.0): Return: 0.3%, Hit Ratio: 55.74%, Max Drawdown: 0.1%
(60, 1.1, -0.5, 2.8): Return: 0.3%, Hit Ratio: 56.45%, Max Drawdown: 0.12%
(60, 1.1, -0.5, 2.9): Return: 0.3%, Hit Ratio: 56.45%, Max Drawdown: 0.12%
(60, 1.1, -0.5, 3.0): Return: 0.3%, Hit Ratio: 55.56%, Max Drawdown: 0.1%
(60, 1.2, -0.4, 3.1): Return: 0.3%, Hit Ratio: 53.33%, Max Drawdown: 0.1%
(60, 1.2, -0.4, 3.2): Return: 0.3%, Hit Ratio: 53.33%, Max Drawdown: 0.1%
(65, 0.9, -0.6, 2.9): Return: 0.3%, Hit Ratio: 53.95%, Max Drawdown: 0.16%
(65, 0.9, -0.6, 3.0): Return: 0.3%, Hit Ratio: 53.95%, Max Drawdown: 0.16%
(70, 1.0, -0.7, 2.8): Return: 0.3%, Hit Ratio: 55.38%, Max Drawdown: 0.16%
(70, 1.0, -0.7, 2.9): Return: 0.3%, Hit Ratio: 55.38%, Max Drawdown: 0.16%
(70, 1.0, -0.7, 3.0): Return: 0.3%, Hit Ratio: 54.55%, Max Drawdown: 0.16%
(70, 1.0, -0.5, 2.8): Return: 0.3%, Hit Ratio: 52.11%, Max Drawdown: 0.15%
(70, 1.0, -0.5, 2.9): Return: 0.3%, Hit Ratio: 52.11%, Max Drawdown: 0.15%
(70, 1.0, -0.5, 3.0): Return: 0.3%, Hit Ratio: 51.39%, Max Drawdown: 0.15%
(50, 1.1, -0.5, 2.8): Return: 0.29%, Hit Ratio: 51.52%, Max Drawdown: 0.1%
(50, 1.1, -0.5, 2.9): Return: 0.29%, Hit Ratio: 51.52%, Max Drawdown: 0.1%
(50, 1.2, -0.7, 2.8): Return: 0.29%, Hit Ratio: 51.85%, Max Drawdown: 0.12%
(50, 1.2, -0.7, 2.9): Return: 0.29%, Hit Ratio: 51.85%, Max Drawdown: 0.12%
(50, 1.2, -0.4, 3.0): Return: 0.29%, Hit Ratio: 54.84%, Max Drawdown: 0.12%
(50, 1.2, -0.4, 3.1): Return: 0.29%, Hit Ratio: 53.97%, Max Drawdown: 0.12%
(50, 1.2, -0.4, 3.2): Return: 0.29%, Hit Ratio: 53.97%, Max Drawdown: 0.12%
(65, 0.9, -0.6, 2.8): Return: 0.29%, Hit Ratio: 53.25%, Max Drawdown: 0.16%
(60, 1.0, -0.4, 3.1): Return: 0.29%, Hit Ratio: 51.32%, Max Drawdown: 0.11%
(60, 1.0, -0.4, 3.2): Return: 0.29%, Hit Ratio: 51.32%, Max Drawdown: 0.11%
(60, 1.1, -0.6, 2.8): Return: 0.29%, Hit Ratio: 55.74%, Max Drawdown: 0.12%
(60, 1.1, -0.6, 2.9): Return: 0.29%, Hit Ratio: 55.74%, Max Drawdown: 0.12%
(65, 0.9, -0.6, 2.8): Return: 0.29%, Hit Ratio: 53.25%, Max Drawdown: 0.16%
(70, 0.9, -0.7, 3.1): Return: 0.29%, Hit Ratio: 55.71%, Max Drawdown: 0.16%
(70, 0.9, -0.7, 3.2): Return: 0.29%, Hit Ratio: 55.71%, Max Drawdown: 0.16%
(70, 0.9, -0.5, 3.1): Return: 0.29%, Hit Ratio: 52.63%, Max Drawdown: 0.14%
(70, 0.9, -0.5, 3.2): Return: 0.29%, Hit Ratio: 52.63%, Max Drawdown: 0.14%
(50, 1.1, -0.4, 2.8): Return: 0.28%, Hit Ratio: 52.17%, Max Drawdown: 0.11%
(50, 1.1, -0.4, 2.9): Return: 0.28%, Hit Ratio: 52.17%, Max Drawdown: 0.11%
(50, 1.2, -0.7, 3.0): Return: 0.28%, Hit Ratio: 51.85%, Max Drawdown: 0.12%
(65, 0.9, -0.5, 2.9): Return: 0.28%, Hit Ratio: 52.56%, Max Drawdown: 0.16%
(65, 0.9, -0.5, 3.0): Return: 0.28%, Hit Ratio: 52.56%, Max Drawdown: 0.16%
(65, 1.0, -0.7, 3.1): Return: 0.28%, Hit Ratio: 56.92%, Max Drawdown: 0.16%
(65, 1.0, -0.7, 3.2): Return: 0.28%, Hit Ratio: 56.92%, Max Drawdown: 0.16%
(65, 1.1, -0.7, 3.1): Return: 0.28%, Hit Ratio: 56.14%, Max Drawdown: 0.16%
(65, 1.1, -0.7, 3.2): Return: 0.28%, Hit Ratio: 56.14%, Max Drawdown: 0.16%
(60, 0.9, -0.5, 2.8): Return: 0.28%, Hit Ratio: 51.85%, Max Drawdown: 0.13%
(60, 0.9, -0.5, 2.9): Return: 0.28%, Hit Ratio: 51.85%, Max Drawdown: 0.13%
(60, 1.1, -0.6, 3.1): Return: 0.28%, Hit Ratio: 56.67%, Max Drawdown: 0.11%
(60, 1.1, -0.6, 3.2): Return: 0.28%, Hit Ratio: 56.67%, Max Drawdown: 0.11%
(60, 1.1, -0.5, 3.1): Return: 0.28%, Hit Ratio: 56.45%, Max Drawdown: 0.1%
(60, 1.1, -0.5, 3.2): Return: 0.28%, Hit Ratio: 56.45%, Max Drawdown: 0.1%
(65, 0.9, -0.5, 2.9): Return: 0.28%, Hit Ratio: 52.56%, Max Drawdown: 0.16%
(65, 0.9, -0.5, 3.0): Return: 0.28%, Hit Ratio: 52.56%, Max Drawdown: 0.16%
(65, 1.0, -0.7, 3.1): Return: 0.28%, Hit Ratio: 56.92%, Max Drawdown: 0.16%
(65, 1.0, -0.7, 3.2): Return: 0.28%, Hit Ratio: 56.92%, Max Drawdown: 0.16%
(65, 1.1, -0.7, 3.1): Return: 0.28%, Hit Ratio: 56.14%, Max Drawdown: 0.16%
(65, 1.1, -0.7, 3.2): Return: 0.28%, Hit Ratio: 56.14%, Max Drawdown: 0.16%
(70, 0.9, -0.6, 2.9): Return: 0.28%, Hit Ratio: 55.56%, Max Drawdown: 0.16%
(70, 0.9, -0.6, 3.0): Return: 0.28%, Hit Ratio: 54.79%, Max Drawdown: 0.16%
(50, 1.1, -0.5, 3.0): Return: 0.27%, Hit Ratio: 50.75%, Max Drawdown: 0.1%
(50, 1.1, -0.5, 3.1): Return: 0.27%, Hit Ratio: 50.0%, Max Drawdown: 0.1%
(50, 1.1, -0.5, 3.2): Return: 0.27%, Hit Ratio: 50.0%, Max Drawdown: 0.1%
(50, 1.2, -0.7, 3.1): Return: 0.27%, Hit Ratio: 50.91%, Max Drawdown: 0.12%
(50, 1.2, -0.7, 3.2): Return: 0.27%, Hit Ratio: 50.91%, Max Drawdown: 0.12%
(65, 0.9, -0.5, 2.8): Return: 0.27%, Hit Ratio: 51.9%, Max Drawdown: 0.16%
(65, 1.0, -0.7, 2.8): Return: 0.27%, Hit Ratio: 57.58%, Max Drawdown: 0.18%
(65, 1.0, -0.7, 2.9): Return: 0.27%, Hit Ratio: 57.58%, Max Drawdown: 0.18%
(65, 1.0, -0.7, 3.0): Return: 0.27%, Hit Ratio: 57.58%, Max Drawdown: 0.18%
(65, 1.1, -0.7, 2.8): Return: 0.27%, Hit Ratio: 56.9%, Max Drawdown: 0.18%
(65, 1.1, -0.7, 2.9): Return: 0.27%, Hit Ratio: 56.9%, Max Drawdown: 0.18%
(65, 1.1, -0.7, 3.0): Return: 0.27%, Hit Ratio: 56.9%, Max Drawdown: 0.18%
(60, 1.1, -0.4, 2.8): Return: 0.27%, Hit Ratio: 52.31%, Max Drawdown: 0.13%
(60, 1.1, -0.4, 2.9): Return: 0.27%, Hit Ratio: 52.31%, Max Drawdown: 0.13%
(60, 1.1, -0.4, 3.0): Return: 0.27%, Hit Ratio: 51.52%, Max Drawdown: 0.12%
(65, 0.9, -0.5, 2.8): Return: 0.27%, Hit Ratio: 51.9%, Max Drawdown: 0.16%
(65, 1.0, -0.7, 2.8): Return: 0.27%, Hit Ratio: 57.58%, Max Drawdown: 0.18%
(65, 1.0, -0.7, 2.9): Return: 0.27%, Hit Ratio: 57.58%, Max Drawdown: 0.18%
(65, 1.0, -0.7, 3.0): Return: 0.27%, Hit Ratio: 57.58%, Max Drawdown: 0.18%
(65, 1.1, -0.7, 2.8): Return: 0.27%, Hit Ratio: 56.9%, Max Drawdown: 0.18%
(65, 1.1, -0.7, 2.9): Return: 0.27%, Hit Ratio: 56.9%, Max Drawdown: 0.18%
(65, 1.1, -0.7, 3.0): Return: 0.27%, Hit Ratio: 56.9%, Max Drawdown: 0.18%
(70, 0.9, -0.6, 2.8): Return: 0.27%, Hit Ratio: 54.79%, Max Drawdown: 0.16%
