,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_us_before,avg_bid_us_at,avg_ask_us_at,avg_us_at,ir
0,2015-04-02,0.7604,0.76043,0.7604150000000001,0.76043,0.76048,0.7604550000000001,0.75708,0.7571,0.75709,0.7568600000000001,0.7569,0.75688,
1,2015-04-03,0.75798,0.7580399999999999,0.75801,0.75797,0.7580399999999999,0.758005,0.76555,0.76563,0.76559,0.76554,0.76562,0.7655799999999999,
2,2015-04-06,0.7639699999999999,0.76403,0.764,0.7639600000000001,0.76402,0.7639900000000001,0.76376,0.7638199999999999,0.76379,0.76374,0.76379,0.763765,
3,2015-04-07,0.7589,0.75893,0.758915,0.75873,0.75879,0.75876,0.76471,0.76475,0.76473,0.76465,0.76469,0.76467,
4,2015-04-08,0.76394,0.76398,0.76396,0.7638,0.76384,0.7638199999999999,0.77123,0.77127,0.77125,0.77118,0.7712,0.77119,
5,2015-04-09,0.7684,0.76845,0.7684249999999999,0.7682100000000001,0.76826,0.768235,0.77277,0.7728,0.772785,0.77268,0.77272,0.7726999999999999,
6,2015-04-10,0.77023,0.77027,0.77025,0.7702600000000001,0.7703,0.7702800000000001,0.76674,0.76677,0.766755,0.7670100000000001,0.7670399999999999,0.7670250000000001,
7,2015-04-13,0.76647,0.76651,0.76649,0.76641,0.76646,0.766435,0.7589199999999999,0.75895,0.7589349999999999,0.75936,0.75939,0.759375,
8,2015-04-14,0.75856,0.7586,0.75858,0.75853,0.75857,0.7585500000000001,0.76251,0.76255,0.7625299999999999,0.76265,0.7627,0.762675,
9,2015-04-15,0.76132,0.76137,0.7613449999999999,0.7613800000000001,0.76142,0.7614000000000001,0.76213,0.7621399999999999,0.762135,0.7623800000000001,0.76242,0.7624,
10,2015-04-16,0.76756,0.7676,0.7675799999999999,0.76751,0.76755,0.76753,0.7793,0.7793100000000001,0.779305,0.7792100000000001,0.77923,0.77922,
11,2015-04-17,0.77862,0.77867,0.778645,0.77867,0.77871,0.77869,0.77795,0.77798,0.777965,0.77775,0.77778,0.777765,
12,2015-04-20,0.78067,0.78071,0.78069,0.7804399999999999,0.78049,0.780465,0.77604,0.77609,0.776065,0.7759999999999999,0.77605,0.776025,
13,2015-04-21,0.77205,0.7720899999999999,0.77207,0.77185,0.77189,0.7718700000000001,0.77228,0.77231,0.772295,0.77228,0.77232,0.7723,
14,2015-04-22,0.7711899999999999,0.7712100000000001,0.7712,0.77117,0.7712,0.771185,0.77708,0.77712,0.7771,0.77713,0.7771600000000001,0.777145,
15,2015-04-23,0.77474,0.77477,0.774755,0.77452,0.77456,0.77454,0.77251,0.77254,0.772525,0.77248,0.7725,0.77249,
