(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.4, -0.7, 3.7), Return: 1.2%, Hit Ratio: 53.62%, Max Drawdown: 1.3%
(50, 1.4, -0.7, 3.7): Return: 1.2%, Hit Ratio: 53.62%, Max Drawdown: 1.3%
(50, 1.5, -0.7, 3.7): Return: 1.11%, Hit Ratio: 53.97%, Max Drawdown: 1.37%
(70, 1.6, -0.6, 3.3): Return: 1.11%, Hit Ratio: 46.15%, Max Drawdown: 1.04%
(70, 1.7, -0.6, 3.3): Return: 1.11%, Hit Ratio: 43.75%, Max Drawdown: 1.03%
(70, 1.5, -0.7, 3.3): Return: 1.09%, Hit Ratio: 45.61%, Max Drawdown: 1.35%
(70, 1.5, -0.6, 3.3): Return: 1.09%, Hit Ratio: 48.28%, Max Drawdown: 1.12%
(50, 1.4, -0.5, 3.7): Return: 1.01%, Hit Ratio: 52.11%, Max Drawdown: 1.47%
(50, 1.4, -0.6, 3.7): Return: 1.0%, Hit Ratio: 51.43%, Max Drawdown: 1.38%
(70, 1.6, -0.5, 3.3): Return: 0.95%, Hit Ratio: 50.94%, Max Drawdown: 0.95%
(70, 1.7, -0.7, 3.3): Return: 0.95%, Hit Ratio: 43.75%, Max Drawdown: 1.19%
(50, 1.5, -0.5, 3.7): Return: 0.92%, Hit Ratio: 50.77%, Max Drawdown: 1.46%
(70, 1.7, -0.5, 3.3): Return: 0.92%, Hit Ratio: 45.83%, Max Drawdown: 0.95%
(70, 1.5, -0.5, 3.3): Return: 0.91%, Hit Ratio: 50.0%, Max Drawdown: 1.01%
(70, 1.6, -0.7, 3.3): Return: 0.91%, Hit Ratio: 45.1%, Max Drawdown: 1.23%
(50, 1.4, -0.4, 3.7): Return: 0.89%, Hit Ratio: 55.41%, Max Drawdown: 1.6%
(50, 1.5, -0.6, 3.7): Return: 0.88%, Hit Ratio: 49.23%, Max Drawdown: 1.39%
(50, 1.5, -0.4, 3.7): Return: 0.84%, Hit Ratio: 53.73%, Max Drawdown: 1.59%
(65, 1.5, -0.5, 3.3): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.4): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.5): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.6): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.3): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.4): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.5): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.6): Return: 0.83%, Hit Ratio: 47.62%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.7): Return: 0.82%, Hit Ratio: 48.44%, Max Drawdown: 1.44%
(65, 1.5, -0.5, 3.7): Return: 0.82%, Hit Ratio: 48.44%, Max Drawdown: 1.44%
(65, 1.7, -0.5, 3.3): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.4): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.5): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.6): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.3): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.4): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.5): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.6): Return: 0.79%, Hit Ratio: 48.08%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.7): Return: 0.77%, Hit Ratio: 49.06%, Max Drawdown: 1.34%
(65, 1.7, -0.5, 3.7): Return: 0.77%, Hit Ratio: 49.06%, Max Drawdown: 1.34%
(65, 1.5, -0.6, 3.3): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.4): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.5): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.6): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.3): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.4): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.5): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.6): Return: 0.73%, Hit Ratio: 46.03%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.7): Return: 0.72%, Hit Ratio: 46.88%, Max Drawdown: 1.47%
(65, 1.5, -0.6, 3.7): Return: 0.72%, Hit Ratio: 46.88%, Max Drawdown: 1.47%
(70, 1.5, -0.4, 3.3): Return: 0.72%, Hit Ratio: 49.18%, Max Drawdown: 1.28%
(65, 1.7, -0.6, 3.3): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.4): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.5): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.6): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(60, 1.6, -0.7, 3.5): Return: 0.71%, Hit Ratio: 50.91%, Max Drawdown: 1.48%
(65, 1.7, -0.6, 3.3): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.4): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.5): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.6): Return: 0.71%, Hit Ratio: 48.08%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.7): Return: 0.7%, Hit Ratio: 49.06%, Max Drawdown: 1.36%
(65, 1.7, -0.6, 3.7): Return: 0.7%, Hit Ratio: 49.06%, Max Drawdown: 1.36%
(70, 1.6, -0.4, 3.3): Return: 0.7%, Hit Ratio: 50.94%, Max Drawdown: 1.14%
(65, 1.6, -0.5, 3.3): Return: 0.69%, Hit Ratio: 46.3%, Max Drawdown: 1.36%
(65, 1.6, -0.5, 3.4): Return: 0.69%, Hit Ratio: 46.3%, Max Drawdown: 1.36%
