,date,underlying_ATH_close,underlying_ATH_close_per_unit,underlying_ATH_volume,underlying_GTG_close,underlying_GTG_close_per_unit,underlying_GTG_volume,underlying_IMM_close,underlying_IMM_close_per_unit,underlying_IMM_volume,underlying_IMC_close,underlying_IMC_close_per_unit,underlying_IMC_volume,underlying_KZA_close,underlying_KZA_close_per_unit,underlying_KZA_volume,underlying_MSB_close,underlying_MSB_close_per_unit,underlying_MSB_volume,underlying_PLL_close,underlying_PLL_close_per_unit,underlying_PLL_volume,underlying_WBC_close,underlying_WBC_close_per_unit,underlying_WBC_volume,underlying_7751_close,underlying_7751_close_per_unit,underlying_7751_volume,underlying_7267_close,underlying_7267_close_per_unit,underlying_7267_volume,underlying_8591_close,underlying_8591_close_per_unit,underlying_8591_volume,underlying_8411_close,underlying_8411_close_per_unit,underlying_8411_volume,underlying_8306_close,underlying_8306_close_per_unit,underlying_8306_volume,underlying_8604_close,underlying_8604_close_per_unit,underlying_8604_volume,underlying_8316_close,underlying_8316_close_per_unit,underlying_8316_volume,underlying_6758_close,underlying_6758_close_per_unit,underlying_6758_volume,underlying_4502_close,underlying_4502_close_per_unit,underlying_4502_volume,underlying_7203_close,underlying_7203_close_per_unit,underlying_7203_volume,underlying_2600_close,underlying_2600_close_per_unit,underlying_2600_volume,underlying_6160_close,underlying_6160_close_per_unit,underlying_6160_volume,underlying_670_close,underlying_670_close_per_unit,underlying_670_volume,underlying_902_close,underlying_902_close_per_unit,underlying_902_volume,underlying_2628_close,underlying_2628_close_per_unit,underlying_2628_volume,underlying_857_close,underlying_857_close_per_unit,underlying_857_volume,underlying_338_close,underlying_338_close_per_unit,underlying_338_volume,underlying_386_close,underlying_386_close_per_unit,underlying_386_volume,underlying_1055_close,underlying_1055_close_per_unit,underlying_1055_volume,adr_ATHE_close,adr_ATHE_close_per_unit,adr_ATHE_volume,adr_GENE_close,adr_GENE_close_per_unit,adr_GENE_volume,adr_IMMP_close,adr_IMMP_close_per_unit,adr_IMMP_volume,adr_IMRN_close,adr_IMRN_close_per_unit,adr_IMRN_volume,adr_KZIA_close,adr_KZIA_close_per_unit,adr_KZIA_volume,adr_MESO_close,adr_MESO_close_per_unit,adr_MESO_volume,adr_PLL_close,adr_PLL_close_per_unit,adr_PLL_volume,adr_WBK_close,adr_WBK_close_per_unit,adr_WBK_volume,adr_CAJ_close,adr_CAJ_close_per_unit,adr_CAJ_volume,adr_HMC_close,adr_HMC_close_per_unit,adr_HMC_volume,adr_IX_close,adr_IX_close_per_unit,adr_IX_volume,adr_MFG_close,adr_MFG_close_per_unit,adr_MFG_volume,adr_MUFG_close,adr_MUFG_close_per_unit,adr_MUFG_volume,adr_NMR_close,adr_NMR_close_per_unit,adr_NMR_volume,adr_SMFG_close,adr_SMFG_close_per_unit,adr_SMFG_volume,adr_SONY_close,adr_SONY_close_per_unit,adr_SONY_volume,adr_TAK_close,adr_TAK_close_per_unit,adr_TAK_volume,adr_TM_close,adr_TM_close_per_unit,adr_TM_volume,adr_ACH_close,adr_ACH_close_per_unit,adr_ACH_volume,adr_BGNE_close,adr_BGNE_close_per_unit,adr_BGNE_volume,adr_CEA_close,adr_CEA_close_per_unit,adr_CEA_volume,adr_HNP_close,adr_HNP_close_per_unit,adr_HNP_volume,adr_LFC_close,adr_LFC_close_per_unit,adr_LFC_volume,adr_PTR_close,adr_PTR_close_per_unit,adr_PTR_volume,adr_SHI_close,adr_SHI_close_per_unit,adr_SHI_volume,adr_SNP_close,adr_SNP_close_per_unit,adr_SNP_volume,adr_ZNH_close,adr_ZNH_close_per_unit,adr_ZNH_volume,JPY.USD_before_us_open,AUD.USD_before_us_open,HKD.USD_before_us_open,AUD.USD_before_asian_open,JPY.USD_before_asian_open,HKD.USD_before_asian_open
0,2020-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.18,101700.0,2.88,2.88,188800.0,1.73,1.73,97800.0,6.01,6.01,142600.0,5.64,5.64,43100.0,10.85,10.85,209400.0,20.97,20.97,620400.0,12.55,12.55,110100.0,17.77,17.77,286500.0,24.23,24.23,443800.0,61.74,61.74,83800.0,2.56,12.8,523700.0,4.05,4.05,932600.0,4.63,4.63,159700.0,5.67,28.35,919900.0,,,,15.74,31.48,1127500.0,133.24,133.24,96400.0,5.45,5.45,15200.0,299.0,299.0,147400.0,19.69,19.69,7900.0,14.88,14.88,8800.0,10.94,10.94,276800.0,29.02,29.02,140600.0,19.09,19.09,10300.0,40.78,40.78,111500.0,26.41,26.41,4400.0,,,,,,
1,2020-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,43.5,11368000.0,177.8,2311.4,162500.0,3.1,155.0,8326000.0,2.99,119.60000000000001,21034000.0,17.42,87.10000000000001,63215000.0,2.27,227.0,107288000.0,1.5,150.0,15826000.0,3.17,317.0,101246000.0,4.26,213.0,14830000.0,1.24,1.24,40500.0,3.03,3.03,248900.0,1.82,1.82,101300.0,6.06,6.06,19800.0,5.67,5.67,8000.0,11.26,11.26,192100.0,23.88,23.88,1515500.0,12.73,12.73,107800.0,18.09,18.09,300000.0,24.49,24.49,615400.0,63.71,63.71,79100.0,2.63,13.149999999999999,251500.0,4.18,4.18,918800.0,4.77,4.77,591500.0,5.84,29.2,1005200.0,,,,15.84,31.68,1331800.0,135.87,135.87,100900.0,5.66,5.66,11400.0,300.0,300.0,109100.0,20.04,20.04,3500.0,15.42,15.42,6700.0,11.31,11.31,222400.0,29.83,29.83,123900.0,19.5,19.5,14000.0,41.59,41.59,97300.0,27.42,27.42,8600.0,,,,,,
2,2020-11-04,0.027,1.6199999999999999,12890687.0,0.0075,4.5,966666.0,0.26,2.6,392420.0,0.22,8.8,331660.0,0.77,7.7,365273.0,3.18,15.9,3795059.0,0.335,33.5,10854024.0,17.35,17.35,12430803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,43.75,6908000.0,176.2,2290.6,164600.0,3.15,157.5,11764000.0,2.89,115.60000000000001,22342000.0,17.1,85.5,45909000.0,2.26,225.99999999999997,58268000.0,1.5,150.0,9314000.0,3.1,310.0,63318000.0,4.3,215.0,21666000.0,1.25,1.25,72100.0,3.0,3.0,116700.0,1.85,1.85,191600.0,6.2,6.2,10500.0,5.61,5.61,29700.0,11.42,11.42,139900.0,22.45,22.45,819500.0,12.44,12.44,116900.0,17.45,17.45,485000.0,24.36,24.36,660200.0,64.37,64.37,40900.0,2.59,12.95,295200.0,4.03,4.03,857300.0,4.7,4.7,116700.0,5.66,28.3,1212100.0,,,,16.31,32.62,1783100.0,134.16,134.16,134200.0,5.79,5.79,32700.0,304.3,304.3,129600.0,20.81,20.81,11900.0,15.23,15.23,9000.0,11.36,11.36,829100.0,29.95,29.95,103000.0,19.94,19.94,37100.0,40.94,40.94,128800.0,28.5,28.5,15900.0,,,,,,
3,2020-11-05,0.027,1.6199999999999999,5535293.0,0.0075,4.5,6836979.0,0.27,2.7,2374009.0,0.22,8.8,467303.0,0.81,8.100000000000001,168137.0,3.25,16.25,4109185.0,0.325,32.5,4494644.0,17.7,17.7,8933068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,44.75,9704000.0,183.9,2390.7000000000003,250700.0,3.21,160.5,14616000.0,2.95,118.0,14334000.0,17.34,86.7,70591000.0,2.3,229.99999999999997,63502000.0,1.5,150.0,12558000.0,3.14,314.0,86448000.0,4.33,216.5,8722000.0,1.22,1.22,41900.0,3.15,3.15,195200.0,1.93,1.93,174600.0,6.26,6.26,19100.0,5.98,5.98,40300.0,11.89,11.89,213700.0,24.3,24.3,1001400.0,13.01,13.01,128000.0,17.48,17.48,458300.0,24.86,24.86,551400.0,65.71,65.71,29100.0,2.6,13.0,284300.0,4.11,4.11,803300.0,4.76,4.76,90800.0,5.68,28.4,1138700.0,,,,16.87,33.74,1173400.0,137.07,137.07,80800.0,5.87,5.87,32000.0,300.0,300.0,219900.0,21.06,21.06,16700.0,15.18,15.18,7400.0,11.34,11.34,577800.0,29.86,29.86,57000.0,19.82,19.82,29800.0,41.24,41.24,102800.0,28.9,28.9,20800.0,,,,,,
4,2020-11-06,0.027,1.6199999999999999,16242480.0,0.0075,4.5,1100000.0,0.29,2.9,3555229.0,0.225,9.0,439892.0,0.82,8.2,144984.0,3.2,16.0,3027386.0,0.335,33.5,6771044.0,17.77,17.77,8912986.0,1810.0,1810.0,4625500.0,2589.5,2589.5,5163700.0,1348.5,6742.5,5393200.0,1341.0,1341.0,7167500.0,426.8,426.8,47647300.0,497.8,497.8,11394900.0,2957.0,2957.0,6027000.0,9145.0,9145.0,5994700.0,3463.0,3463.0,5653700.0,7019.0,14038.0,11051800.0,1.83,45.75,18056000.0,170.7,2219.1,469200.0,3.21,160.5,19622000.0,3.01,120.39999999999999,21180000.0,17.42,87.10000000000001,31208000.0,2.3,229.99999999999997,78494000.0,1.53,153.0,17898000.0,3.19,319.0,105174000.0,4.43,221.5,23460000.0,1.24,1.24,18700.0,2.97,2.97,154200.0,2.01,2.01,202800.0,6.24,6.24,17900.0,6.05,6.05,33100.0,11.73,11.73,158100.0,22.51,22.51,663600.0,12.95,12.95,110900.0,17.58,17.58,257400.0,26.36,26.36,815800.0,65.17,65.17,31900.0,2.62,13.100000000000001,290000.0,4.13,4.13,935600.0,4.82,4.82,76700.0,5.73,28.650000000000002,690300.0,,,,16.7,33.4,768300.0,137.2,137.2,113900.0,5.91,5.91,23600.0,293.45,293.45,397200.0,20.89,20.89,8000.0,15.46,15.46,8600.0,11.33,11.33,468900.0,29.83,29.83,68600.0,19.94,19.94,13900.0,41.57,41.57,53800.0,28.6,28.6,16500.0,,,,,,
5,2020-11-09,0.027,1.6199999999999999,2071879.0,0.007,4.2,3743419.0,0.295,2.9499999999999997,2600731.0,0.285,11.399999999999999,6482790.0,0.895,8.95,266186.0,3.38,16.9,5347722.0,0.35,35.0,11406094.0,17.76,17.76,1289206.0,1790.0,1790.0,4272800.0,2833.5,2833.5,12835600.0,1375.5,6877.5,8568900.0,1346.0,1346.0,6263200.0,428.0,428.0,40085800.0,500.4,500.4,14309400.0,2956.0,2956.0,5030500.0,9220.0,9220.0,5445200.0,3475.0,3475.0,4460700.0,7173.0,14346.0,7806800.0,2.0,50.0,53792000.0,172.0,2236.0,868900.0,3.28,164.0,23606000.0,3.02,120.8,14070000.0,17.8,89.0,54132000.0,2.33,233.0,93812000.0,1.51,151.0,30560000.0,3.23,323.0,89228000.0,4.57,228.5,27208000.0,1.2,1.2,23500.0,2.88,2.88,307600.0,2.12,2.12,763200.0,6.76,6.76,64900.0,6.11,6.11,131000.0,10.54,10.54,588200.0,22.81,22.81,918400.0,13.76,13.76,232900.0,18.33,18.33,1153500.0,27.55,27.55,590900.0,68.82,68.82,47100.0,2.71,13.55,611100.0,4.34,4.34,1978700.0,4.94,4.94,298900.0,6.03,30.150000000000002,2131200.0,,,,16.79,33.58,1037400.0,139.64,139.64,164800.0,6.46,6.46,107800.0,280.0,280.0,329600.0,22.68,22.68,45100.0,15.69,15.69,18400.0,11.78,11.78,577200.0,32.61,32.61,300900.0,20.24,20.24,63100.0,44.06,44.06,165500.0,31.61,31.61,78900.0,0.009536752259018191,0.73285,0.12898058261818976,0.7288600000000001,0.009684667234833813,0.12897975082401938
6,2020-11-10,0.026,1.5599999999999998,8949129.0,0.007,4.2,24088471.0,0.275,2.75,7383722.0,0.235,9.399999999999999,4118898.0,0.875,8.75,85275.0,3.13,15.649999999999999,7466306.0,0.32,32.0,10928883.0,18.68,18.68,25749657.0,1932.0,1932.0,15608000.0,2927.5,2927.5,8859700.0,1494.5,7472.5,22610800.0,1406.0,1406.0,17619200.0,445.9,445.9,161246100.0,527.1,527.1,30458200.0,3085.0,3085.0,18602000.0,8920.0,8920.0,8460300.0,3548.0,3548.0,6698500.0,7267.0,14534.0,8809600.0,2.06,51.5,58324000.0,168.0,2184.0,261300.0,3.54,177.0,90084000.0,3.04,121.6,13654000.0,17.98,89.9,55596000.0,2.48,248.0,262042000.0,1.61,161.0,65900000.0,3.55,355.0,458912000.0,4.85,242.49999999999997,92730000.0,1.19,1.19,92600.0,2.9,2.9,233200.0,1.95,1.95,170800.0,6.75,6.75,45900.0,6.2,6.2,14400.0,11.61,11.61,283100.0,23.78,23.78,999100.0,13.7,13.7,198700.0,18.52,18.52,610800.0,28.06,28.06,810600.0,72.14,72.14,38700.0,2.74,13.700000000000001,624700.0,4.34,4.34,2399200.0,5.12,5.12,180900.0,5.97,29.849999999999998,1909900.0,,,,17.08,34.16,943700.0,139.94,139.94,154300.0,6.53,6.53,65100.0,282.51,282.51,192700.0,22.75,22.75,12000.0,15.57,15.57,5900.0,11.64,11.64,360400.0,32.68,32.68,120500.0,20.95,20.95,51900.0,46.1,46.1,166700.0,30.89,30.89,14800.0,0.009500691175283002,0.72647,0.12895380423394026,0.728405,0.009503309527542969,0.12898399308645794
7,2020-11-11,0.025,1.5,23248502.0,0.006,3.6,14035385.0,0.27,2.7,2850399.0,0.245,9.8,693505.0,0.89,8.9,148654.0,3.28,16.4,6938156.0,0.325,32.5,6853086.0,18.73,18.73,11755092.0,1906.0,1906.0,6666400.0,2994.5,2994.5,8188700.0,1575.0,7875.0,17726900.0,1444.5,1444.5,15166100.0,459.0,459.0,113637800.0,535.7,535.7,15338900.0,3165.0,3165.0,12658100.0,9040.0,9040.0,6525900.0,3624.0,3624.0,5230200.0,7503.0,15006.0,10047900.0,2.11,52.75,31720000.0,165.1,2146.2999999999997,337000.0,3.58,179.0,38890000.0,3.19,127.6,37454000.0,18.2,91.0,66554000.0,2.53,252.99999999999997,200806000.0,1.66,166.0,27812000.0,3.67,367.0,333254000.0,4.85,242.49999999999997,50622000.0,1.19,1.19,85500.0,3.15,3.15,803900.0,2.11,2.11,405300.0,8.4,8.4,3837600.0,6.61,6.61,79300.0,11.81,11.81,327600.0,24.44,24.44,1521600.0,13.63,13.63,158700.0,18.12,18.12,430900.0,28.36,28.36,764400.0,74.7,74.7,47500.0,2.77,13.85,247000.0,4.38,4.38,1095200.0,5.12,5.12,128100.0,6.03,30.150000000000002,1189200.0,,,,17.3,34.6,1322600.0,142.48,142.48,108600.0,6.78,6.78,62300.0,285.0,285.0,70500.0,23.04,23.04,18200.0,16.5,16.5,21700.0,11.78,11.78,320300.0,32.68,32.68,165800.0,21.64,21.64,28700.0,46.7,46.7,98700.0,31.02,31.02,16400.0,0.00947930194420483,0.727815,0.12896087198183198,0.7283850000000001,0.009501097376747014,0.12896519616251162
8,2020-11-12,0.025,1.5,9439230.0,0.007,4.2,6427619.0,0.285,2.8499999999999996,1455489.0,0.265,10.600000000000001,3675439.0,0.95,9.5,289914.0,3.2,16.0,3004522.0,0.325,32.5,2903747.0,18.38,18.38,1394784.0,1885.5,1885.5,6557800.0,2948.0,2948.0,6474000.0,1517.5,7587.5,10957900.0,1427.0,1427.0,8468300.0,451.0,451.0,78801600.0,519.9,519.9,12916000.0,3140.0,3140.0,7195900.0,9160.0,9160.0,6715500.0,3588.0,3588.0,5712700.0,7435.0,14870.0,5800100.0,2.1,52.5,22704000.0,168.1,2185.2999999999997,264600.0,3.5,175.0,17322000.0,3.17,126.8,17478000.0,18.02,90.1,57381000.0,2.48,248.0,102588000.0,1.61,161.0,20144000.0,3.6,360.0,204112000.0,4.66,233.0,25782000.0,1.16,1.16,32000.0,3.02,3.02,370800.0,2.19,2.19,261600.0,7.59,7.59,244900.0,7.73,7.73,421400.0,11.45,11.45,128300.0,26.4,26.4,3478900.0,13.27,13.27,149200.0,17.72,17.72,303600.0,27.78,27.78,441800.0,71.29,71.29,16700.0,2.72,13.600000000000001,153300.0,4.27,4.27,826800.0,4.9,4.9,169500.0,5.93,29.65,787400.0,87.11,87.11,910500.0,16.88,33.76,754200.0,139.69,139.69,61000.0,6.67,6.67,63200.0,283.65,283.65,72700.0,22.28,22.28,5500.0,16.22,16.22,8400.0,11.56,11.56,248800.0,31.73,31.73,77800.0,20.81,20.81,26600.0,45.85,45.85,66100.0,29.85,29.85,12700.0,0.009507691722603587,0.7272350000000001,0.12896369929792162,0.7278600000000001,0.009486765961483729,0.12896336666606484
9,2020-11-13,0.026,1.5599999999999998,4541782.0,0.0075,4.5,4164600.0,0.29,2.9,1285583.0,0.255,10.2,798250.0,0.99,9.9,481593.0,3.25,16.25,2839240.0,0.36,36.0,9034319.0,18.34,18.34,8486478.0,1857.5,1857.5,4729500.0,2914.0,2914.0,5234800.0,1481.0,7405.0,8819200.0,1384.0,1384.0,12373600.0,445.6,445.6,69457400.0,505.7,505.7,14140100.0,3071.0,3071.0,7014900.0,9326.0,9326.0,8824600.0,3600.0,3600.0,3637400.0,7316.0,14632.0,5721900.0,2.07,51.74999999999999,29778000.0,168.2,2186.6,279000.0,3.45,172.5,14362000.0,3.1,124.0,17670000.0,17.5,87.5,53957000.0,2.41,241.0,119428000.0,1.58,158.0,13546000.0,3.52,352.0,127482000.0,4.59,229.5,14002000.0,1.15,1.15,209500.0,3.0,3.0,120000.0,2.14,2.14,117400.0,7.33,7.33,89000.0,10.05,10.05,1497200.0,11.88,11.88,175300.0,26.72,26.72,1892900.0,13.49,13.49,97800.0,17.99,17.99,306400.0,28.21,28.21,345700.0,71.96,71.96,15800.0,2.7,13.5,229200.0,4.34,4.34,454700.0,4.9,4.9,94900.0,5.96,29.8,614700.0,89.72,89.72,834000.0,17.29,34.58,624800.0,141.62,141.62,92300.0,6.69,6.69,48000.0,278.05,278.05,121500.0,22.48,22.48,13000.0,15.97,15.97,6300.0,11.36,11.36,332800.0,31.24,31.24,84500.0,20.7,20.7,20000.0,45.57,45.57,88500.0,29.83,29.83,17200.0,0.009548727154670282,0.7255,0.12897293051647854,0.723295,0.009514023670890891,0.12896769101404715
