(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 2, 2, 0.5, -0.5, 3, 2.5): Return: -0.22%, Hit Ratio: 50.0%, Max Drawdown: 0.45%
(100, 2, 2, 0.5, 0.5, 3, 3): Return: -0.22%, Hit Ratio: 43.33%, Max Drawdown: 0.42%
(100, 2, 2, 0, 0, 2.5, 3.5): Return: -0.23%, Hit Ratio: 34.78%, Max Drawdown: 0.41%
(60, 2, 1.5, 0.5, -0.5, 2.5, 2.5): Return: -0.24%, Hit Ratio: 48.28%, Max Drawdown: 0.47%
(60, 2, 1.5, 0, 0, 2.5, 2.5): Return: -0.25%, Hit Ratio: 51.72%, Max Drawdown: 0.48%
(60, 2, 2, 0, -0.5, 3, 3): Return: -0.25%, Hit Ratio: 58.82%, Max Drawdown: 0.45%
(60, 2, 2, 0, -0.5, 3, 3.5): Return: -0.25%, Hit Ratio: 58.82%, Max Drawdown: 0.45%
(100, 2, 2, -0.5, -0.5, 3, 3): Return: -0.25%, Hit Ratio: 44.83%, Max Drawdown: 0.39%
(100, 2, 2, 0, -0.5, 3, 2.5): Return: -0.25%, Hit Ratio: 46.43%, Max Drawdown: 0.48%
(100, 2, 2, 0, -0.5, 3.5, 3.5): Return: -0.25%, Hit Ratio: 48.57%, Max Drawdown: 0.6%
(100, 2, 2, 0, 0.5, 2.5, 3.5): Return: -0.25%, Hit Ratio: 30.43%, Max Drawdown: 0.37%
(60, 2, 1.5, -0.5, -0.5, 2.5, 3): Return: -0.26%, Hit Ratio: 50.0%, Max Drawdown: 0.84%
(60, 2, 1.5, -0.5, -0.5, 2.5, 3.5): Return: -0.26%, Hit Ratio: 50.0%, Max Drawdown: 0.84%
(100, 2, 2, 0, 0, 2.5, 3): Return: -0.27%, Hit Ratio: 35.0%, Max Drawdown: 0.35%
(100, 2, 2, 0.5, -0.5, 3.5, 3.5): Return: -0.27%, Hit Ratio: 50.0%, Max Drawdown: 0.66%
(100, 2, 2, 0.5, 0, 2.5, 3.5): Return: -0.28%, Hit Ratio: 30.43%, Max Drawdown: 0.44%
(100, 2, 2, 0.5, 0, 3, 2.5): Return: -0.28%, Hit Ratio: 46.43%, Max Drawdown: 0.45%
(60, 2, 1.5, 0.5, 0, 2.5, 3): Return: -0.29%, Hit Ratio: 44.12%, Max Drawdown: 0.64%
(60, 2, 1.5, 0.5, 0, 2.5, 3.5): Return: -0.29%, Hit Ratio: 44.12%, Max Drawdown: 0.64%
(100, 2, 2, 0, 0, 3, 2.5): Return: -0.29%, Hit Ratio: 50.0%, Max Drawdown: 0.5%
(100, 2, 2, 0, 0.5, 2.5, 3): Return: -0.29%, Hit Ratio: 30.0%, Max Drawdown: 0.35%
(60, 2, 2, -0.5, 0.5, 2.5, 2.5): Return: -0.3%, Hit Ratio: 44.44%, Max Drawdown: 0.43%
(60, 2, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -0.31%, Hit Ratio: 51.72%, Max Drawdown: 0.73%
(60, 2, 2, -0.5, 0.5, 2.5, 3): Return: -0.31%, Hit Ratio: 41.67%, Max Drawdown: 0.43%
(60, 2, 2, -0.5, 0.5, 2.5, 3.5): Return: -0.31%, Hit Ratio: 41.67%, Max Drawdown: 0.43%
(60, 2, 2, -0.5, 0, 2.5, 3): Return: -0.32%, Hit Ratio: 45.83%, Max Drawdown: 0.52%
(60, 2, 2, -0.5, 0, 2.5, 3.5): Return: -0.32%, Hit Ratio: 45.83%, Max Drawdown: 0.52%
(100, 1.5, 2, -0.5, -0.5, 3, 3.5): Return: -0.32%, Hit Ratio: 48.21%, Max Drawdown: 0.69%
(100, 2, 2, 0.5, 0, 2.5, 3): Return: -0.32%, Hit Ratio: 30.0%, Max Drawdown: 0.39%
(60, 1.5, 2, 0, -0.5, 2.5, 2.5): Return: -0.33%, Hit Ratio: 43.75%, Max Drawdown: 0.61%
(60, 2, 1.5, 0, 0, 2.5, 3): Return: -0.33%, Hit Ratio: 47.06%, Max Drawdown: 0.64%
(60, 2, 1.5, 0, 0, 2.5, 3.5): Return: -0.33%, Hit Ratio: 47.06%, Max Drawdown: 0.64%
(60, 2, 2, 0, -0.5, 3.5, 2.5): Return: -0.33%, Hit Ratio: 58.06%, Max Drawdown: 0.51%
(100, 1.5, 2, 0, -0.5, 3, 3): Return: -0.33%, Hit Ratio: 48.28%, Max Drawdown: 0.61%
(100, 2, 2, 0, 0.5, 3, 2.5): Return: -0.33%, Hit Ratio: 42.86%, Max Drawdown: 0.52%
(100, 2, 2, 0.5, 0.5, 3, 2.5): Return: -0.33%, Hit Ratio: 42.86%, Max Drawdown: 0.5%
(100, 2, 2, 0.5, -0.5, 3.5, 3): Return: -0.34%, Hit Ratio: 51.52%, Max Drawdown: 0.57%
(100, 2, 2, 0.5, 0.5, 2.5, 3.5): Return: -0.34%, Hit Ratio: 26.09%, Max Drawdown: 0.46%
(100, 2, 2, -0.5, -0.5, 2.5, 3.5): Return: -0.35%, Hit Ratio: 34.78%, Max Drawdown: 0.56%
(100, 1.5, 2, 0.5, -0.5, 3, 3.5): Return: -0.37%, Hit Ratio: 44.26%, Max Drawdown: 0.73%
(100, 2, 2, 0, -0.5, 3.5, 3): Return: -0.37%, Hit Ratio: 48.48%, Max Drawdown: 0.56%
(100, 2, 2, 0.5, -0.5, 2.5, 2.5): Return: -0.37%, Hit Ratio: 33.33%, Max Drawdown: 0.41%
(60, 2, 2, 0, -0.5, 3, 2.5): Return: -0.38%, Hit Ratio: 60.0%, Max Drawdown: 0.51%
(100, 2, 2, 0, 0, 2.5, 2.5): Return: -0.38%, Hit Ratio: 33.33%, Max Drawdown: 0.38%
(100, 2, 2, 0.5, 0.5, 2.5, 3): Return: -0.38%, Hit Ratio: 25.0%, Max Drawdown: 0.39%
(60, 1.5, 2, 0.5, -0.5, 2.5, 3): Return: -0.4%, Hit Ratio: 37.04%, Max Drawdown: 0.66%
(60, 1.5, 2, 0.5, -0.5, 2.5, 3.5): Return: -0.4%, Hit Ratio: 37.04%, Max Drawdown: 0.66%
(60, 2, 2, -0.5, 0, 2.5, 2.5): Return: -0.4%, Hit Ratio: 50.0%, Max Drawdown: 0.5%
(100, 2, 2, 0, -0.5, 2.5, 2.5): Return: -0.4%, Hit Ratio: 27.78%, Max Drawdown: 0.41%
(100, 2, 2, 0, 0.5, 2.5, 2.5): Return: -0.4%, Hit Ratio: 27.78%, Max Drawdown: 0.4%
(60, 1.5, 1.5, 0, -0.5, 2.5, 3): Return: -0.41%, Hit Ratio: 45.16%, Max Drawdown: 0.89%
(60, 1.5, 1.5, 0, -0.5, 2.5, 3.5): Return: -0.41%, Hit Ratio: 45.16%, Max Drawdown: 0.89%
(100, 2, 2, -0.5, 0.5, 3, 3.5): Return: -0.41%, Hit Ratio: 33.33%, Max Drawdown: 0.62%
(100, 2, 2, -0.5, -0.5, 2.5, 3): Return: -0.42%, Hit Ratio: 35.0%, Max Drawdown: 0.54%
(60, 1.5, 2, -0.5, -0.5, 2.5, 3): Return: -0.43%, Hit Ratio: 41.51%, Max Drawdown: 0.92%
(60, 1.5, 2, -0.5, -0.5, 2.5, 3.5): Return: -0.43%, Hit Ratio: 41.51%, Max Drawdown: 0.92%
(100, 1.5, 2, -0.5, -0.5, 3, 3): Return: -0.43%, Hit Ratio: 48.15%, Max Drawdown: 0.66%
(100, 2, 2, -0.5, 0.5, 2.5, 3.5): Return: -0.43%, Hit Ratio: 26.09%, Max Drawdown: 0.55%
(100, 2, 2, 0.5, 0, 2.5, 2.5): Return: -0.43%, Hit Ratio: 27.78%, Max Drawdown: 0.43%
(60, 2, 1.5, 0, -0.5, 3, 2.5): Return: -0.44%, Hit Ratio: 58.54%, Max Drawdown: 0.66%
