The return of ADR_underlying pairs trading for MESO_MSB from Australia is 594.1012677435%
Hyperparameters: Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 250.50579765699962%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 250.50579765699962%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 240.85075960075%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 240.85075960075%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 240.85075960075%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 220.80391031674975%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 220.80391031674975%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 220.80391031674975%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 207.99863072025002%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 207.99863072025002%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 207.99863072025002%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 187.4305980992503%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 187.4305980992503%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 187.4305980992503%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 155.19650941125002%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 155.19650941125002%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 155.19650941125002%
