(Lookback, Entry, Exit, Stop-loss)
(30, 2, 0.5, 3.5): Return: 0.02%, Hit Ratio: 87.5%, Max Drawdown: 0.01%
(60, 2, -0.5, 3): Return: 0.02%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(60, 2, -0.5, 3.5): Return: 0.02%, Hit Ratio: 83.33%, Max Drawdown: 0.01%
(60, 2, 0, 3): Return: 0.02%, Hit Ratio: 83.33%, Max Drawdown: 0.0%
(60, 2, 0, 3.5): Return: 0.02%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(60, 2, 0.5, 3): Return: 0.02%, Hit Ratio: 83.33%, Max Drawdown: 0.0%
(60, 2, 0.5, 3.5): Return: 0.02%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0, 2.5): Return: 0.02%, Hit Ratio: 80.0%, Max Drawdown: 0.0%
(100, 2, 0, 3): Return: 0.02%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0, 3.5): Return: 0.02%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0.5, 2.5): Return: 0.02%, Hit Ratio: 80.0%, Max Drawdown: 0.0%
(100, 2, 0.5, 3): Return: 0.02%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0.5, 3.5): Return: 0.02%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(60, 1.5, 0.5, 2.5): Return: 0.01%, Hit Ratio: 72.22%, Max Drawdown: 0.05%
(60, 1.5, 0.5, 3): Return: 0.01%, Hit Ratio: 72.22%, Max Drawdown: 0.05%
(60, 1.5, 0.5, 3.5): Return: 0.01%, Hit Ratio: 77.78%, Max Drawdown: 0.05%
(100, 2, -0.5, 2.5): Return: 0.01%, Hit Ratio: 60.0%, Max Drawdown: 0.01%
(100, 2, -0.5, 3): Return: 0.01%, Hit Ratio: 83.33%, Max Drawdown: 0.01%
(100, 2, -0.5, 3.5): Return: 0.01%, Hit Ratio: 83.33%, Max Drawdown: 0.01%
(30, 1.5, 0.5, 2.5): Return: -0.01%, Hit Ratio: 72.22%, Max Drawdown: 0.06%
(30, 1.5, 0.5, 3): Return: -0.01%, Hit Ratio: 77.78%, Max Drawdown: 0.06%
(30, 1.5, 0.5, 3.5): Return: -0.01%, Hit Ratio: 77.78%, Max Drawdown: 0.06%
