Australia ATHE_ATH Variant1, Return: 0.09%, Hit Ratio: 80.0%, Max Drawdown: 0.03%
Australia ATHE_ATH Variant2, Return: 0.17%, Hit Ratio: 88.89%, Max Drawdown: 0.04%
Australia ATHE_ATH Variant3a, Return: 0.18%, Hit Ratio: 78.95%, Max Drawdown: 0.04%
Australia ATHE_ATH Variant3b, Return: 0.17%, Hit Ratio: 77.78%, Max Drawdown: 0.04%
Australia GENE_GTG Variant1, Return: 2.28%, Hit Ratio: 53.33%, Max Drawdown: 0.3%
Australia GENE_GTG Variant2, Return: 0.47%, Hit Ratio: 81.82%, Max Drawdown: 0.34%
Australia GENE_GTG Variant3a, Return: 3.28%, Hit Ratio: 60.87%, Max Drawdown: 0.35%
Australia GENE_GTG Variant3b, Return: 1.79%, Hit Ratio: 47.06%, Max Drawdown: 0.36%
Australia IMMP_IMM Variant1, Return: 2.69%, Hit Ratio: 75.0%, Max Drawdown: 0.6%
Australia IMMP_IMM Variant2, Return: 2.69%, Hit Ratio: 88.89%, Max Drawdown: 2.63%
Australia IMMP_IMM Variant3a, Return: 4.69%, Hit Ratio: 77.27%, Max Drawdown: 1.24%
Australia IMMP_IMM Variant3b, Return: 4.48%, Hit Ratio: 77.27%, Max Drawdown: 1.24%
Australia IMRN_IMC Variant1, Return: 1.17%, Hit Ratio: 100.0%, Max Drawdown: 0.36%
Australia IMRN_IMC Variant2, Return: 2.01%, Hit Ratio: 73.33%, Max Drawdown: 0.17%
Australia IMRN_IMC Variant3a, Return: 1.29%, Hit Ratio: 88.89%, Max Drawdown: 0.16%
Australia IMRN_IMC Variant3b, Return: 1.04%, Hit Ratio: 84.21%, Max Drawdown: 0.18%
Australia JHX_JHX Variant1, Return: -0.0%, Hit Ratio: 33.33%, Max Drawdown: 0.79%
Australia JHX_JHX Variant2, Return: 1.94%, Hit Ratio: 69.57%, Max Drawdown: 0.26%
Australia JHX_JHX Variant3a, Return: 0.49%, Hit Ratio: 44.0%, Max Drawdown: 0.5%
Australia JHX_JHX Variant3b, Return: 0.74%, Hit Ratio: 51.52%, Max Drawdown: 0.5%
Australia KZIA_KZA Variant1, Return: 0.93%, Hit Ratio: 94.12%, Max Drawdown: 0.12%
Australia KZIA_KZA Variant2, Return: 0.83%, Hit Ratio: 85.71%, Max Drawdown: 0.12%
Australia KZIA_KZA Variant3a, Return: 0.88%, Hit Ratio: 72.73%, Max Drawdown: 0.12%
Australia KZIA_KZA Variant3b, Return: -1.7%, Hit Ratio: 58.33%, Max Drawdown: 1.88%
Australia MESO_MSB Variant1, Return: 1.73%, Hit Ratio: 61.9%, Max Drawdown: 1.16%
Australia MESO_MSB Variant2, Return: 10.47%, Hit Ratio: 85.19%, Max Drawdown: 1.11%
Australia MESO_MSB Variant3a, Return: 12.06%, Hit Ratio: 85.19%, Max Drawdown: 1.38%
Australia MESO_MSB Variant3b, Return: 12.24%, Hit Ratio: 88.0%, Max Drawdown: 1.37%
Australia PLL_PLL Variant1, Return: 2.11%, Hit Ratio: 71.43%, Max Drawdown: 0.56%
Australia PLL_PLL Variant2, Return: 0.12%, Hit Ratio: 69.23%, Max Drawdown: 1.28%
Australia PLL_PLL Variant3a, Return: 1.12%, Hit Ratio: 71.43%, Max Drawdown: 0.21%
Australia PLL_PLL Variant3b, Return: 2.89%, Hit Ratio: 68.75%, Max Drawdown: 0.2%
Australia WBK_WBC Variant1, Return: 2.96%, Hit Ratio: 100.0%, Max Drawdown: 2.21%
Australia WBK_WBC Variant2, Return: 1.14%, Hit Ratio: 50.0%, Max Drawdown: 2.43%
Australia WBK_WBC Variant3a, Return: -3.67%, Hit Ratio: 42.86%, Max Drawdown: 5.52%
Australia WBK_WBC Variant3b, Return: 4.61%, Hit Ratio: 80.0%, Max Drawdown: 8.45%
China ACH_2600 Variant1, Return: 1.29%, Hit Ratio: 53.33%, Max Drawdown: 0.63%
China ACH_2600 Variant2, Return: 0.11%, Hit Ratio: 58.33%, Max Drawdown: 0.89%
China ACH_2600 Variant3a, Return: -0.13%, Hit Ratio: 53.33%, Max Drawdown: 0.91%
China ACH_2600 Variant3b, Return: 0.36%, Hit Ratio: 56.67%, Max Drawdown: 1.64%
China BGNE_6160 Variant1, Return: 6.68%, Hit Ratio: 75.0%, Max Drawdown: 4.32%
China BGNE_6160 Variant2, Return: 6.98%, Hit Ratio: 50.0%, Max Drawdown: 2.22%
