China SHI_338 Variant3a, Return: 0.09%, Hit Ratio: 52.78%, Max Drawdown: 0.12%
China SHI_338 Variant3b, Return: 0.16%, Hit Ratio: 54.29%, Max Drawdown: 0.1%
China SNP_386 Variant1, Return: 0.13%, Hit Ratio: 70.0%, Max Drawdown: 0.48%
China SNP_386 Variant2, Return: -0.12%, Hit Ratio: 55.56%, Max Drawdown: 0.79%
China SNP_386 Variant3a, Return: -1.61%, Hit Ratio: 46.88%, Max Drawdown: 2.39%
China SNP_386 Variant3b, Return: -0.97%, Hit Ratio: 54.29%, Max Drawdown: 1.86%
China ZNH_1055 Variant1, Return: -0.28%, Hit Ratio: 33.33%, Max Drawdown: 0.43%
China ZNH_1055 Variant2, Return: 0.21%, Hit Ratio: 51.72%, Max Drawdown: 0.17%
China ZNH_1055 Variant3a, Return: -0.12%, Hit Ratio: 33.33%, Max Drawdown: 0.12%
China ZNH_1055 Variant3b, Return: -0.14%, Hit Ratio: 55.56%, Max Drawdown: 0.16%
Japan CAJ_7751 Variant1, Return: -0.12%, Hit Ratio: 0.0%, Max Drawdown: 0.12%
Japan CAJ_7751 Variant2, Return: -0.36%, Hit Ratio: 46.15%, Max Drawdown: 0.56%
Japan CAJ_7751 Variant3a, Return: -0.5%, Hit Ratio: 42.86%, Max Drawdown: 0.72%
Japan CAJ_7751 Variant3b, Return: -0.18%, Hit Ratio: 52.63%, Max Drawdown: 0.36%
Japan HMC_7267 Variant1, Return: -0.17%, Hit Ratio: 0.0%, Max Drawdown: 0.55%
Japan HMC_7267 Variant2, Return: 0.01%, Hit Ratio: 20.0%, Max Drawdown: 0.86%
Japan HMC_7267 Variant3a, Return: -0.84%, Hit Ratio: 28.57%, Max Drawdown: 1.53%
Japan HMC_7267 Variant3b, Return: -0.17%, Hit Ratio: 20.0%, Max Drawdown: 0.61%
Japan IX_8591 Variant1, Return: -0.26%, Hit Ratio: 0.0%, Max Drawdown: 0.26%
Japan IX_8591 Variant2, Return: -0.08%, Hit Ratio: 35.0%, Max Drawdown: 0.2%
Japan IX_8591 Variant3a, Return: -0.29%, Hit Ratio: 28.57%, Max Drawdown: 0.32%
Japan IX_8591 Variant3b, Return: -0.07%, Hit Ratio: 53.33%, Max Drawdown: 0.2%
Japan MFG_8411 Variant1, Return: -0.03%, Hit Ratio: 33.33%, Max Drawdown: 0.03%
Japan MFG_8411 Variant2, Return: -0.04%, Hit Ratio: 45.45%, Max Drawdown: 0.06%
Japan MFG_8411 Variant3a, Return: -0.07%, Hit Ratio: 40.0%, Max Drawdown: 0.1%
Japan MFG_8411 Variant3b, Return: -0.07%, Hit Ratio: 56.25%, Max Drawdown: 0.09%
Japan MUFG_8306 Variant1, Return: -0.6%, Hit Ratio: 20.0%, Max Drawdown: 0.6%
Japan MUFG_8306 Variant2, Return: -0.07%, Hit Ratio: 54.55%, Max Drawdown: 0.84%
Japan MUFG_8306 Variant3a, Return: -0.96%, Hit Ratio: 40.0%, Max Drawdown: 1.42%
Japan MUFG_8306 Variant3b, Return: -1.15%, Hit Ratio: 48.57%, Max Drawdown: 1.67%
Japan NMR_8604 Variant1, Return: -0.1%, Hit Ratio: 0.0%, Max Drawdown: 0.1%
Japan NMR_8604 Variant2, Return: 0.05%, Hit Ratio: 60.87%, Max Drawdown: 0.09%
Japan NMR_8604 Variant3a, Return: -0.1%, Hit Ratio: 43.75%, Max Drawdown: 0.14%
Japan NMR_8604 Variant3b, Return: -0.14%, Hit Ratio: 0.0%, Max Drawdown: 0.14%
Japan SMFG_8316 Variant1, Return: -0.22%, Hit Ratio: 0.0%, Max Drawdown: 0.22%
Japan SMFG_8316 Variant2, Return: 0.45%, Hit Ratio: 53.85%, Max Drawdown: 0.28%
Japan SMFG_8316 Variant3a, Return: 0.49%, Hit Ratio: 63.64%, Max Drawdown: 0.43%
Japan SMFG_8316 Variant3b, Return: -0.44%, Hit Ratio: 50.0%, Max Drawdown: 0.92%
Japan SONY_6758 Variant1, Return: -2.5%, Hit Ratio: 50.0%, Max Drawdown: 4.3%
Japan SONY_6758 Variant2, Return: 5.08%, Hit Ratio: 65.0%, Max Drawdown: 1.08%
Japan SONY_6758 Variant3a, Return: -1.91%, Hit Ratio: 55.56%, Max Drawdown: 4.72%
Japan SONY_6758 Variant3b, Return: -4.11%, Hit Ratio: 50.0%, Max Drawdown: 5.07%
Japan TAK_4502 Variant1, Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
Japan TAK_4502 Variant2, Return: -0.07%, Hit Ratio: 28.57%, Max Drawdown: 0.09%
Japan TAK_4502 Variant3a, Return: -0.16%, Hit Ratio: 27.59%, Max Drawdown: 0.16%
Japan TAK_4502 Variant3b, Return: -0.16%, Hit Ratio: 25.81%, Max Drawdown: 0.17%
Japan TM_7203 Variant1, Return: -0.11%, Hit Ratio: 50.0%, Max Drawdown: 0.16%
Japan TM_7203 Variant2, Return: 0.29%, Hit Ratio: 75.0%, Max Drawdown: 0.24%
Japan TM_7203 Variant3a, Return: 0.11%, Hit Ratio: 75.0%, Max Drawdown: 0.23%
Japan TM_7203 Variant3b, Return: -0.53%, Hit Ratio: 52.63%, Max Drawdown: 1.37%
