China SHI_338 Variant2, Return: -0.04%, Hit Ratio: 60.0%, Max Drawdown: 0.36%
China SHI_338 Variant3a, Return: -1.08%, Hit Ratio: 44.0%, Max Drawdown: 1.98%
China SHI_338 Variant3b, Return: -1.41%, Hit Ratio: 31.58%, Max Drawdown: 1.97%
China SNP_386 Variant1, Return: -0.25%, Hit Ratio: 20.0%, Max Drawdown: 0.44%
China SNP_386 Variant2, Return: -0.48%, Hit Ratio: 42.86%, Max Drawdown: 1.37%
China SNP_386 Variant3a, Return: -0.43%, Hit Ratio: 50.0%, Max Drawdown: 0.81%
China SNP_386 Variant3b, Return: -1.79%, Hit Ratio: 37.5%, Max Drawdown: 2.15%
China ZNH_1055 Variant1, Return: -0.3%, Hit Ratio: 33.33%, Max Drawdown: 0.46%
China ZNH_1055 Variant2, Return: -0.94%, Hit Ratio: 37.5%, Max Drawdown: 1.9%
China ZNH_1055 Variant3a, Return: -0.54%, Hit Ratio: 61.54%, Max Drawdown: 1.02%
China ZNH_1055 Variant3b, Return: -0.4%, Hit Ratio: 50.0%, Max Drawdown: 0.57%
Japan CAJ_7751 Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan CAJ_7751 Variant2, Return: 0.08%, Hit Ratio: 57.14%, Max Drawdown: 0.41%
Japan CAJ_7751 Variant3a, Return: -0.37%, Hit Ratio: 76.92%, Max Drawdown: 1.27%
Japan CAJ_7751 Variant3b, Return: -0.58%, Hit Ratio: 50.0%, Max Drawdown: 1.09%
Japan HMC_7267 Variant1, Return: -0.49%, Hit Ratio: 16.67%, Max Drawdown: 0.63%
Japan HMC_7267 Variant2, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan HMC_7267 Variant3a, Return: 0.31%, Hit Ratio: 80.0%, Max Drawdown: 0.26%
Japan HMC_7267 Variant3b, Return: -0.37%, Hit Ratio: 66.67%, Max Drawdown: 0.55%
Japan IX_8591 Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan IX_8591 Variant2, Return: -0.62%, Hit Ratio: 33.33%, Max Drawdown: 1.43%
Japan IX_8591 Variant3a, Return: -0.62%, Hit Ratio: 50.0%, Max Drawdown: 1.55%
Japan IX_8591 Variant3b, Return: -0.51%, Hit Ratio: 40.0%, Max Drawdown: 0.6%
Japan MFG_8411 Variant1, Return: -0.11%, Hit Ratio: 0.0%, Max Drawdown: 0.12%
Japan MFG_8411 Variant2, Return: 0.03%, Hit Ratio: 54.55%, Max Drawdown: 1.12%
Japan MFG_8411 Variant3a, Return: -0.82%, Hit Ratio: 47.37%, Max Drawdown: 1.77%
Japan MFG_8411 Variant3b, Return: -0.86%, Hit Ratio: 35.0%, Max Drawdown: 1.75%
