(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 2, 1, 0.5, -0.5, 3, 2.5): Return: 11.06%, Hit Ratio: 72.73%, Max Drawdown: 1.24%
(60, 2, 1, 0.5, -0.5, 3.5, 2.5): Return: 11.06%, Hit Ratio: 72.73%, Max Drawdown: 1.24%
(30, 2, 1, 0, 0, 2.5, 3.5): Return: 10.97%, Hit Ratio: 75.0%, Max Drawdown: 1.09%
(30, 1.5, 1, 0.5, -0.5, 3, 3): Return: 10.91%, Hit Ratio: 71.01%, Max Drawdown: 1.26%
(30, 1.5, 1, 0.5, -0.5, 3.5, 3): Return: 10.91%, Hit Ratio: 71.01%, Max Drawdown: 1.26%
(30, 2, 1, 0.5, -0.5, 2.5, 2.5): Return: 10.9%, Hit Ratio: 72.73%, Max Drawdown: 1.09%
(100, 2, 1, -0.5, -0.5, 2.5, 3): Return: 10.89%, Hit Ratio: 76.74%, Max Drawdown: 0.88%
(100, 2, 1, -0.5, -0.5, 3, 3): Return: 10.89%, Hit Ratio: 76.74%, Max Drawdown: 0.88%
(100, 2, 1, -0.5, -0.5, 3.5, 3): Return: 10.89%, Hit Ratio: 76.74%, Max Drawdown: 0.88%
(60, 1.5, 1, 0.5, 0, 2.5, 3.5): Return: 10.87%, Hit Ratio: 68.18%, Max Drawdown: 1.21%
(30, 1.5, 1, 0.5, 0, 3, 3.5): Return: 10.84%, Hit Ratio: 71.62%, Max Drawdown: 1.26%
(30, 1.5, 1, 0.5, 0, 3.5, 3.5): Return: 10.84%, Hit Ratio: 71.62%, Max Drawdown: 1.26%
(60, 1.5, 1, 0.5, -0.5, 2.5, 2.5): Return: 10.83%, Hit Ratio: 69.49%, Max Drawdown: 1.21%
(60, 1.5, 1, 0.5, 0, 3, 3.5): Return: 10.83%, Hit Ratio: 68.18%, Max Drawdown: 1.23%
(60, 1.5, 1, 0.5, 0, 3.5, 3.5): Return: 10.83%, Hit Ratio: 68.18%, Max Drawdown: 1.23%
