,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_us_before,avg_bid_us_at,avg_ask_us_at,avg_us_at,ir
0,2015-04-02,7.75294,7.753010000000001,7.752975,7.752910000000001,7.75299,7.75295,7.75247,7.75253,7.7524999999999995,7.752460000000001,7.75253,7.752495000000001,
1,2015-04-03,7.75299,7.75315,7.753069999999999,7.75299,7.75315,7.753069999999999,7.75177,7.7519100000000005,7.75184,7.75177,7.7519100000000005,7.75184,
2,2015-04-06,7.7522899999999995,7.752610000000001,7.75245,7.7522899999999995,7.752610000000001,7.75245,7.752689999999999,7.75275,7.75272,7.75272,7.752789999999999,7.752755,
3,2015-04-07,7.75225,7.7522899999999995,7.752269999999999,7.75225,7.7522899999999995,7.752269999999999,7.751639999999999,7.751710000000001,7.7516750000000005,7.751639999999999,7.751710000000001,7.7516750000000005,
4,2015-04-08,7.75192,7.75195,7.751935,7.75208,7.75212,7.7521,7.75024,7.7503,7.75027,7.75025,7.75029,7.75027,
5,2015-04-09,7.75029,7.75034,7.750315,7.75029,7.75034,7.750315,7.750030000000001,7.7501,7.750065,7.75005,7.75012,7.750085,
6,2015-04-10,7.750030000000001,7.75011,7.750070000000001,7.750030000000001,7.75011,7.750070000000001,7.75002,7.750089999999999,7.750055,7.75002,7.750089999999999,7.750055,
7,2015-04-13,7.750030000000001,7.75011,7.750070000000001,7.750030000000001,7.75011,7.750070000000001,7.75005,7.75011,7.7500800000000005,7.75005,7.75011,7.7500800000000005,
8,2015-04-14,7.75011,7.750189999999999,7.75015,7.75011,7.750189999999999,7.75015,7.750489999999999,7.7505,7.750494999999999,7.7504800000000005,7.7505,7.75049,
9,2015-04-15,7.751060000000001,7.751110000000001,7.751085000000001,7.75109,7.75115,7.75112,7.75218,7.752260000000001,7.75222,7.75223,7.75237,7.7523,
10,2015-04-16,7.7512,7.75132,7.75126,7.7512,7.75131,7.7512550000000005,7.751939999999999,7.75197,7.751955,7.751939999999999,7.75196,7.75195,
11,2015-04-17,7.751339999999999,7.75139,7.751365,7.751339999999999,7.75139,7.751365,7.751110000000001,7.7512,7.751155000000001,7.751110000000001,7.7512,7.751155000000001,
12,2015-04-21,7.7500800000000005,7.75015,7.750115,7.75011,7.75016,7.750135,7.75018,7.75025,7.750215000000001,7.75017,7.75025,7.75021,
13,2015-04-22,7.75,7.75006,7.750030000000001,7.75,7.75006,7.750030000000001,7.750039999999999,7.75011,7.750075,7.750039999999999,7.75011,7.750075,
14,2015-04-23,7.7501,7.75016,7.75013,7.7501,7.75016,7.75013,7.75005,7.75011,7.7500800000000005,7.75005,7.75011,7.7500800000000005,
15,2015-04-24,7.7500100000000005,7.75006,7.7500350000000005,7.7500100000000005,7.75006,7.7500350000000005,7.75002,7.75007,7.750045,7.75002,7.75007,7.750045,
16,2015-04-27,7.75,7.75006,7.750030000000001,7.75,7.75006,7.750030000000001,7.75081,7.750889999999999,7.75085,7.75081,7.750889999999999,7.75085,
17,2015-04-28,7.75033,7.7504100000000005,7.75037,7.7503,7.750360000000001,7.75033,7.7509,7.75093,7.750915,7.75092,7.75098,7.75095,
18,2015-04-29,7.750430000000001,7.7504800000000005,7.7504550000000005,7.75042,7.75047,7.750445,7.750439999999999,7.7505,7.75047,7.7503899999999994,7.75045,7.75042,
19,2015-04-30,7.7504800000000005,7.75052,7.750500000000001,7.750430000000001,7.750489999999999,7.75046,7.750710000000001,7.75073,7.75072,7.750710000000001,7.75073,7.75072,
20,2015-05-01,7.75117,7.75126,7.751215,7.751239999999999,7.751339999999999,7.751289999999999,7.750710000000001,7.75081,7.7507600000000005,7.750710000000001,7.75081,7.7507600000000005,
21,2015-05-04,7.751110000000001,7.7512,7.751155000000001,7.75113,7.75121,7.75117,7.752389999999999,7.75248,7.752435,7.752389999999999,7.75248,7.752435,
22,2015-05-05,7.75281,7.752860000000001,7.752835000000001,7.75281,7.75287,7.75284,7.7509,7.75097,7.750935,7.7509,7.750939999999999,7.750919999999999,
23,2015-05-06,7.75148,7.751530000000001,7.751505,7.7515,7.7515600000000004,7.751530000000001,7.75236,7.75243,7.752395,7.752260000000001,7.75235,7.752305,
24,2015-05-07,7.751860000000001,7.751939999999999,7.7519,7.751860000000001,7.751939999999999,7.7519,7.75294,7.75299,7.752965,7.75294,7.75299,7.752965,
25,2015-05-08,7.75365,7.7537199999999995,7.753685,7.75365,7.75373,7.753690000000001,7.7538,7.753889999999999,7.753845,7.75386,7.7539,7.7538800000000005,
26,2015-05-11,7.75368,7.75378,7.75373,7.75368,7.75378,7.75373,7.75275,7.752860000000001,7.752805,7.75275,7.752860000000001,7.752805,
27,2015-05-12,7.75254,7.75259,7.752565,7.75255,7.752610000000001,7.75258,7.753439999999999,7.7535,7.75347,7.753439999999999,7.7535,7.75347,
28,2015-05-13,7.752000000000001,7.75205,7.752025,7.752000000000001,7.75205,7.752025,7.7522,7.75224,7.7522199999999994,7.7522,7.75224,7.7522199999999994,
29,2015-05-14,7.751939999999999,7.75202,7.75198,7.751939999999999,7.751989999999999,7.751964999999999,7.750589999999999,7.7506699999999995,7.750629999999999,7.750539999999999,7.750610000000001,7.7505749999999995,
