,date,open,high,low,close,volume,average,barCount
5,2019-12-22 20:27:00,7.79633,7.79688,7.79611,7.79643,-1,-1.0,-1
6,2019-12-22 20:28:00,7.79614,7.79628,7.79613,7.79625,-1,-1.0,-1
7,2019-12-22 20:29:00,7.79614,7.79629,7.79613,7.79626,-1,-1.0,-1
8,2019-12-22 20:30:00,7.79616,7.79626,7.79616,7.79622,-1,-1.0,-1
9,2019-12-22 20:31:00,7.79619,7.7963,7.79616,7.79629,-1,-1.0,-1
0,2019-12-23 09:27:00,7.78744,7.78748,7.78743,7.78747,-1,-1.0,-1
1,2019-12-23 09:28:00,7.78765,7.78803,7.78744,7.78773,-1,-1.0,-1
2,2019-12-23 09:29:00,7.78775,7.78807,7.78763,7.78793,-1,-1.0,-1
3,2019-12-23 09:30:00,7.78763,7.78777,7.78762,7.78776,-1,-1.0,-1
4,2019-12-23 09:31:00,7.78766,7.78777,7.78763,7.78776,-1,-1.0,-1
15,2019-12-23 20:27:00,7.7861,7.78636,7.78588,7.78622,-1,-1.0,-1
16,2019-12-23 20:28:00,7.7861,7.78641,7.786,7.78631,-1,-1.0,-1
17,2019-12-23 20:29:00,7.78628,7.78654,7.78618,7.78642,-1,-1.0,-1
18,2019-12-23 20:30:00,7.78636,7.78652,7.78631,7.7865,-1,-1.0,-1
19,2019-12-23 20:31:00,7.78638,7.78651,7.78632,7.78651,-1,-1.0,-1
10,2019-12-24 09:27:00,7.78738,7.78753,7.78738,7.78753,-1,-1.0,-1
11,2019-12-24 09:28:00,7.78738,7.78753,7.78738,7.7875,-1,-1.0,-1
12,2019-12-24 09:29:00,7.78738,7.7875,7.78738,7.7875,-1,-1.0,-1
13,2019-12-24 09:30:00,7.78738,7.7875,7.78738,7.7875,-1,-1.0,-1
14,2019-12-24 09:31:00,7.78739,7.7875,7.78739,7.7875,-1,-1.0,-1
25,2019-12-24 15:55:00,7.78783,7.78856,7.78783,7.78856,-1,-1.0,-1
20,2019-12-24 15:55:00,7.78783,7.78856,7.78783,7.78856,-1,-1.0,-1
21,2019-12-24 15:56:00,7.78783,7.78856,7.78783,7.78856,-1,-1.0,-1
