,date,open,high,low,close,volume,average,barCount
5,2020-02-20 20:27:00,7.78792,7.78807,7.78789,7.78803,-1,-1.0,-1
6,2020-02-20 20:28:00,7.78784,7.78794,7.78779,7.78789,-1,-1.0,-1
7,2020-02-20 20:29:00,7.7879,7.78801,7.78782,7.78796,-1,-1.0,-1
8,2020-02-20 20:30:00,7.78785,7.78795,7.78784,7.78792,-1,-1.0,-1
9,2020-02-20 20:31:00,7.78777,7.78792,7.78771,7.78785,-1,-1.0,-1
0,2020-02-21 09:27:00,7.78798,7.7881,7.78798,7.78809,-1,-1.0,-1
1,2020-02-21 09:28:00,7.78799,7.7881,7.78799,7.7881,-1,-1.0,-1
2,2020-02-21 09:29:00,7.788,7.7881,7.78799,7.7881,-1,-1.0,-1
3,2020-02-21 09:30:00,7.788,7.7881,7.788,7.7881,-1,-1.0,-1
4,2020-02-21 09:31:00,7.788,7.7881,7.788,7.7881,-1,-1.0,-1
10,2020-02-21 16:55:00,7.78726,7.78737,7.78725,7.78735,-1,-1.0,-1
15,2020-02-21 16:55:00,7.78726,7.78737,7.78725,7.78735,-1,-1.0,-1
11,2020-02-21 16:56:00,7.78729,7.78754,7.78726,7.78746,-1,-1.0,-1
16,2020-02-21 16:56:00,7.78729,7.78754,7.78726,7.78746,-1,-1.0,-1
12,2020-02-21 16:57:00,7.78728,7.78758,7.78723,7.78749,-1,-1.0,-1
17,2020-02-21 16:57:00,7.78728,7.78758,7.78723,7.78749,-1,-1.0,-1
18,2020-02-21 16:58:00,7.78728,7.78742,7.78723,7.78742,-1,-1.0,-1
13,2020-02-21 16:58:00,7.78728,7.78742,7.78723,7.78742,-1,-1.0,-1
14,2020-02-21 16:59:00,7.78728,7.78769,7.7872,7.78747,-1,-1.0,-1
19,2020-02-21 16:59:00,7.78728,7.78769,7.7872,7.78747,-1,-1.0,-1
25,2020-02-23 20:27:00,7.79252,7.79297,7.79246,7.79265,-1,-1.0,-1
26,2020-02-23 20:28:00,7.79272,7.7932,7.79262,7.79292,-1,-1.0,-1
27,2020-02-23 20:29:00,7.79298,7.79353,7.79264,7.79319,-1,-1.0,-1
28,2020-02-23 20:30:00,7.79294,7.79316,7.79289,7.79314,-1,-1.0,-1
29,2020-02-23 20:31:00,7.79279,7.79317,7.79252,7.79298,-1,-1.0,-1
20,2020-02-24 09:27:00,7.79748,7.7976,7.7972,7.79753,-1,-1.0,-1
21,2020-02-24 09:28:00,7.7973,7.79756,7.79718,7.79735,-1,-1.0,-1
22,2020-02-24 09:29:00,7.797,7.79728,7.7957,7.79704,-1,-1.0,-1
23,2020-02-24 09:30:00,7.79605,7.79618,7.79586,7.79612,-1,-1.0,-1
24,2020-02-24 09:31:00,7.79585,7.79617,7.79557,7.79593,-1,-1.0,-1
35,2020-02-24 20:27:00,7.79106,7.79115,7.79101,7.79109,-1,-1.0,-1
36,2020-02-24 20:28:00,7.7911,7.79111,7.7911,7.79111,-1,-1.0,-1
37,2020-02-24 20:29:00,7.79109,7.79116,7.79103,7.79112,-1,-1.0,-1
38,2020-02-24 20:30:00,7.79035,7.79113,7.79005,7.79039,-1,-1.0,-1
39,2020-02-24 20:31:00,7.78954,7.79012,7.78906,7.78963,-1,-1.0,-1
30,2020-02-25 09:27:00,7.78929,7.78951,7.78915,7.78938,-1,-1.0,-1
31,2020-02-25 09:28:00,7.78913,7.78925,7.78907,7.78923,-1,-1.0,-1
32,2020-02-25 09:29:00,7.78909,7.78924,7.78907,7.78917,-1,-1.0,-1
33,2020-02-25 09:30:00,7.78934,7.78941,7.78917,7.7894,-1,-1.0,-1
34,2020-02-25 09:31:00,7.78937,7.78951,7.78935,7.78943,-1,-1.0,-1
45,2020-02-25 20:27:00,7.79259,7.79267,7.79258,7.79265,-1,-1.0,-1
46,2020-02-25 20:28:00,7.79272,7.79289,7.79261,7.79278,-1,-1.0,-1
47,2020-02-25 20:29:00,7.79271,7.7928,7.79263,7.79278,-1,-1.0,-1
48,2020-02-25 20:30:00,7.79266,7.79278,7.79263,7.79271,-1,-1.0,-1
49,2020-02-25 20:31:00,7.79265,7.79278,7.79262,7.79271,-1,-1.0,-1
40,2020-02-26 09:27:00,7.79183,7.7919,7.7918,7.79189,-1,-1.0,-1
41,2020-02-26 09:28:00,7.79186,7.79193,7.79183,7.79189,-1,-1.0,-1
42,2020-02-26 09:29:00,7.79184,7.79191,7.7918,7.79188,-1,-1.0,-1
43,2020-02-26 09:30:00,7.79186,7.79198,7.7918,7.79191,-1,-1.0,-1
44,2020-02-26 09:31:00,7.79191,7.792,7.7919,7.79197,-1,-1.0,-1
55,2020-02-26 20:27:00,7.79325,7.79331,7.7932,7.79329,-1,-1.0,-1
56,2020-02-26 20:28:00,7.79321,7.79327,7.7931,7.79325,-1,-1.0,-1
57,2020-02-26 20:29:00,7.7931,7.7932,7.7931,7.7932,-1,-1.0,-1
58,2020-02-26 20:30:00,7.7931,7.79326,7.79309,7.79321,-1,-1.0,-1
59,2020-02-26 20:31:00,7.79294,7.79326,7.79293,7.79308,-1,-1.0,-1
50,2020-02-27 09:27:00,7.79287,7.79291,7.79287,7.79291,-1,-1.0,-1
51,2020-02-27 09:28:00,7.79287,7.79291,7.79287,7.79291,-1,-1.0,-1
52,2020-02-27 09:29:00,7.79302,7.79314,7.79286,7.79305,-1,-1.0,-1
53,2020-02-27 09:30:00,7.7931,7.7932,7.79308,7.79317,-1,-1.0,-1
54,2020-02-27 09:31:00,7.79311,7.79321,7.79311,7.7932,-1,-1.0,-1
65,2020-02-27 20:27:00,7.79673,7.79698,7.79665,7.79687,-1,-1.0,-1
66,2020-02-27 20:28:00,7.7967,7.7969,7.79668,7.79685,-1,-1.0,-1
67,2020-02-27 20:29:00,7.79669,7.79687,7.79668,7.79686,-1,-1.0,-1
68,2020-02-27 20:30:00,7.79679,7.79692,7.79668,7.7969,-1,-1.0,-1
69,2020-02-27 20:31:00,7.79678,7.79697,7.79665,7.79689,-1,-1.0,-1
60,2020-02-28 09:27:00,7.79236,7.79255,7.79234,7.79251,-1,-1.0,-1
61,2020-02-28 09:28:00,7.79234,7.79255,7.79234,7.79253,-1,-1.0,-1
62,2020-02-28 09:29:00,7.79235,7.79256,7.79234,7.79252,-1,-1.0,-1
63,2020-02-28 09:30:00,7.79236,7.79256,7.79234,7.79255,-1,-1.0,-1
64,2020-02-28 09:31:00,7.79235,7.79259,7.79235,7.79258,-1,-1.0,-1
70,2020-02-28 16:55:00,7.79357,7.79553,7.79323,7.79525,-1,-1.0,-1
75,2020-02-28 16:55:00,7.79357,7.79553,7.79323,7.79525,-1,-1.0,-1
71,2020-02-28 16:56:00,7.79325,7.79536,7.79325,7.79534,-1,-1.0,-1
76,2020-02-28 16:56:00,7.79325,7.79536,7.79325,7.79534,-1,-1.0,-1
72,2020-02-28 16:57:00,7.79204,7.79565,7.7914,7.79559,-1,-1.0,-1
77,2020-02-28 16:57:00,7.79204,7.79565,7.7914,7.79559,-1,-1.0,-1
78,2020-02-28 16:58:00,7.79165,7.79565,7.79165,7.79565,-1,-1.0,-1
73,2020-02-28 16:58:00,7.79165,7.79565,7.79165,7.79565,-1,-1.0,-1
79,2020-02-28 16:59:00,7.79167,7.79565,7.7914,7.79531,-1,-1.0,-1
74,2020-02-28 16:59:00,7.79167,7.79565,7.7914,7.79531,-1,-1.0,-1
85,2020-03-01 20:27:00,7.79057,7.79068,7.79057,7.79066,-1,-1.0,-1
86,2020-03-01 20:28:00,7.79057,7.79065,7.79056,7.79064,-1,-1.0,-1
