,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_us_before,avg_bid_us_at,avg_ask_us_at,avg_us_at,ir
0,2015-04-02,119.583,119.588,119.5855,119.566,119.569,119.5675,119.71600000000001,119.719,119.7175,119.72200000000001,119.725,119.7235,
1,2015-04-03,119.695,119.7,119.69749999999999,119.708,119.712,119.71000000000001,118.90299999999999,118.90799999999999,118.90549999999999,118.895,118.90100000000001,118.898,
2,2015-04-06,118.86,118.86399999999999,118.862,118.85,118.854,118.852,118.962,118.965,118.96350000000001,118.954,118.958,118.95599999999999,
3,2015-04-07,119.486,119.49,119.488,119.494,119.49799999999999,119.496,120.20200000000001,120.205,120.2035,120.204,120.20700000000001,120.2055,
4,2015-04-08,120.28299999999999,120.286,120.2845,120.286,120.289,120.2875,119.77,119.772,119.771,119.77799999999999,119.781,119.7795,
5,2015-04-09,120.103,120.10600000000001,120.1045,120.10700000000001,120.11,120.1085,120.04,120.042,120.041,120.05,120.051,120.0505,
6,2015-04-10,120.554,120.55799999999999,120.556,120.55,120.554,120.55199999999999,120.15299999999999,120.156,120.1545,120.14299999999999,120.145,120.14399999999999,
7,2015-04-13,120.20299999999999,120.20700000000001,120.205,120.199,120.20100000000001,120.2,120.17399999999999,120.176,120.175,120.169,120.171,120.17,
8,2015-04-14,120.053,120.057,120.055,120.06200000000001,120.066,120.06400000000001,119.43700000000001,119.44,119.4385,119.439,119.441,119.44,
9,2015-04-15,119.45100000000001,119.455,119.453,119.47399999999999,119.477,119.4755,119.275,119.27600000000001,119.27550000000001,119.26,119.262,119.261,
10,2015-04-16,119.145,119.149,119.14699999999999,119.14299999999999,119.145,119.14399999999999,119.064,119.065,119.0645,119.069,119.071,119.07,
11,2015-04-17,119.04700000000001,119.05,119.0485,119.04299999999999,119.046,119.0445,119.131,119.133,119.132,119.126,119.12799999999999,119.127,
12,2015-04-21,119.21700000000001,119.22,119.2185,119.235,119.23899999999999,119.237,119.728,119.73100000000001,119.7295,119.736,119.73700000000001,119.7365,
13,2015-04-22,119.661,119.665,119.66300000000001,119.646,119.65,119.648,119.725,119.727,119.726,119.734,119.73700000000001,119.7355,
