,date,open,high,low,close,volume,average,barCount
5,2015-09-27 19:57:00,0.70198,0.7022,0.70187,0.70204,-1,-1.0,-1
6,2015-09-27 19:58:00,0.70186,0.70197,0.70185,0.70192,-1,-1.0,-1
7,2015-09-27 19:59:00,0.70195,0.7021,0.70177,0.702,-1,-1.0,-1
8,2015-09-27 20:00:00,0.70193,0.70213,0.70168,0.70198,-1,-1.0,-1
9,2015-09-27 20:01:00,0.70184,0.70223,0.70161,0.70189,-1,-1.0,-1
0,2015-09-28 09:27:00,0.69876,0.6989,0.69867,0.69878,-1,-1.0,-1
1,2015-09-28 09:28:00,0.69876,0.69891,0.69867,0.69881,-1,-1.0,-1
2,2015-09-28 09:29:00,0.69889,0.69905,0.69885,0.69893,-1,-1.0,-1
3,2015-09-28 09:30:00,0.69891,0.6991,0.69877,0.69894,-1,-1.0,-1
4,2015-09-28 09:31:00,0.69889,0.69905,0.6988,0.69893,-1,-1.0,-1
15,2015-09-28 19:57:00,0.6971,0.69718,0.69705,0.69715,-1,-1.0,-1
16,2015-09-28 19:58:00,0.69706,0.69715,0.69697,0.6971,-1,-1.0,-1
17,2015-09-28 19:59:00,0.69701,0.6971,0.69696,0.69706,-1,-1.0,-1
18,2015-09-28 20:00:00,0.69693,0.69714,0.69685,0.69698,-1,-1.0,-1
19,2015-09-28 20:01:00,0.69672,0.69692,0.6966,0.69676,-1,-1.0,-1
10,2015-09-29 09:27:00,0.70023,0.70035,0.70014,0.70028,-1,-1.0,-1
11,2015-09-29 09:28:00,0.70001,0.70029,0.69993,0.70007,-1,-1.0,-1
12,2015-09-29 09:29:00,0.6999,0.70004,0.69981,0.69994,-1,-1.0,-1
13,2015-09-29 09:30:00,0.69992,0.70019,0.69972,0.69997,-1,-1.0,-1
14,2015-09-29 09:31:00,0.69994,0.7002,0.69977,0.69999,-1,-1.0,-1
25,2015-09-29 19:57:00,0.70012,0.7002,0.70004,0.70015,-1,-1.0,-1
26,2015-09-29 19:58:00,0.70014,0.70024,0.70011,0.70018,-1,-1.0,-1
27,2015-09-29 19:59:00,0.70039,0.70072,0.70013,0.70046,-1,-1.0,-1
28,2015-09-29 20:00:00,0.70077,0.70115,0.70055,0.70082,-1,-1.0,-1
29,2015-09-29 20:01:00,0.70108,0.70127,0.70081,0.70114,-1,-1.0,-1
20,2015-09-30 09:27:00,0.70248,0.70257,0.7024,0.70251,-1,-1.0,-1
21,2015-09-30 09:28:00,0.70238,0.70247,0.70235,0.70241,-1,-1.0,-1
22,2015-09-30 09:29:00,0.70231,0.70239,0.70228,0.70233,-1,-1.0,-1
23,2015-09-30 09:30:00,0.7022,0.70235,0.70206,0.70224,-1,-1.0,-1
24,2015-09-30 09:31:00,0.7019,0.70212,0.70178,0.70194,-1,-1.0,-1
35,2015-09-30 19:57:00,0.7008,0.70094,0.70075,0.70086,-1,-1.0,-1
36,2015-09-30 19:58:00,0.70087,0.701,0.70081,0.70092,-1,-1.0,-1
37,2015-09-30 19:59:00,0.70086,0.701,0.70075,0.7009,-1,-1.0,-1
38,2015-09-30 20:00:00,0.70088,0.70101,0.7008,0.70093,-1,-1.0,-1
39,2015-09-30 20:01:00,0.70082,0.7009,0.7007,0.70086,-1,-1.0,-1
30,2015-10-01 09:27:00,0.70725,0.70735,0.7072,0.70729,-1,-1.0,-1
31,2015-10-01 09:28:00,0.70718,0.70728,0.7071,0.70722,-1,-1.0,-1
32,2015-10-01 09:29:00,0.70718,0.70735,0.70705,0.7072,-1,-1.0,-1
33,2015-10-01 09:30:00,0.70698,0.70715,0.70694,0.70702,-1,-1.0,-1
