,Date,rates_US
214,2016-07-18,0.25
215,2016-07-19,0.25
216,2016-07-20,0.25
217,2016-07-21,0.25
218,2016-07-22,0.25
219,2016-07-23,0.25
220,2016-07-24,0.25
221,2016-07-25,0.25
222,2016-07-26,0.25
223,2016-07-27,0.25
224,2016-07-28,0.25
225,2016-07-29,0.25
226,2016-07-30,0.25
227,2016-07-31,0.25
228,2016-08-01,0.25
229,2016-08-02,0.25
230,2016-08-03,0.25
231,2016-08-04,0.25
232,2016-08-05,0.25
233,2016-08-06,0.25
234,2016-08-07,0.25
235,2016-08-08,0.25
236,2016-08-09,0.25
237,2016-08-10,0.25
238,2016-08-11,0.25
239,2016-08-12,0.25
240,2016-08-13,0.25
241,2016-08-14,0.25
242,2016-08-15,0.25
243,2016-08-16,0.25
244,2016-08-17,0.25
245,2016-08-18,0.25
246,2016-08-19,0.25
247,2016-08-20,0.25
248,2016-08-21,0.25
249,2016-08-22,0.25
250,2016-08-23,0.25
251,2016-08-24,0.25
252,2016-08-25,0.25
253,2016-08-26,0.25
254,2016-08-27,0.25
255,2016-08-28,0.25
256,2016-08-29,0.25
257,2016-08-30,0.25
258,2016-08-31,0.25
259,2016-09-01,0.25
260,2016-09-02,0.25
261,2016-09-03,0.25
262,2016-09-04,0.25
263,2016-09-05,0.25
264,2016-09-06,0.25
265,2016-09-07,0.25
266,2016-09-08,0.25
267,2016-09-09,0.25
268,2016-09-10,0.25
269,2016-09-11,0.25
270,2016-09-12,0.25
271,2016-09-13,0.25
272,2016-09-14,0.25
273,2016-09-15,0.25
274,2016-09-16,0.25
275,2016-09-17,0.25
276,2016-09-18,0.25
277,2016-09-19,0.25
278,2016-09-20,0.25
279,2016-09-21,0.25
280,2016-09-22,0.25
281,2016-09-23,0.25
282,2016-09-24,0.25
283,2016-09-25,0.25
284,2016-09-26,0.25
285,2016-09-27,0.25
286,2016-09-28,0.25
287,2016-09-29,0.25
288,2016-09-30,0.25
289,2016-10-01,0.25
290,2016-10-02,0.25
291,2016-10-03,0.25
292,2016-10-04,0.25
293,2016-10-05,0.25
294,2016-10-06,0.25
295,2016-10-07,0.25
296,2016-10-08,0.25
297,2016-10-09,0.25
298,2016-10-10,0.25
299,2016-10-11,0.25
300,2016-10-12,0.25
301,2016-10-13,0.25
302,2016-10-14,0.25
303,2016-10-15,0.25
304,2016-10-16,0.25
305,2016-10-17,0.25
306,2016-10-18,0.25
307,2016-10-19,0.25
308,2016-10-20,0.25
309,2016-10-21,0.25
310,2016-10-22,0.25
311,2016-10-23,0.25
312,2016-10-24,0.25
313,2016-10-25,0.25
314,2016-10-26,0.25
315,2016-10-27,0.25
316,2016-10-28,0.25
317,2016-10-29,0.25
318,2016-10-30,0.25
319,2016-10-31,0.25
320,2016-11-01,0.25
321,2016-11-02,0.25
322,2016-11-03,0.25
323,2016-11-04,0.25
324,2016-11-05,0.25
325,2016-11-06,0.25
326,2016-11-07,0.25
327,2016-11-08,0.25
328,2016-11-09,0.25
329,2016-11-10,0.25
330,2016-11-11,0.25
331,2016-11-12,0.25
332,2016-11-13,0.25
333,2016-11-14,0.25
334,2016-11-15,0.25
335,2016-11-16,0.25
336,2016-11-17,0.25
337,2016-11-18,0.25
338,2016-11-19,0.25
339,2016-11-20,0.25
340,2016-11-21,0.25
341,2016-11-22,0.25
342,2016-11-23,0.25
343,2016-11-24,0.25
344,2016-11-25,0.25
345,2016-11-26,0.25
346,2016-11-27,0.25
347,2016-11-28,0.25
348,2016-11-29,0.25
349,2016-11-30,0.25
350,2016-12-01,0.25
351,2016-12-02,0.25
352,2016-12-03,0.25
353,2016-12-04,0.25
354,2016-12-05,0.25
355,2016-12-06,0.25
356,2016-12-07,0.25
357,2016-12-08,0.25
358,2016-12-09,0.25
359,2016-12-10,0.25
360,2016-12-11,0.25
361,2016-12-12,0.25
362,2016-12-13,0.25
363,2016-12-14,0.25
0,2016-12-15,0.5
1,2016-12-16,0.5
2,2016-12-17,0.5
3,2016-12-18,0.5
4,2016-12-19,0.5
5,2016-12-20,0.5
6,2016-12-21,0.5
7,2016-12-22,0.5
8,2016-12-23,0.5
9,2016-12-24,0.5
10,2016-12-25,0.5
11,2016-12-26,0.5
12,2016-12-27,0.5
13,2016-12-28,0.5
14,2016-12-29,0.5
15,2016-12-30,0.5
16,2016-12-31,0.5
17,2017-01-01,0.5
18,2017-01-02,0.5
19,2017-01-03,0.5
20,2017-01-04,0.5
21,2017-01-05,0.5
22,2017-01-06,0.5
23,2017-01-07,0.5
24,2017-01-08,0.5
25,2017-01-09,0.5
26,2017-01-10,0.5
27,2017-01-11,0.5
