The return of ADR_underlying pairs trading for IX_8591 from Japan is 13.068620652769766%
Hyperparameters: Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 10.794549147638739%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 10.794549147638739%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 10.794549147638739%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 12.929626187563468%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 12.929626187563468%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 12.929626187563468%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 10.17360769980849%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 10.17360769980849%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 10.17360769980849%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 6.7724435289802205%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 6.7724435289802205%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 6.7724435289802205%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 8.565663491973828%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 8.565663491973828%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 8.565663491973828%
