(Lookback, Entry, Exit, Stop-loss)
(30, 1, -0.5, 2.5): Return: -0.02%, Hit Ratio: 38.89%, Max Drawdown: 0.03%
(60, 1, -0.5, 3.5): Return: -0.02%, Hit Ratio: 35.48%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 2.5): Return: -0.03%, Hit Ratio: 30.3%, Max Drawdown: 0.04%
(30, 1.5, -0.5, 3): Return: -0.03%, Hit Ratio: 30.56%, Max Drawdown: 0.03%
(30, 1.5, -0.5, 3.5): Return: -0.03%, Hit Ratio: 30.56%, Max Drawdown: 0.03%
(60, 1, -0.5, 2.5): Return: -0.03%, Hit Ratio: 33.33%, Max Drawdown: 0.05%
(60, 1, -0.5, 3): Return: -0.03%, Hit Ratio: 32.79%, Max Drawdown: 0.05%
(60, 1, 0, 2.5): Return: -0.03%, Hit Ratio: 31.82%, Max Drawdown: 0.04%
(60, 1, 0, 3): Return: -0.03%, Hit Ratio: 31.34%, Max Drawdown: 0.04%
(60, 1, 0, 3.5): Return: -0.03%, Hit Ratio: 31.88%, Max Drawdown: 0.04%
(60, 1, 0.5, 2.5): Return: -0.03%, Hit Ratio: 34.72%, Max Drawdown: 0.04%
(60, 1, 0.5, 3): Return: -0.03%, Hit Ratio: 34.25%, Max Drawdown: 0.04%
(60, 1, 0.5, 3.5): Return: -0.03%, Hit Ratio: 33.33%, Max Drawdown: 0.04%
(60, 2, -0.5, 3.5): Return: -0.03%, Hit Ratio: 35.29%, Max Drawdown: 0.04%
(60, 2, -0.5, 2.5): Return: -0.04%, Hit Ratio: 33.33%, Max Drawdown: 0.04%
(60, 2, -0.5, 3): Return: -0.04%, Hit Ratio: 28.57%, Max Drawdown: 0.04%
(100, 1, 0, 3): Return: -0.05%, Hit Ratio: 31.82%, Max Drawdown: 0.05%
(100, 1, 0, 3.5): Return: -0.05%, Hit Ratio: 31.82%, Max Drawdown: 0.05%
(100, 1, 0.5, 3): Return: -0.05%, Hit Ratio: 35.82%, Max Drawdown: 0.05%
(100, 1, 0.5, 3.5): Return: -0.05%, Hit Ratio: 34.33%, Max Drawdown: 0.05%
(100, 1, 0, 2.5): Return: -0.07%, Hit Ratio: 32.81%, Max Drawdown: 0.07%
(100, 1, 0.5, 2.5): Return: -0.07%, Hit Ratio: 36.92%, Max Drawdown: 0.07%
