(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (60, 1, 1, 0, 0.5, 3, 2.5), Return: 3.54%, Hit Ratio: 46.15%, Max Drawdown: 0.64%
(60, 1, 1, 0, 0.5, 3, 2.5): Return: 3.54%, Hit Ratio: 46.15%, Max Drawdown: 0.64%
(60, 1, 1, 0, 0.5, 3.5, 2.5): Return: 3.54%, Hit Ratio: 46.53%, Max Drawdown: 0.64%
(60, 1, 1, 0, 0.5, 2.5, 2.5): Return: 3.47%, Hit Ratio: 45.32%, Max Drawdown: 0.64%
(60, 1, 1, 0, 0, 3, 2.5): Return: 3.31%, Hit Ratio: 48.53%, Max Drawdown: 0.66%
(60, 1, 1, 0, 0, 3.5, 2.5): Return: 3.31%, Hit Ratio: 48.91%, Max Drawdown: 0.66%
(60, 1, 1, 0, 0, 2.5, 2.5): Return: 3.25%, Hit Ratio: 47.73%, Max Drawdown: 0.66%
(60, 1, 1, 0, 0.5, 3, 3.5): Return: 3.25%, Hit Ratio: 44.97%, Max Drawdown: 1.05%
(60, 1, 1, 0, 0.5, 3.5, 3.5): Return: 3.25%, Hit Ratio: 44.97%, Max Drawdown: 1.05%
(60, 1, 1, 0, 0.5, 2.5, 3.5): Return: 3.18%, Hit Ratio: 44.14%, Max Drawdown: 1.05%
(60, 1, 1, 0, 0.5, 3, 3): Return: 3.18%, Hit Ratio: 44.9%, Max Drawdown: 1.05%
(60, 1, 1, 0, 0.5, 3.5, 3): Return: 3.18%, Hit Ratio: 44.9%, Max Drawdown: 1.05%
(60, 1, 1, -0.5, 0, 3.5, 2.5): Return: 3.16%, Hit Ratio: 46.62%, Max Drawdown: 0.62%
(60, 1, 1, -0.5, 0, 3, 2.5): Return: 3.15%, Hit Ratio: 46.21%, Max Drawdown: 0.62%
(60, 1, 1, 0, 0.5, 2.5, 3): Return: 3.11%, Hit Ratio: 44.06%, Max Drawdown: 1.05%
(60, 1, 1, -0.5, 0, 2.5, 2.5): Return: 3.09%, Hit Ratio: 45.31%, Max Drawdown: 0.62%
(60, 1, 1.5, 0, 0.5, 3, 2.5): Return: 3.06%, Hit Ratio: 48.31%, Max Drawdown: 0.62%
(60, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: 3.06%, Hit Ratio: 48.74%, Max Drawdown: 0.62%
(60, 1, 1, 0, 0, 3, 3.5): Return: 3.0%, Hit Ratio: 47.14%, Max Drawdown: 1.07%
(60, 1, 1, 0, 0, 3.5, 3.5): Return: 3.0%, Hit Ratio: 47.14%, Max Drawdown: 1.07%
(60, 1, 1.5, 0, 0.5, 2.5, 2.5): Return: 3.0%, Hit Ratio: 47.37%, Max Drawdown: 0.62%
(100, 1, 1, 0, 0, 3.5, 2.5): Return: 2.98%, Hit Ratio: 45.86%, Max Drawdown: 0.53%
(60, 1, 1, 0.5, 0.5, 3, 2.5): Return: 2.97%, Hit Ratio: 45.58%, Max Drawdown: 0.64%
(60, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 2.97%, Hit Ratio: 45.95%, Max Drawdown: 0.64%
(100, 1, 1, 0, 0, 2.5, 2.5): Return: 2.97%, Hit Ratio: 44.19%, Max Drawdown: 0.53%
(100, 1, 1, 0, 0, 3, 2.5): Return: 2.97%, Hit Ratio: 45.45%, Max Drawdown: 0.53%
(60, 1, 1, -0.5, 0, 3, 3.5): Return: 2.96%, Hit Ratio: 47.06%, Max Drawdown: 1.03%
(60, 1, 1, -0.5, 0, 3.5, 3.5): Return: 2.96%, Hit Ratio: 47.06%, Max Drawdown: 1.03%
(60, 1, 1, 0, 0, 3, 3): Return: 2.95%, Hit Ratio: 47.48%, Max Drawdown: 1.07%
(60, 1, 1, 0, 0, 3.5, 3): Return: 2.95%, Hit Ratio: 47.48%, Max Drawdown: 1.07%
