(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 2, 1.5, -0.5, 0.5, 2.5, 3): Return: 8.94%, Hit Ratio: 81.58%, Max Drawdown: 1.13%
(30, 2, 1.5, -0.5, 0.5, 2.5, 3.5): Return: 8.94%, Hit Ratio: 81.58%, Max Drawdown: 1.13%
(30, 2, 2, -0.5, 0, 2.5, 3): Return: 8.92%, Hit Ratio: 95.0%, Max Drawdown: 1.13%
(30, 2, 2, -0.5, 0, 2.5, 3.5): Return: 8.92%, Hit Ratio: 95.0%, Max Drawdown: 1.13%
(30, 2, 2, -0.5, 0.5, 2.5, 3): Return: 8.92%, Hit Ratio: 85.0%, Max Drawdown: 1.13%
(30, 2, 2, -0.5, 0.5, 2.5, 3.5): Return: 8.92%, Hit Ratio: 85.0%, Max Drawdown: 1.13%
(60, 2, 1, 0.5, 0.5, 3, 3): Return: 8.89%, Hit Ratio: 71.7%, Max Drawdown: 3.04%
(60, 2, 1, 0.5, 0.5, 3.5, 3): Return: 8.89%, Hit Ratio: 71.7%, Max Drawdown: 3.04%
(60, 2, 1, 0.5, 0, 3, 3): Return: 8.88%, Hit Ratio: 67.35%, Max Drawdown: 3.04%
(60, 2, 1, 0.5, 0, 3.5, 3): Return: 8.88%, Hit Ratio: 67.35%, Max Drawdown: 3.04%
(60, 1.5, 1, 0.5, 0.5, 3, 3): Return: 8.86%, Hit Ratio: 74.07%, Max Drawdown: 3.11%
(60, 1.5, 1, 0.5, 0.5, 3.5, 3): Return: 8.86%, Hit Ratio: 74.07%, Max Drawdown: 3.11%
(60, 1.5, 1, 0.5, 0, 3, 3): Return: 8.85%, Hit Ratio: 71.15%, Max Drawdown: 3.11%
(60, 1.5, 1, 0.5, 0, 3.5, 3): Return: 8.85%, Hit Ratio: 71.15%, Max Drawdown: 3.11%
(60, 1, 1, 0.5, -0.5, 3, 3): Return: 8.68%, Hit Ratio: 76.39%, Max Drawdown: 3.15%
(60, 1, 1, 0.5, -0.5, 3.5, 3): Return: 8.68%, Hit Ratio: 76.39%, Max Drawdown: 3.15%
(60, 1, 1.5, 0.5, 0, 3, 3): Return: 8.61%, Hit Ratio: 77.42%, Max Drawdown: 3.15%
(60, 1, 1.5, 0.5, 0, 3.5, 3): Return: 8.61%, Hit Ratio: 77.42%, Max Drawdown: 3.15%
(60, 1, 1.5, 0.5, 0.5, 3, 3): Return: 8.61%, Hit Ratio: 77.78%, Max Drawdown: 3.15%
