"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"RIO","Rio Tinto PLC ADRs","United Kingdom","LN:RIO","London Stock Exchange","Materials","$127,115,195,505","11.46","1.98","2.07","5.88%","2,677,793","Analyze"
"SNY","Sanofi SA ADRs","France","FP:SAN","Euronext Paris","Health Care","$124,285,689,975","8.59","2.82","1.97","3.44%","1,361,495","Analyze"
"NVO","Novo Nordisk A/S ADRs","Denmark","DC:NOVO-B","Omx Nordic Exchange Copenhagen A/S","Health Care","$122,638,080,240","23.74","0.00","1.94","2.12%","843,803","Analyze"
"TOT","TOTAL SA ADRs","France","FP:FP","Euronext Paris","Energy","$121,971,961,390","-16.84","1.13","1.18","3.30%","2,054,785","Analyze"
"HSBC","HSBC Holdings PLC ADRs","United Kingdom","LN:HSBA","London Stock Exchange","Financials","$119,176,056,164","30.57","2.08","0.61","0.51%","2,188,204","Analyze"
"SE","Sea Limited ADRs","Singapore","PRIVATE","","Information Technology","$103,234,070,000","-9.63","23.59","4.61","0.00%","5,133,584","Analyze"
"BHP","BHP Billiton Ltd ADRs","Australia","AT:BHP","Asx - All Markets","Materials","$102,427,253,039","13.73","1.84","2.09","4.41%","2,494,444","Analyze"
"DEO","Diageo PLC ADRs","United Kingdom","LN:DGE","London Stock Exchange","Consumer Staples","$97,945,112,676","63.33","4.66","14.37","1.30%","357,982","Analyze"
"VALE","Vale SA ADRs","Brazil","BS:VALE3","XBSP","Materials","$90,470,208,062","19.02","5.68","2.60","6.63%","28,485,025","Analyze"
"GSK","GlaxoSmithKline PLC ADRs","United Kingdom","LN:GSK","London Stock Exchange","Health Care","$90,106,574,635","11.39","1.94","6.18","5.77%","5,095,468","Analyze"
"BTI","British American Tobacco PLC ADRs","United Kingdom","LN:BATS","London Stock Exchange","Consumer Staples","$87,938,423,384","9.98","1.94","1.40","7.22%","2,881,402","Analyze"
"BP","BP PLC ADRs","United Kingdom","LN:BP","London Stock Exchange","Energy","$83,365,971,104","-4.11","0.46","1.17","6.23%","12,124,381","Analyze"
"INFY","Infosys Ltd ADRs","India","IS:INFY","National Stock Exchange Of India","Information Technology","$80,980,470,842","32.31","6.02","8.26","1.51%","8,203,799","Analyze"
"BIDU","Baidu Inc ADRs of Class A","China","PRIVATE","","Communication Services","$76,521,510,000","22.22","4.69","0.33","0.00%","21,942,984","Analyze"
"MUFG","Mitsubishi UFJ Financial Group Inc. ADRs","Japan","JT:8306","Tokyo Stock Exchange","Financials","$74,293,513,306","24.20","2.24","0.00","2.19%","2,134,215","Analyze"
"NTES","NetEase Inc ADRs","China","PRIVATE","","Communication Services","$73,663,104,141","38.92","6.57","0.90","0.73%","2,377,383","Analyze"
"WBK","Westpac Banking Corp ADRs","Australia","AT:WBC","Asx - All Markets","Financials","$68,712,724,564","38.54","20.52","1.01","1.26%","106,977","Analyze"
"ABB","ABB Ltd ADRs","Switzerland","VX:ABBN","Six Swiss - Blue Chips Segment","Industrials","$66,475,425,774","12.92","2.54","4.24","2.85%","1,753,647","Analyze"
"EQNR","Equinor ASA ADRs","Norway","NO:STL","Oslo Bors Asa","Energy","$64,143,870,951","-11.64","1.53","1.89","2.81%","2,559,951","Analyze"
"NIO","NIO Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$61,826,383,926","0.00","24.97","1.89","0.00%","111,466,493","Analyze"
"BBL","BHP Group PLC ADRs","United Kingdom","LN:BHP","London Stock Exchange","Communication Services","$61,345,125,315","8.22","1.10","1.25","5.31%","2,132,901","Analyze"
