The return of ADR_underlying pairs trading for ZNH_1055 from China is 84.82505497516226%
Hyperparameters: Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 52.81539729169121%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 52.81539729169121%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 52.81539729169121%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 67.21936134051369%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 67.21936134051369%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 67.21936134051369%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 54.65696974776668%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 54.65696974776668%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 54.65696974776668%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 37.87968544519856%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 37.87968544519856%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 37.87968544519856%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 38.69983637553751%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 38.69983637553751%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 38.69983637553751%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 36.384974857700556%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 36.384974857700556%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 36.384974857700556%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 18.24510353139622%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 18.24510353139622%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 18.24510353139622%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 21.050208359491094%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 21.050208359491094%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 21.050208359491094%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 15.715486946685036%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 15.715486946685036%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 15.715486946685036%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 71.59083442646596%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 71.59083442646596%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 71.59083442646596%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 84.82505497516226%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3	Return: 84.82505497516226%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 84.82505497516226%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 66.77796519667987%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 66.77796519667987%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 66.77796519667987%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 40.544456644671826%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 40.544456644671826%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 40.544456644671826%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 37.497498081594%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 37.497498081594%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 37.497498081594%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 28.523766124292365%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 28.523766124292365%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 28.523766124292365%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 14.140646164955529%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 14.140646164955529%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 14.140646164955529%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 15.696550156406111%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3	Return: 15.696550156406111%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 15.696550156406111%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 11.204537355758076%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 11.204537355758076%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 11.204537355758076%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 70.30586198647207%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 70.30586198647207%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 70.30586198647207%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 76.4479836216275%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 3	Return: 76.4479836216275%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 76.4479836216275%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 66.10988204526662%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 66.10988204526662%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 66.10988204526662%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 36.61582749097122%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 36.61582749097122%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 36.61582749097122%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 41.835344322982706%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 41.835344322982706%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 41.835344322982706%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 33.90890346901721%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 33.90890346901721%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 33.90890346901721%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 9.54173216732846%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 9.54173216732846%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 9.54173216732846%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 13.842167801624864%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 13.842167801624864%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 13.842167801624864%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 11.0056713200667%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 11.0056713200667%
