(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1, -0.5, -0.5, 3, 3.5): Return: 1.62%, Hit Ratio: 76.06%, Max Drawdown: 0.04%
(100, 1.5, 1, 0.5, 0, 2.5, 3.5): Return: 1.62%, Hit Ratio: 70.24%, Max Drawdown: 0.03%
(100, 1.5, 1, 0.5, 0, 3, 3.5): Return: 1.62%, Hit Ratio: 71.6%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, -0.5, 2.5, 3.5): Return: 1.61%, Hit Ratio: 67.05%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, 0, 2.5, 3.5): Return: 1.59%, Hit Ratio: 71.76%, Max Drawdown: 0.04%
(100, 1, 1, -0.5, 0, 3, 3.5): Return: 1.59%, Hit Ratio: 73.17%, Max Drawdown: 0.04%
(100, 1, 1, 0, -0.5, 2.5, 3.5): Return: 1.59%, Hit Ratio: 71.76%, Max Drawdown: 0.04%
(100, 1, 1, 0, -0.5, 3, 3.5): Return: 1.59%, Hit Ratio: 73.17%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 2.5, 3.5): Return: 1.59%, Hit Ratio: 71.26%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3, 3.5): Return: 1.59%, Hit Ratio: 72.62%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 1.59%, Hit Ratio: 65.98%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, -0.5, 3, 3.5): Return: 1.59%, Hit Ratio: 67.02%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0, 2.5, 3.5): Return: 1.58%, Hit Ratio: 66.33%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0, 3, 3.5): Return: 1.58%, Hit Ratio: 67.37%, Max Drawdown: 0.04%
(60, 1, 1, -0.5, -0.5, 3, 3.5): Return: 1.57%, Hit Ratio: 78.57%, Max Drawdown: 0.37%
(60, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: 1.57%, Hit Ratio: 78.31%, Max Drawdown: 0.37%
(60, 1, 1, -0.5, 0, 3, 3.5): Return: 1.56%, Hit Ratio: 77.08%, Max Drawdown: 0.37%
(60, 1, 1, -0.5, 0, 3.5, 3.5): Return: 1.56%, Hit Ratio: 76.84%, Max Drawdown: 0.37%
(60, 1, 1, -0.5, 0.5, 2.5, 3.5): Return: 1.55%, Hit Ratio: 67.52%, Max Drawdown: 0.06%
(60, 1, 1, 0, 0.5, 2.5, 3.5): Return: 1.55%, Hit Ratio: 67.52%, Max Drawdown: 0.06%
(60, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: 1.54%, Hit Ratio: 70.59%, Max Drawdown: 0.06%
(60, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: 1.53%, Hit Ratio: 73.97%, Max Drawdown: 0.09%
(60, 1, 1.5, -0.5, 0, 2.5, 3.5): Return: 1.53%, Hit Ratio: 73.75%, Max Drawdown: 0.09%
(100, 1.5, 1, -0.5, 0.5, 2.5, 3): Return: 1.53%, Hit Ratio: 66.29%, Max Drawdown: 0.06%
(100, 1.5, 1, -0.5, 0.5, 3, 3): Return: 1.53%, Hit Ratio: 66.67%, Max Drawdown: 0.06%
(100, 1.5, 1, 0, 0.5, 2.5, 3): Return: 1.53%, Hit Ratio: 67.42%, Max Drawdown: 0.06%
(100, 1.5, 1, 0, 0.5, 3, 3): Return: 1.53%, Hit Ratio: 67.82%, Max Drawdown: 0.06%
(60, 1.5, 1, -0.5, -0.5, 3, 3.5): Return: 1.51%, Hit Ratio: 74.65%, Max Drawdown: 0.37%
(60, 1.5, 1, -0.5, -0.5, 3.5, 3.5): Return: 1.51%, Hit Ratio: 74.29%, Max Drawdown: 0.37%
(60, 1, 2, -0.5, -0.5, 2.5, 3.5): Return: 1.5%, Hit Ratio: 73.53%, Max Drawdown: 0.09%
(60, 1, 2, -0.5, 0, 2.5, 3.5): Return: 1.5%, Hit Ratio: 74.32%, Max Drawdown: 0.09%
(60, 1.5, 1, -0.5, 0, 3, 3.5): Return: 1.5%, Hit Ratio: 76.54%, Max Drawdown: 0.37%
(60, 1.5, 1, -0.5, 0, 3.5, 3.5): Return: 1.5%, Hit Ratio: 76.25%, Max Drawdown: 0.37%
(100, 1.5, 1, -0.5, -0.5, 3.5, 3): Return: 1.5%, Hit Ratio: 76.56%, Max Drawdown: 0.37%
(60, 1, 1, 0, 0, 3, 3.5): Return: 1.49%, Hit Ratio: 73.0%, Max Drawdown: 0.37%
(60, 1, 1, 0, 0, 3.5, 3.5): Return: 1.49%, Hit Ratio: 73.74%, Max Drawdown: 0.37%
(60, 1.5, 1, -0.5, 0.5, 2.5, 3.5): Return: 1.49%, Hit Ratio: 66.34%, Max Drawdown: 0.06%
(60, 1.5, 1, 0, 0.5, 2.5, 3.5): Return: 1.49%, Hit Ratio: 66.34%, Max Drawdown: 0.06%
(60, 1.5, 1, 0.5, 0.5, 2.5, 3.5): Return: 1.49%, Hit Ratio: 67.65%, Max Drawdown: 0.06%
(100, 1.5, 1, -0.5, 0, 3.5, 3): Return: 1.49%, Hit Ratio: 73.97%, Max Drawdown: 0.37%
(100, 1.5, 1, 0, -0.5, 3.5, 3): Return: 1.49%, Hit Ratio: 72.6%, Max Drawdown: 0.37%
(100, 1.5, 1, 0, 0, 3.5, 3): Return: 1.49%, Hit Ratio: 72.0%, Max Drawdown: 0.37%
(100, 1.5, 1, 0.5, 0.5, 2.5, 3): Return: 1.49%, Hit Ratio: 68.09%, Max Drawdown: 0.06%
(100, 1.5, 1, 0.5, 0.5, 3, 3): Return: 1.49%, Hit Ratio: 68.48%, Max Drawdown: 0.06%
(60, 1, 1, 0, -0.5, 3, 3.5): Return: 1.48%, Hit Ratio: 74.47%, Max Drawdown: 0.37%
(60, 1, 1, 0, -0.5, 3.5, 3.5): Return: 1.48%, Hit Ratio: 75.27%, Max Drawdown: 0.37%
(100, 1.5, 1, -0.5, 0.5, 2.5, 3.5): Return: 1.48%, Hit Ratio: 67.05%, Max Drawdown: 0.06%
(100, 1.5, 1, -0.5, 0.5, 3, 3.5): Return: 1.48%, Hit Ratio: 68.24%, Max Drawdown: 0.06%
(100, 1.5, 1, 0, 0.5, 2.5, 3.5): Return: 1.48%, Hit Ratio: 68.18%, Max Drawdown: 0.06%
(100, 1.5, 1, 0, 0.5, 3, 3.5): Return: 1.48%, Hit Ratio: 69.41%, Max Drawdown: 0.06%
(100, 1.5, 1, 0.5, 0.5, 2.5, 3.5): Return: 1.48%, Hit Ratio: 68.82%, Max Drawdown: 0.06%
(100, 1.5, 1, 0.5, 0.5, 3, 3.5): Return: 1.48%, Hit Ratio: 70.0%, Max Drawdown: 0.06%
(60, 1.5, 1.5, -0.5, -0.5, 2.5, 3.5): Return: 1.47%, Hit Ratio: 67.35%, Max Drawdown: 0.09%
(60, 1.5, 1.5, -0.5, 0, 2.5, 3.5): Return: 1.47%, Hit Ratio: 73.08%, Max Drawdown: 0.09%
(100, 1.5, 1.5, -0.5, -0.5, 3.5, 3): Return: 1.47%, Hit Ratio: 76.74%, Max Drawdown: 0.37%
(100, 1.5, 1.5, -0.5, 0, 3.5, 3): Return: 1.47%, Hit Ratio: 74.47%, Max Drawdown: 0.37%
(100, 1.5, 1.5, 0, -0.5, 3.5, 3): Return: 1.47%, Hit Ratio: 75.0%, Max Drawdown: 0.37%
(100, 1.5, 1.5, 0, 0, 3.5, 3): Return: 1.47%, Hit Ratio: 75.0%, Max Drawdown: 0.37%
(60, 1, 1.5, 0, -0.5, 2.5, 3.5): Return: 1.46%, Hit Ratio: 72.84%, Max Drawdown: 0.09%
(60, 1, 1.5, 0, 0, 2.5, 3.5): Return: 1.45%, Hit Ratio: 71.43%, Max Drawdown: 0.09%
(100, 1.5, 2, 0, -0.5, 3.5, 3): Return: 1.45%, Hit Ratio: 72.22%, Max Drawdown: 0.37%
(60, 1, 1, 0.5, -0.5, 3, 3.5): Return: 1.44%, Hit Ratio: 71.15%, Max Drawdown: 0.37%
(60, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 1.44%, Hit Ratio: 71.84%, Max Drawdown: 0.37%
(60, 1, 1, 0.5, 0, 3, 3.5): Return: 1.44%, Hit Ratio: 74.07%, Max Drawdown: 0.37%
(60, 1, 1, 0.5, 0, 3.5, 3.5): Return: 1.44%, Hit Ratio: 74.77%, Max Drawdown: 0.37%
(60, 1, 1.5, 0.5, -0.5, 2.5, 3.5): Return: 1.44%, Hit Ratio: 68.18%, Max Drawdown: 0.1%
(60, 1, 1.5, 0.5, 0, 2.5, 3.5): Return: 1.44%, Hit Ratio: 70.0%, Max Drawdown: 0.1%
(100, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: 1.44%, Hit Ratio: 76.06%, Max Drawdown: 0.37%
(100, 1, 1, -0.5, 0.5, 2.5, 3.5): Return: 1.44%, Hit Ratio: 62.14%, Max Drawdown: 0.06%
(100, 1, 1, -0.5, 0.5, 3, 3.5): Return: 1.44%, Hit Ratio: 63.0%, Max Drawdown: 0.06%
