(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1.5, 1.5, -0.5, -0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 49.37%, Max Drawdown: 0.04%
(60, 1.5, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 53.75%, Max Drawdown: 0.04%
(60, 1.5, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 53.75%, Max Drawdown: 0.04%
(60, 1.5, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 53.75%, Max Drawdown: 0.04%
(60, 1.5, 2, -0.5, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(60, 1.5, 2, -0.5, -0.5, 3, 3): Return: 0.05%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(60, 1.5, 2, -0.5, -0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(60, 1.5, 2, 0, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1.5, 2, 0, -0.5, 3, 3): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1.5, 2, 0, -0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1.5, 2, 0, -0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 53.25%, Max Drawdown: 0.03%
(60, 1.5, 2, 0, -0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 53.25%, Max Drawdown: 0.03%
(60, 1.5, 2, 0, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 53.25%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 53.79%, Max Drawdown: 0.05%
(100, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 54.81%, Max Drawdown: 0.05%
(100, 1, 1, -0.5, -0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 55.15%, Max Drawdown: 0.05%
(100, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 55.15%, Max Drawdown: 0.05%
(100, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 50.31%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 53.91%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 53.91%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, 0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 56.25%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 56.25%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 51.37%, Max Drawdown: 0.05%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 52.0%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 52.0%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, -0.5, 3, 3): Return: 0.05%, Hit Ratio: 53.66%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, -0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 53.66%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, 0.5, 3, 3): Return: 0.05%, Hit Ratio: 55.88%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, 0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 55.88%, Max Drawdown: 0.04%
(100, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 52.55%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 51.09%, Max Drawdown: 0.05%
(100, 1, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 49.29%, Max Drawdown: 0.04%
(100, 2, 1.5, -0.5, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(100, 2, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 61.7%, Max Drawdown: 0.02%
(100, 2, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 61.7%, Max Drawdown: 0.02%
(100, 2, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 56.52%, Max Drawdown: 0.02%
(100, 2, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 57.45%, Max Drawdown: 0.02%
(100, 2, 2, -0.5, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 67.65%, Max Drawdown: 0.01%
(100, 2, 2, -0.5, -0.5, 3, 3): Return: 0.05%, Hit Ratio: 67.57%, Max Drawdown: 0.01%
(100, 2, 2, -0.5, -0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 67.57%, Max Drawdown: 0.01%
(100, 2, 2, 0, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 61.76%, Max Drawdown: 0.01%
(100, 2, 2, 0, -0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 62.79%, Max Drawdown: 0.01%
(100, 2, 2, 0, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 62.79%, Max Drawdown: 0.01%
(100, 2, 2, 0.5, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 61.76%, Max Drawdown: 0.01%
(100, 2, 2, 0.5, -0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 60.47%, Max Drawdown: 0.01%
(100, 2, 2, 0.5, -0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 60.47%, Max Drawdown: 0.01%
(30, 1.5, 1.5, 0, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 53.09%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 53.09%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 53.09%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 2.5, 2.5): Return: 0.04%, Hit Ratio: 52.11%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 2.5, 3): Return: 0.04%, Hit Ratio: 52.11%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 2.5, 3.5): Return: 0.04%, Hit Ratio: 52.11%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 52.63%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 52.63%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 52.63%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 53.09%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 53.09%, Max Drawdown: 0.04%
(30, 1.5, 2, 0, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 53.09%, Max Drawdown: 0.04%
(30, 1.5, 2, 0.5, -0.5, 2.5, 2.5): Return: 0.04%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(30, 1.5, 2, 0.5, -0.5, 2.5, 3): Return: 0.04%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(30, 1.5, 2, 0.5, -0.5, 2.5, 3.5): Return: 0.04%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(30, 1.5, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 49.4%, Max Drawdown: 0.03%
(30, 1.5, 2, 0.5, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 49.4%, Max Drawdown: 0.03%
(30, 1.5, 2, 0.5, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 49.4%, Max Drawdown: 0.03%
(30, 2, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(30, 2, 2, -0.5, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(30, 2, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 1, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 56.93%, Max Drawdown: 0.04%
(60, 1, 1.5, -0.5, 0, 3.5, 3): Return: 0.04%, Hit Ratio: 56.93%, Max Drawdown: 0.04%
(60, 1, 1.5, -0.5, 0, 3.5, 3.5): Return: 0.04%, Hit Ratio: 56.93%, Max Drawdown: 0.04%
(60, 1, 2, -0.5, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 50.78%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 53.12%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 53.91%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 53.91%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 51.06%, Max Drawdown: 0.04%
(60, 1.5, 1, -0.5, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 51.06%, Max Drawdown: 0.04%
(60, 1.5, 1, -0.5, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 51.06%, Max Drawdown: 0.04%
(60, 1.5, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 53.68%, Max Drawdown: 0.04%
(60, 1.5, 1, -0.5, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 54.74%, Max Drawdown: 0.04%
(60, 1.5, 1, -0.5, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 54.74%, Max Drawdown: 0.04%
(60, 1.5, 1.5, 0, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 51.25%, Max Drawdown: 0.04%
(60, 1.5, 1.5, 0, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(60, 1.5, 1.5, 0, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(60, 1.5, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 53.66%, Max Drawdown: 0.04%
(60, 1.5, 1.5, 0, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 53.66%, Max Drawdown: 0.04%
(60, 1.5, 1.5, 0, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 53.66%, Max Drawdown: 0.04%
(60, 1.5, 2, -0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 55.84%, Max Drawdown: 0.03%
(60, 1.5, 2, -0.5, 0, 3.5, 3): Return: 0.04%, Hit Ratio: 55.84%, Max Drawdown: 0.03%
(60, 1.5, 2, -0.5, 0, 3.5, 3.5): Return: 0.04%, Hit Ratio: 55.84%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 54.14%, Max Drawdown: 0.05%
(100, 1, 1, -0.5, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 54.14%, Max Drawdown: 0.05%
(100, 1, 1, -0.5, 0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 52.35%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 49.68%, Max Drawdown: 0.05%
(100, 1, 1, 0.5, 0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 49.35%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 52.42%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 52.8%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 52.8%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, 0.5, 3, 3): Return: 0.04%, Hit Ratio: 55.4%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 55.4%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.04%, Hit Ratio: 51.08%, Max Drawdown: 0.05%
(100, 1, 1.5, 0, 0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 50.71%, Max Drawdown: 0.05%
(100, 1, 1.5, 0.5, 0.5, 3, 3): Return: 0.04%, Hit Ratio: 51.39%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 51.39%, Max Drawdown: 0.04%
(100, 1, 2, 0, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 52.27%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 52.9%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 52.9%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 51.72%, Max Drawdown: 0.04%
(100, 1, 2, 0, 0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 51.72%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 48.51%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 49.3%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 49.3%, Max Drawdown: 0.04%
(100, 2, 1.5, -0.5, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 59.52%, Max Drawdown: 0.02%
(100, 2, 1.5, -0.5, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 59.52%, Max Drawdown: 0.02%
(100, 2, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 61.7%, Max Drawdown: 0.03%
(100, 2, 1.5, 0, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 55.0%, Max Drawdown: 0.02%
(100, 2, 1.5, 0, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(100, 2, 1.5, 0, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(100, 2, 1.5, 0.5, -0.5, 3, 2.5): Return: 0.04%, Hit Ratio: 56.1%, Max Drawdown: 0.02%
(100, 2, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.04%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(100, 2, 1.5, 0.5, -0.5, 3.5, 3.5): Return: 0.04%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(100, 2, 2, -0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 67.5%, Max Drawdown: 0.02%
(100, 2, 2, 0, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 62.16%, Max Drawdown: 0.01%
(100, 2, 2, 0, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 62.16%, Max Drawdown: 0.01%
(100, 2, 2, 0, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 57.5%, Max Drawdown: 0.02%
(100, 2, 2, 0.5, -0.5, 3, 3): Return: 0.04%, Hit Ratio: 59.46%, Max Drawdown: 0.01%
(100, 2, 2, 0.5, -0.5, 3, 3.5): Return: 0.04%, Hit Ratio: 59.46%, Max Drawdown: 0.01%
(100, 2, 2, 0.5, 0, 3.5, 2.5): Return: 0.04%, Hit Ratio: 57.5%, Max Drawdown: 0.02%
(30, 1.5, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 52.5%, Max Drawdown: 0.04%
(30, 1.5, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 52.5%, Max Drawdown: 0.04%
(30, 1.5, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 52.5%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0, -0.5, 2.5, 2.5): Return: 0.03%, Hit Ratio: 51.32%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0, -0.5, 2.5, 3): Return: 0.03%, Hit Ratio: 51.32%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0, -0.5, 2.5, 3.5): Return: 0.03%, Hit Ratio: 51.32%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 53.49%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 53.49%, Max Drawdown: 0.04%
