,date,open,high,low,close,volume,average,barCount
0,2015-06-03 09:30:00,81.06,81.06,81.06,81.06,1,81.06,1
1,2015-06-03 09:31:00,81.06,81.06,81.06,81.06,0,81.06,0
2,2015-06-03 09:32:00,81.06,81.06,81.06,81.06,0,81.06,0
3,2015-06-03 09:33:00,81.06,81.06,81.06,81.06,0,81.06,0
4,2015-06-03 09:34:00,81.06,81.06,81.06,81.06,0,81.06,0
5,2015-06-03 09:35:00,81.06,81.06,81.06,81.06,0,81.06,0
6,2015-06-03 09:36:00,81.06,81.06,81.06,81.06,0,81.06,0
7,2015-06-03 09:37:00,81.06,81.06,81.06,81.06,0,81.06,0
8,2015-06-03 09:38:00,81.06,81.06,81.06,81.06,0,81.06,0
9,2015-06-03 09:39:00,81.06,81.06,81.06,81.06,0,81.06,0
10,2015-06-03 09:40:00,81.06,81.06,81.06,81.06,0,81.06,0
11,2015-06-03 09:41:00,81.03,81.03,81.03,81.03,1,81.03,1
12,2015-06-03 09:42:00,81.03,81.04,81.03,81.03,1,81.035,1
13,2015-06-03 09:43:00,81.03,81.03,81.03,81.03,0,81.03,0
14,2015-06-03 09:44:00,81.03,81.03,81.03,81.03,0,81.03,0
15,2015-06-03 09:45:00,81.03,81.03,81.03,81.03,0,81.03,0
16,2015-06-03 09:46:00,81.03,81.03,81.03,81.03,0,81.03,0
17,2015-06-03 09:47:00,81.16,81.16,81.15,81.16,1,81.155,1
18,2015-06-03 09:48:00,81.16,81.16,81.16,81.16,0,81.16,0
19,2015-06-03 09:49:00,81.16,81.16,81.16,81.16,0,81.16,0
20,2015-06-03 09:50:00,81.16,81.16,81.16,81.16,0,81.16,0
21,2015-06-03 09:51:00,81.16,81.16,81.16,81.16,0,81.16,0
22,2015-06-03 09:52:00,81.14,81.14,81.13,81.14,1,81.135,1
23,2015-06-03 09:53:00,81.14,81.14,81.14,81.14,0,81.14,0
24,2015-06-03 09:54:00,80.9,80.9,80.9,80.9,1,80.9,1
25,2015-06-03 09:55:00,80.9,80.9,80.9,80.9,0,80.9,0
26,2015-06-03 09:56:00,80.9,80.9,80.9,80.9,0,80.9,0
27,2015-06-03 09:57:00,80.9,80.9,80.9,80.9,0,80.9,0
28,2015-06-03 09:58:00,80.9,80.9,80.9,80.9,0,80.9,0
29,2015-06-03 09:59:00,80.89,80.9,80.89,80.89,1,80.894,1
30,2015-06-03 10:00:00,80.89,80.89,80.89,80.89,0,80.89,0
31,2015-06-03 10:01:00,80.89,80.89,80.89,80.89,0,80.89,0
32,2015-06-03 10:02:00,80.89,80.89,80.89,80.89,0,80.89,0
33,2015-06-03 10:03:00,80.89,80.89,80.89,80.89,0,80.89,0
34,2015-06-03 10:04:00,80.89,80.89,80.89,80.89,0,80.89,0
35,2015-06-03 10:05:00,80.89,80.89,80.89,80.89,0,80.89,0
36,2015-06-03 10:06:00,80.89,80.89,80.89,80.89,0,80.89,0
37,2015-06-03 10:07:00,80.89,80.89,80.89,80.89,0,80.89,0
38,2015-06-03 10:08:00,80.89,80.89,80.89,80.89,0,80.89,0
39,2015-06-03 10:09:00,80.89,80.89,80.89,80.89,0,80.89,0
40,2015-06-03 10:10:00,80.89,80.89,80.89,80.89,0,80.89,0
41,2015-06-03 10:11:00,80.89,80.89,80.89,80.89,0,80.89,0
42,2015-06-03 10:12:00,81.21,81.27,81.21,81.27,4,81.245,3
43,2015-06-03 10:13:00,81.27,81.27,81.27,81.27,0,81.27,0
44,2015-06-03 10:14:00,81.27,81.27,81.27,81.27,0,81.27,0
45,2015-06-03 10:15:00,81.27,81.27,81.27,81.27,0,81.27,0
46,2015-06-03 10:16:00,81.27,81.27,81.27,81.27,0,81.27,0
47,2015-06-03 10:17:00,81.27,81.27,81.27,81.27,0,81.27,0
48,2015-06-03 10:18:00,81.33,81.33,81.33,81.33,1,81.33,1
49,2015-06-03 10:19:00,81.33,81.33,81.33,81.33,0,81.33,0
50,2015-06-03 10:20:00,81.33,81.33,81.33,81.33,0,81.33,0
51,2015-06-03 10:21:00,81.33,81.33,81.33,81.33,0,81.33,0
52,2015-06-03 10:22:00,81.33,81.33,81.33,81.33,0,81.33,0
53,2015-06-03 10:23:00,81.33,81.33,81.33,81.33,0,81.33,0
54,2015-06-03 10:24:00,81.33,81.33,81.33,81.33,0,81.33,0
55,2015-06-03 10:25:00,81.3,81.3,81.3,81.3,1,81.3,1
56,2015-06-03 10:26:00,81.3,81.3,81.3,81.3,0,81.3,0
57,2015-06-03 10:27:00,81.3,81.3,81.3,81.3,0,81.3,0
58,2015-06-03 10:28:00,81.3,81.3,81.3,81.3,0,81.3,0
59,2015-06-03 10:29:00,81.3,81.3,81.3,81.3,0,81.3,0
60,2015-06-03 10:30:00,81.3,81.3,81.3,81.3,0,81.3,0
61,2015-06-03 10:31:00,81.37,81.37,81.37,81.37,1,81.37,1
62,2015-06-03 10:32:00,81.37,81.37,81.37,81.37,0,81.37,0
63,2015-06-03 10:33:00,81.37,81.37,81.37,81.37,0,81.37,0
64,2015-06-03 10:34:00,81.37,81.37,81.37,81.37,0,81.37,0
65,2015-06-03 10:35:00,81.37,81.37,81.37,81.37,0,81.37,0
66,2015-06-03 10:36:00,81.37,81.37,81.37,81.37,0,81.37,0
67,2015-06-03 10:37:00,81.37,81.37,81.37,81.37,0,81.37,0
68,2015-06-03 10:38:00,81.35,81.35,81.35,81.35,1,81.35,1
69,2015-06-03 10:39:00,81.35,81.35,81.35,81.35,3,81.35,2
70,2015-06-03 10:40:00,81.34,81.34,81.34,81.34,1,81.34,1
71,2015-06-03 10:41:00,81.34,81.34,81.34,81.34,0,81.34,0
72,2015-06-03 10:42:00,81.34,81.34,81.34,81.34,0,81.34,0
73,2015-06-03 10:43:00,81.34,81.34,81.34,81.34,0,81.34,0
74,2015-06-03 10:44:00,81.34,81.34,81.34,81.34,0,81.34,0
75,2015-06-03 10:45:00,81.34,81.34,81.34,81.34,0,81.34,0
76,2015-06-03 10:46:00,81.34,81.34,81.34,81.34,0,81.34,0
77,2015-06-03 10:47:00,81.34,81.34,81.34,81.34,0,81.34,0
78,2015-06-03 10:48:00,81.34,81.34,81.34,81.34,0,81.34,0
79,2015-06-03 10:49:00,81.34,81.34,81.34,81.34,0,81.34,0
80,2015-06-03 10:50:00,81.34,81.34,81.34,81.34,0,81.34,0
81,2015-06-03 10:51:00,81.34,81.34,81.34,81.34,0,81.34,0
82,2015-06-03 10:52:00,81.3,81.3,81.3,81.3,5,81.3,2
83,2015-06-03 10:53:00,81.3,81.3,81.3,81.3,0,81.3,0
84,2015-06-03 10:54:00,81.3,81.3,81.3,81.3,0,81.3,0
85,2015-06-03 10:55:00,81.3,81.3,81.3,81.3,0,81.3,0
86,2015-06-03 10:56:00,81.3,81.3,81.3,81.3,0,81.3,0
87,2015-06-03 10:57:00,81.3,81.3,81.3,81.3,0,81.3,0
88,2015-06-03 10:58:00,81.3,81.3,81.3,81.3,0,81.3,0
89,2015-06-03 10:59:00,81.3,81.3,81.3,81.3,0,81.3,0
90,2015-06-03 11:00:00,81.3,81.3,81.3,81.3,0,81.3,0
91,2015-06-03 11:01:00,81.3,81.3,81.3,81.3,0,81.3,0
92,2015-06-03 11:02:00,81.3,81.3,81.3,81.3,0,81.3,0
93,2015-06-03 11:03:00,81.3,81.3,81.3,81.3,0,81.3,0
94,2015-06-03 11:04:00,81.3,81.3,81.3,81.3,0,81.3,0
95,2015-06-03 11:05:00,81.3,81.3,81.3,81.3,0,81.3,0
96,2015-06-03 11:06:00,81.38,81.38,81.38,81.38,1,81.38,1
97,2015-06-03 11:07:00,81.38,81.38,81.38,81.38,0,81.38,0
98,2015-06-03 11:08:00,81.38,81.38,81.38,81.38,0,81.38,0
99,2015-06-03 11:09:00,81.38,81.38,81.38,81.38,0,81.38,0
100,2015-06-03 11:10:00,81.38,81.38,81.38,81.38,0,81.38,0
