The return of ADR_underlying pairs trading for GENE_GTG from Australia is 2729.256769448188%
Hyperparameters: Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 494.9071871122901%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 494.9071871122901%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 554.3610524781404%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 554.3610524781404%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 554.3610524781404%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 417.15216281789037%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 417.15216281789037%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 417.15216281789037%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 226.24598231259995%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 226.24598231259995%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 226.24598231259995%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 239.38366342198995%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 239.38366342198995%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 239.38366342198995%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 175.01280422698002%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 175.01280422698002%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 175.01280422698002%
