The return of ADR_underlying pairs trading for LFC_2628 from China is 33.44748169756986%
Hyperparameters: Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 17.72463017701832%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 17.72463017701832%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 19.165388897720927%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 19.165388897720927%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 19.165388897720927%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 16.721075872387186%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 16.721075872387186%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 16.721075872387186%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 3.332519203882999%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 3.332519203882999%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 3.332519203882999%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 2.131237251745304%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 2.131237251745304%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 2.131237251745304%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 3.590114239539224%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 3.590114239539224%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 3.590114239539224%
