(Lookback, Entry, Exit, Stop-loss)
Best HPs: (65, 1.0, -0.7, 2.9), Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 2.9): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 3.0): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 3.1): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 3.2): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 2.9): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 3.0): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 3.1): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 3.2): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(60, 1.0, -0.7, 2.8): Return: 2.28%, Hit Ratio: 80.0%, Max Drawdown: 3.75%
(60, 1.0, -0.7, 2.9): Return: 2.28%, Hit Ratio: 77.78%, Max Drawdown: 3.75%
(60, 1.0, -0.7, 3.0): Return: 2.28%, Hit Ratio: 77.78%, Max Drawdown: 3.75%
(60, 1.0, -0.7, 3.1): Return: 2.28%, Hit Ratio: 77.78%, Max Drawdown: 3.75%
(60, 1.0, -0.7, 3.2): Return: 2.28%, Hit Ratio: 77.78%, Max Drawdown: 3.75%
(60, 1.0, -0.6, 2.9): Return: 2.28%, Hit Ratio: 80.56%, Max Drawdown: 3.75%
(60, 1.0, -0.6, 3.0): Return: 2.28%, Hit Ratio: 80.56%, Max Drawdown: 3.75%
(60, 1.0, -0.6, 3.1): Return: 2.28%, Hit Ratio: 80.56%, Max Drawdown: 3.75%
(60, 1.0, -0.6, 3.2): Return: 2.28%, Hit Ratio: 80.56%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 2.9): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 3.0): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 3.1): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 3.2): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 2.9): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 3.0): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 3.1): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 3.2): Return: 2.28%, Hit Ratio: 71.43%, Max Drawdown: 3.75%
(70, 1.0, -0.7, 2.8): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.7, 2.9): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.7, 3.0): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.7, 3.1): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.7, 3.2): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.6, 2.8): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.6, 2.9): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.6, 3.0): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.6, 3.1): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(70, 1.0, -0.6, 3.2): Return: 2.28%, Hit Ratio: 72.97%, Max Drawdown: 3.75%
(65, 1.0, -0.7, 2.8): Return: 2.27%, Hit Ratio: 70.59%, Max Drawdown: 3.75%
(65, 1.0, -0.6, 2.8): Return: 2.27%, Hit Ratio: 70.59%, Max Drawdown: 3.75%
(65, 1.0, -0.5, 2.9): Return: 2.27%, Hit Ratio: 75.68%, Max Drawdown: 3.75%
(65, 1.0, -0.5, 3.0): Return: 2.27%, Hit Ratio: 75.68%, Max Drawdown: 3.75%
(65, 1.0, -0.5, 3.1): Return: 2.27%, Hit Ratio: 75.68%, Max Drawdown: 3.75%
(65, 1.0, -0.5, 3.2): Return: 2.27%, Hit Ratio: 75.68%, Max Drawdown: 3.75%
(65, 1.1, -0.7, 2.9): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.1, -0.7, 3.0): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.1, -0.7, 3.1): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.1, -0.7, 3.2): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.1, -0.6, 2.9): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.1, -0.6, 3.0): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.1, -0.6, 3.1): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.1, -0.6, 3.2): Return: 2.27%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(60, 1.0, -0.6, 2.8): Return: 2.27%, Hit Ratio: 80.0%, Max Drawdown: 3.75%
(60, 1.0, -0.5, 2.9): Return: 2.27%, Hit Ratio: 81.08%, Max Drawdown: 3.75%
(60, 1.0, -0.5, 3.0): Return: 2.27%, Hit Ratio: 81.08%, Max Drawdown: 3.75%
(60, 1.0, -0.5, 3.1): Return: 2.27%, Hit Ratio: 81.08%, Max Drawdown: 3.75%
